scenario,series,alpha_rad_or_coefficient,value
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.2,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.19798994974874373,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.19597989949748745,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.19396984924623117,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.1919597989949749,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.18994974874371862,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.1879396984924623,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.18592964824120603,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.18391959798994975,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.18190954773869347,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.1798994974874372,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.17788944723618091,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.17587939698492464,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.17386934673366836,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.17185929648241208,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.1698492462311558,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.1678391959798995,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.1658291457286432,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.16381909547738693,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.16180904522613065,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.15979899497487438,-961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,-0.1577889447236181,-961.0080097742479
