scenario,signal,series,t_s,value
Excitation-S4D-Pinn,v_y,ground_truth,0.0,0.008194806737069626
Excitation-S4D-Pinn,v_y,ground_truth,0.099,0.008261744509396873
Excitation-S4D-Pinn,v_y,ground_truth,0.165,0.007499720182604808
Excitation-S4D-Pinn,v_y,ground_truth,0.231,0.007811146229264931
Excitation-S4D-Pinn,v_y,ground_truth,0.33,0.008233305554630643
Excitation-S4D-Pinn,v_y,ground_truth,0.396,0.006842532425332504
Excitation-S4D-Pinn,v_y,ground_truth,0.495,0.007198129955721555
Excitation-S4D-Pinn,v_y,ground_truth,0.627,0.008187808260647689
Excitation-S4D-Pinn,v_y,ground_truth,0.693,0.008582290602825005
Excitation-S4D-Pinn,v_y,ground_truth,0.825,0.009921162351433033
Excitation-S4D-Pinn,v_y,ground_truth,0.99,0.012195401202616196
Excitation-S4D-Pinn,v_y,ground_truth,1.056,0.013021302641563537
Excitation-S4D-Pinn,v_y,ground_truth,1.188,0.014557298175864375
Excitation-S4D-Pinn,v_y,ground_truth,1.32,0.01617817576165681
Excitation-S4D-Pinn,v_y,ground_truth,1.386,0.016278603340238007
Excitation-S4D-Pinn,v_y,ground_truth,1.518,0.01696305254923569
Excitation-S4D-Pinn,v_y,ground_truth,1.584,0.016645474126772086
Excitation-S4D-Pinn,v_y,ground_truth,1.749,0.017721173988699768
Excitation-S4D-Pinn,v_y,ground_truth,1.914,0.019315409819478546
Excitation-S4D-Pinn,v_y,ground_truth,1.98,0.017622274426146944
Excitation-S4D-Pinn,v_y,ground_truth,2.112,0.016491550632733443
Excitation-S4D-Pinn,v_y,ground_truth,2.244,0.01657244945158709
Excitation-S4D-Pinn,v_y,ground_truth,2.442,0.016927524786606973
Excitation-S4D-Pinn,v_y,ground_truth,2.574,0.016061921075041674
Excitation-S4D-Pinn,v_y,ground_truth,2.706,0.016395485602577864
Excitation-S4D-Pinn,v_y,ground_truth,2.871,0.019248440034053793
Excitation-S4D-Pinn,v_y,ground_truth,2.97,0.019614303203130845
Excitation-S4D-Pinn,v_y,ground_truth,3.069,0.02061668108359438
Excitation-S4D-Pinn,v_y,ground_truth,3.234,0.023395104321203952
Excitation-S4D-Pinn,v_y,ground_truth,3.3,0.0235340030332436
Excitation-S4D-Pinn,v_y,ground_truth,3.432,0.019549775191833874
Excitation-S4D-Pinn,v_y,ground_truth,3.564,0.01882317776733
Excitation-S4D-Pinn,v_y,ground_truth,3.696,0.02065295310063675
Excitation-S4D-Pinn,v_y,ground_truth,3.828,0.022803994935778782
Excitation-S4D-Pinn,v_y,ground_truth,3.96,0.025439875236663134
Excitation-S4D-Pinn,v_y,ground_truth,4.158,0.026070418928866523
Excitation-S4D-Pinn,v_y,ground_truth,4.29,0.021264863982131565
Excitation-S4D-Pinn,v_y,ground_truth,4.422,0.02312507805511288
Excitation-S4D-Pinn,v_y,ground_truth,4.554,0.020993746535811653
Excitation-S4D-Pinn,v_y,ground_truth,4.686,0.019411518241096992
Excitation-S4D-Pinn,v_y,ground_truth,4.884,0.018552859988739456
Excitation-S4D-Pinn,v_y,ground_truth,4.983,0.021276115459270883
Excitation-S4D-Pinn,v_y,ground_truth,5.148,0.02100248598796206
Excitation-S4D-Pinn,v_y,ground_truth,5.346,0.021291440758560043
Excitation-S4D-Pinn,v_y,ground_truth,5.511,0.019310539034466778
Excitation-S4D-Pinn,v_y,ground_truth,5.676,0.01274658320297739
Excitation-S4D-Pinn,v_y,ground_truth,5.742,0.010794868408156688
Excitation-S4D-Pinn,v_y,ground_truth,5.907,0.0045669597199697876
Excitation-S4D-Pinn,v_y,ground_truth,6.072,0.0005099819462603961
Excitation-S4D-Pinn,v_y,ground_truth,6.138,0.0003243018659286889
Excitation-S4D-Pinn,v_y,ground_truth,6.303,0.008341746467348088
Excitation-S4D-Pinn,v_y,ground_truth,6.468,0.020604105035859632
Excitation-S4D-Pinn,v_y,ground_truth,6.534,0.02643387035691447
Excitation-S4D-Pinn,v_y,ground_truth,6.732,0.040734034327135404
Excitation-S4D-Pinn,v_y,ground_truth,6.831,0.04755965839666665
Excitation-S4D-Pinn,v_y,ground_truth,6.93,0.04988995421520315
Excitation-S4D-Pinn,v_y,ground_truth,7.029,0.04609384780914816
Excitation-S4D-Pinn,v_y,ground_truth,7.194,0.028270978386503387
Excitation-S4D-Pinn,v_y,ground_truth,7.26,0.01796803235483324
Excitation-S4D-Pinn,v_y,ground_truth,7.458,-0.019273232069757285
Excitation-S4D-Pinn,v_y,ground_truth,7.656,-0.05126394002526524
Excitation-S4D-Pinn,v_y,ground_truth,7.788,-0.05583105477639094
Excitation-S4D-Pinn,v_y,ground_truth,7.92,-0.04614589427288607
Excitation-S4D-Pinn,v_y,ground_truth,8.118,-0.016208717229784675
Excitation-S4D-Pinn,v_y,ground_truth,8.184,-0.004174874694767183
Excitation-S4D-Pinn,v_y,ground_truth,8.349,0.021718878571681977
Excitation-S4D-Pinn,v_y,ground_truth,8.448,0.03283661209907951
Excitation-S4D-Pinn,v_y,ground_truth,8.547,0.041265742804748484
Excitation-S4D-Pinn,v_y,ground_truth,8.646,0.04415858644814019
Excitation-S4D-Pinn,v_y,ground_truth,8.844,0.038748080224939585
Excitation-S4D-Pinn,v_y,ground_truth,8.943,0.0321767101976409
Excitation-S4D-Pinn,v_y,ground_truth,9.108,0.0196539049697817
Excitation-S4D-Pinn,v_y,ground_truth,9.24,0.008418658307174809
Excitation-S4D-Pinn,v_y,ground_truth,9.372,-0.0066899233748829445
Excitation-S4D-Pinn,v_y,ground_truth,9.471,-0.021122719800739098
Excitation-S4D-Pinn,v_y,ground_truth,9.57,-0.039520088831630495
Excitation-S4D-Pinn,v_y,ground_truth,9.669,-0.05651641779463645
Excitation-S4D-Pinn,v_y,ground_truth,9.834,-0.07695467595256211
Excitation-S4D-Pinn,v_y,ground_truth,9.966,-0.08136221317615888
Excitation-S4D-Pinn,v_y,ground_truth,10.098,-0.07577872554678411
Excitation-S4D-Pinn,v_y,ground_truth,10.23,-0.06685505217884913
Excitation-S4D-Pinn,v_y,ground_truth,10.362,-0.06006191092980284
Excitation-S4D-Pinn,v_y,ground_truth,10.56,-0.06071292095139835
Excitation-S4D-Pinn,v_y,ground_truth,10.758,-0.0675169994031597
Excitation-S4D-Pinn,v_y,ground_truth,10.857,-0.07194694093288323
Excitation-S4D-Pinn,v_y,ground_truth,10.956,-0.08166655831925418
Excitation-S4D-Pinn,v_y,ground_truth,11.055,-0.08965333116893426
Excitation-S4D-Pinn,v_y,ground_truth,11.121,-0.09908022197033617
Excitation-S4D-Pinn,v_y,ground_truth,11.253,-0.11322572075040771
Excitation-S4D-Pinn,v_y,ground_truth,11.319,-0.12389733989345153
Excitation-S4D-Pinn,v_y,ground_truth,11.418,-0.1324452455753038
Excitation-S4D-Pinn,v_y,ground_truth,11.517,-0.15090800643228786
Excitation-S4D-Pinn,v_y,ground_truth,11.616,-0.16154779684857257
Excitation-S4D-Pinn,v_y,ground_truth,11.682,-0.17537435692234293
Excitation-S4D-Pinn,v_y,ground_truth,11.781,-0.1855614367724785
Excitation-S4D-Pinn,v_y,ground_truth,11.847,-0.19543884439812498
Excitation-S4D-Pinn,v_y,ground_truth,11.946,-0.22677466997077733
Excitation-S4D-Pinn,v_y,ground_truth,12.045,-0.259240539238327
Excitation-S4D-Pinn,v_y,ground_truth,12.144,-0.28727869680657925
Excitation-S4D-Pinn,v_y,ground_truth,12.21,-0.3015333808071352
Excitation-S4D-Pinn,v_y,ground_truth,12.342,-0.34575295895702407
Excitation-S4D-Pinn,v_y,ground_truth,12.408,-0.3732765222387444
Excitation-S4D-Pinn,v_y,ground_truth,12.474,-0.4000682266119311
Excitation-S4D-Pinn,v_y,ground_truth,12.54,-0.4061647587069608
Excitation-S4D-Pinn,v_y,ground_truth,12.705,-0.46117940117835143
Excitation-S4D-Pinn,v_y,ground_truth,12.804,-0.4998211134116608
Excitation-S4D-Pinn,v_y,ground_truth,12.903,-0.5450522314829915
Excitation-S4D-Pinn,v_y,ground_truth,13.035,-0.5823285506492435
Excitation-S4D-Pinn,v_y,ground_truth,13.167,-0.6059626462842629
Excitation-S4D-Pinn,v_y,ground_truth,13.299,-0.6345798776662899
Excitation-S4D-Pinn,v_y,ground_truth,13.365,-0.6332147481722812
Excitation-S4D-Pinn,v_y,ground_truth,13.497,-0.6535064029523847
Excitation-S4D-Pinn,v_y,ground_truth,13.563,-0.6612244762151371
Excitation-S4D-Pinn,v_y,ground_truth,13.695,-0.6736724833769259
Excitation-S4D-Pinn,v_y,ground_truth,13.761,-0.677525533981157
Excitation-S4D-Pinn,v_y,ground_truth,13.893,-0.6791342131648089
Excitation-S4D-Pinn,v_y,ground_truth,14.025,-0.6664484471283724
Excitation-S4D-Pinn,v_y,ground_truth,14.157,-0.6266634423585403
Excitation-S4D-Pinn,v_y,ground_truth,14.355,-0.4957952983232375
Excitation-S4D-Pinn,v_y,ground_truth,14.487,-0.43285921951005857
Excitation-S4D-Pinn,v_y,ground_truth,14.619,-0.41075342968815076
Excitation-S4D-Pinn,v_y,ground_truth,14.751,-0.3966923151853755
Excitation-S4D-Pinn,v_y,ground_truth,14.883,-0.396943690660132
Excitation-S4D-Pinn,v_y,ground_truth,15.048,-0.37726226929758766
Excitation-S4D-Pinn,v_y,ground_truth,15.147,-0.3782989925110618
Excitation-S4D-Pinn,v_y,ground_truth,15.279,-0.36184215686861987
Excitation-S4D-Pinn,v_y,ground_truth,15.411,-0.33188394680879485
Excitation-S4D-Pinn,v_y,ground_truth,15.543,-0.2913196166887486
Excitation-S4D-Pinn,v_y,ground_truth,15.675,-0.2597356623615892
Excitation-S4D-Pinn,v_y,ground_truth,15.873,-0.21002122663271816
Excitation-S4D-Pinn,v_y,ground_truth,16.005,-0.16945600130050176
Excitation-S4D-Pinn,v_y,ground_truth,16.137,-0.13136967135616917
Excitation-S4D-Pinn,v_y,ground_truth,16.203,-0.11381287140230523
Excitation-S4D-Pinn,v_y,ground_truth,16.335,-0.09508587369633537
Excitation-S4D-Pinn,v_y,ground_truth,16.401,-0.09083807189686821
Excitation-S4D-Pinn,v_y,ground_truth,16.533,-0.08354606196996972
Excitation-S4D-Pinn,v_y,ground_truth,16.665,-0.0824153887847241
Excitation-S4D-Pinn,v_y,ground_truth,16.797,-0.07931252976066272
Excitation-S4D-Pinn,v_y,ground_truth,16.929,-0.0798682338822978
Excitation-S4D-Pinn,v_y,ground_truth,17.061,-0.08106318987262195
Excitation-S4D-Pinn,v_y,ground_truth,17.193,-0.08328173487881019
Excitation-S4D-Pinn,v_y,ground_truth,17.325,-0.09276793492711688
Excitation-S4D-Pinn,v_y,ground_truth,17.457,-0.11056269996859092
Excitation-S4D-Pinn,v_y,ground_truth,17.589,-0.1266083927881727
Excitation-S4D-Pinn,v_y,ground_truth,17.721,-0.1494506700921434
Excitation-S4D-Pinn,v_y,ground_truth,17.853,-0.18028505676587603
Excitation-S4D-Pinn,v_y,ground_truth,17.985,-0.2161969209268415
Excitation-S4D-Pinn,v_y,ground_truth,18.117,-0.2637743056659714
Excitation-S4D-Pinn,v_y,ground_truth,18.249,-0.3041615021313726
Excitation-S4D-Pinn,v_y,ground_truth,18.381,-0.36007742133955745
Excitation-S4D-Pinn,v_y,ground_truth,18.513,-0.400271777072593
Excitation-S4D-Pinn,v_y,ground_truth,18.612,-0.4205824403302971
Excitation-S4D-Pinn,v_y,ground_truth,18.711,-0.4433790030343365
Excitation-S4D-Pinn,v_y,ground_truth,18.81,-0.44436981848266477
Excitation-S4D-Pinn,v_y,ground_truth,18.975,-0.4297378338548352
Excitation-S4D-Pinn,v_y,ground_truth,19.107,-0.4204756387033033
Excitation-S4D-Pinn,v_y,ground_truth,19.239,-0.38587238901177656
Excitation-S4D-Pinn,v_y,ground_truth,19.371,-0.3434946896201785
Excitation-S4D-Pinn,v_y,ground_truth,19.503,-0.31885357111989343
Excitation-S4D-Pinn,v_y,ground_truth,19.635,-0.3082324697437553
Excitation-S4D-Pinn,v_y,ground_truth,19.833,-0.29691192951496603
Excitation-S4D-Pinn,v_y,ground_truth,19.932,-0.28440445449682983
Excitation-S4D-Pinn,v_y,ground_truth,20.097,-0.27408920102335443
Excitation-S4D-Pinn,v_y,ground_truth,20.229,-0.24903693105406077
Excitation-S4D-Pinn,v_y,ground_truth,20.361,-0.22318674934822624
Excitation-S4D-Pinn,v_y,ground_truth,20.559,-0.17290824980690545
Excitation-S4D-Pinn,v_y,ground_truth,20.757,-0.12819864792266777
Excitation-S4D-Pinn,v_y,ground_truth,20.889,-0.09423177368846147
Excitation-S4D-Pinn,v_y,ground_truth,21.021,-0.0722758903833709
Excitation-S4D-Pinn,v_y,ground_truth,21.153,-0.053431492757222365
Excitation-S4D-Pinn,v_y,ground_truth,21.285,-0.038427296286437596
Excitation-S4D-Pinn,v_y,ground_truth,21.45,-0.02822904251388625
Excitation-S4D-Pinn,v_y,ground_truth,21.549,-0.022677633720265433
Excitation-S4D-Pinn,v_y,ground_truth,21.681,-0.01838270232208039
Excitation-S4D-Pinn,v_y,ground_truth,21.813,-0.015392061619822428
Excitation-S4D-Pinn,v_y,ground_truth,21.945,-0.010364695198035179
Excitation-S4D-Pinn,v_y,ground_truth,22.077,-0.0033443556082293213
Excitation-S4D-Pinn,v_y,ground_truth,22.275,0.0088325870341599
Excitation-S4D-Pinn,v_y,ground_truth,22.473,0.0276793186814146
Excitation-S4D-Pinn,v_y,ground_truth,22.572,0.03922815829768389
Excitation-S4D-Pinn,v_y,ground_truth,22.671,0.05458503866131714
Excitation-S4D-Pinn,v_y,ground_truth,22.77,0.06855840721159545
Excitation-S4D-Pinn,v_y,ground_truth,22.935,0.09611215304167686
Excitation-S4D-Pinn,v_y,ground_truth,23.001,0.11127402563409916
Excitation-S4D-Pinn,v_y,ground_truth,23.199,0.15338359478267627
Excitation-S4D-Pinn,v_y,ground_truth,23.331,0.18748410305931884
Excitation-S4D-Pinn,v_y,ground_truth,23.463,0.21481578860623074
Excitation-S4D-Pinn,v_y,ground_truth,23.595,0.24872356324239853
Excitation-S4D-Pinn,v_y,ground_truth,23.727,0.26884626550685375
Excitation-S4D-Pinn,v_y,ground_truth,23.892,0.2850996193205493
Excitation-S4D-Pinn,v_y,ground_truth,24.057,0.29548334539259447
Excitation-S4D-Pinn,v_y,ground_truth,24.123,0.3048654220164746
Excitation-S4D-Pinn,v_y,ground_truth,24.255,0.3098118462164621
Excitation-S4D-Pinn,v_y,ground_truth,24.321,0.3143325555675771
Excitation-S4D-Pinn,v_y,ground_truth,24.453,0.3078257196030627
Excitation-S4D-Pinn,v_y,ground_truth,24.585,0.30720009728436537
Excitation-S4D-Pinn,v_y,ground_truth,24.717,0.311984640203816
Excitation-S4D-Pinn,v_y,ground_truth,24.849,0.31951733460439957
Excitation-S4D-Pinn,v_y,ground_truth,24.981,0.33234724059313336
Excitation-S4D-Pinn,v_y,ground_truth,25.113,0.3452054415387975
Excitation-S4D-Pinn,v_y,ground_truth,25.245,0.358794823905769
Excitation-S4D-Pinn,v_y,ground_truth,25.377,0.3783727393168661
Excitation-S4D-Pinn,v_y,ground_truth,25.509,0.3902234352797196
Excitation-S4D-Pinn,v_y,ground_truth,25.641,0.41919271137155256
Excitation-S4D-Pinn,v_y,ground_truth,25.773,0.4489358503575893
Excitation-S4D-Pinn,v_y,ground_truth,25.905,0.48678660884316827
Excitation-S4D-Pinn,v_y,ground_truth,26.037,0.4818182505504405
Excitation-S4D-Pinn,v_y,ground_truth,26.169,0.4579937187914531
Excitation-S4D-Pinn,v_y,ground_truth,26.301,0.42489282239959714
