scenario,signal,t_s,error_est_minus_gt
Excitation-S4D-Pinn,front_sum_fy,0.0,-0.4202429813148494
Excitation-S4D-Pinn,front_sum_fy,0.33,0.2877250305377539
Excitation-S4D-Pinn,front_sum_fy,0.66,-0.5052309820741856
Excitation-S4D-Pinn,front_sum_fy,0.99,-1.6374294881983742
Excitation-S4D-Pinn,front_sum_fy,1.32,-1.6387776449063267
Excitation-S4D-Pinn,front_sum_fy,1.65,0.38714993182254154
Excitation-S4D-Pinn,front_sum_fy,1.98,0.9109511225934916
Excitation-S4D-Pinn,front_sum_fy,2.145,1.9029891353942254
Excitation-S4D-Pinn,front_sum_fy,2.211,1.754878762109799
Excitation-S4D-Pinn,front_sum_fy,2.31,2.2751055073343043
Excitation-S4D-Pinn,front_sum_fy,2.409,2.4208446452495824
Excitation-S4D-Pinn,front_sum_fy,2.508,2.602249420510301
Excitation-S4D-Pinn,front_sum_fy,2.607,2.4280115963697497
Excitation-S4D-Pinn,front_sum_fy,2.706,1.952315617232049
Excitation-S4D-Pinn,front_sum_fy,2.805,2.214590117176158
Excitation-S4D-Pinn,front_sum_fy,2.937,2.2087719692991215
Excitation-S4D-Pinn,front_sum_fy,3.069,1.4787220237600547
Excitation-S4D-Pinn,front_sum_fy,3.201,1.4539634399054444
Excitation-S4D-Pinn,front_sum_fy,3.333,1.4397887918557863
Excitation-S4D-Pinn,front_sum_fy,3.432,1.2092534820492151
Excitation-S4D-Pinn,front_sum_fy,3.531,0.6999202099343709
Excitation-S4D-Pinn,front_sum_fy,3.63,0.5464897537597224
Excitation-S4D-Pinn,front_sum_fy,3.729,0.4774018726856095
Excitation-S4D-Pinn,front_sum_fy,3.828,0.18512974277447314
Excitation-S4D-Pinn,front_sum_fy,3.927,-0.5062803626332038
Excitation-S4D-Pinn,front_sum_fy,4.026,-1.0065032669741107
Excitation-S4D-Pinn,front_sum_fy,4.125,-0.4601242287399634
Excitation-S4D-Pinn,front_sum_fy,4.257,0.25192590679205074
Excitation-S4D-Pinn,front_sum_fy,4.389,0.8786205423123699
Excitation-S4D-Pinn,front_sum_fy,4.521,0.9231956486481945
Excitation-S4D-Pinn,front_sum_fy,4.653,-0.26109522571335786
Excitation-S4D-Pinn,front_sum_fy,4.752,0.25304420115276915
Excitation-S4D-Pinn,front_sum_fy,4.851,-0.1431494011929516
Excitation-S4D-Pinn,front_sum_fy,4.95,0.21148343720963014
Excitation-S4D-Pinn,front_sum_fy,5.049,0.43752443087166215
Excitation-S4D-Pinn,front_sum_fy,5.148,0.6442364254933794
Excitation-S4D-Pinn,front_sum_fy,5.247,0.185220094492355
Excitation-S4D-Pinn,front_sum_fy,5.346,-1.8571001404608367
Excitation-S4D-Pinn,front_sum_fy,5.445,0.04837570732569774
Excitation-S4D-Pinn,front_sum_fy,5.577,1.080549543482677
Excitation-S4D-Pinn,front_sum_fy,5.775,0.4067426134980785
Excitation-S4D-Pinn,front_sum_fy,5.907,-0.16696298084822603
Excitation-S4D-Pinn,front_sum_fy,6.039,-0.4592873497084664
Excitation-S4D-Pinn,front_sum_fy,6.105,-0.8893699312182273
Excitation-S4D-Pinn,front_sum_fy,6.237,-2.474514815419205
Excitation-S4D-Pinn,front_sum_fy,6.303,-0.07190107983878147
Excitation-S4D-Pinn,front_sum_fy,6.435,-0.8522932855853895
Excitation-S4D-Pinn,front_sum_fy,6.501,-0.2675271360182625
