scenario,signal,series,t_s,value
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,0.0,0.6370000243186951
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,0.165,0.6370000243186951
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,0.33,0.6370000243186951
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,0.495,0.6370000243186951
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,0.66,0.6370000243186951
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,0.825,0.6370000243186951
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,0.99,0.6370000243186951
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,1.155,0.6370000243186951
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,1.32,0.6370000243186951
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,1.485,0.6362999677658081
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,1.65,0.6362999677658081
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,1.815,0.6362999677658081
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,1.98,0.6362999677658081
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,2.145,0.6362999677658081
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,2.31,0.6362999677658081
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,2.475,0.6362999677658081
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,2.64,0.6362999677658081
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,2.805,0.6362999677658081
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,2.97,0.6362999677658081
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,3.135,0.6362999677658081
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,3.3,0.6362999677658081
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,3.564,0.6355999708175659
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,3.729,0.6355999708175659
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,3.894,0.6355999708175659
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,4.059,0.6355999708175659
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,4.224,0.6355999708175659
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,4.389,0.6355999708175659
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,4.554,0.6355999708175659
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,4.719,0.6355999708175659
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,4.884,0.6355999708175659
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,5.214,0.6355999708175659
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,5.379,0.6348999738693237
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,5.544,0.6348999738693237
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,5.709,0.6348999738693237
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,5.874,0.6348999738693237
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,6.039,0.6348999738693237
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,6.204,0.6348999738693237
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,6.369,0.6348999738693237
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,6.534,0.6348999738693237
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,6.699,0.6348999738693237
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,6.864,0.6348999738693237
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,7.029,0.6348999738693237
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,7.194,0.6348999738693237
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,7.458,0.6341999769210815
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,7.623,0.6341999769210815
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,7.788,0.6341999769210815
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,7.953,0.6341999769210815
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,8.085,0.6341999769210815
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,8.118,0.6341999769210815
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,8.184,0.6341999769210815
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,8.283,0.6341999769210815
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,8.349,0.6341999769210815
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,8.514,0.6341999769210815
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,8.679,0.6341999769210815
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,8.844,0.6341999769210815
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,9.009,0.6341999769210815
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,9.273,0.6334993243217468
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,9.438,0.6334993243217468
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,9.603,0.6334993243217468
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,9.768,0.6334993243217468
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,9.933,0.6334993243217468
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,10.098,0.6334993243217468
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,10.263,0.6334993243217468
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,10.428,0.6334993243217468
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,10.593,0.6334993243217468
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,10.758,0.6334993243217468
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,10.923,0.6334993243217468
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,11.121,0.6327999830245972
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,11.286,0.6327999830245972
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,11.451,0.6327999830245972
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,11.616,0.6327999830245972
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,11.781,0.6327999830245972
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,11.946,0.6327999830245972
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,12.111,0.6327999830245972
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,12.276,0.6327999830245972
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,12.441,0.6327999830245972
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,12.606,0.6327999830245972
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,12.87,0.6327999830245972
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,12.936,0.6327999830245972
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.002,0.6327999830245972
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.068,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.101,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.167,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.2,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.233,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.266,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.299,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.365,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.398,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.431,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.497,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.563,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.596,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.629,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.695,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.761,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.827,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.893,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.926,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,13.959,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.025,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.091,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.124,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.157,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.223,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.289,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.322,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.355,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.421,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.487,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.52,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.553,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.586,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.619,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.685,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.718,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.784,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.817,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.883,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.916,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,14.949,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.015,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.081,0.632099986076355
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.147,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.18,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.213,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.279,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.345,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.378,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.411,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.444,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.51,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.543,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.576,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.609,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.675,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.708,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.741,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,15.84,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,16.005,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,16.17,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,16.203,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,16.236,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,16.269,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,16.335,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,16.368,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,16.533,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,16.698,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,16.863,0.6313999891281128
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,17.127,0.6306999921798706
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,17.259,0.6306999921798706
Excitation-S4D-Pinn-decay-mu,front_mu,plant_mu,17.292,0.6306999921798706
