scenario,series,alpha_rad_or_coefficient,value
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.2,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.19798994974874373,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.19597989949748745,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.19396984924623117,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.1919597989949749,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.18994974874371862,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.1879396984924623,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.18592964824120603,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.18391959798994975,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.18190954773869347,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.1798994974874372,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.17788944723618091,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.17587939698492464,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.17386934673366836,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.17185929648241208,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.1698492462311558,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.1678391959798995,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.1658291457286432,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.16381909547738693,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.16180904522613065,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.15979899497487438,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.1577889447236181,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.15577889447236182,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.15376884422110554,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.15175879396984926,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.14974874371859298,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.1477386934673367,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.14572864321608042,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.14371859296482414,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.14170854271356784,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.13969849246231156,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.13768844221105528,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.135678391959799,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.13366834170854272,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.13165829145728644,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.12964824120603013,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.12763819095477386,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.12562814070351758,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.12361809045226131,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.12160804020100503,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.11959798994974874,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.11758793969849246,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.11557788944723618,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.1135678391959799,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.11155778894472362,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.10954773869346734,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.10753768844221105,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.10552763819095477,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.1035175879396985,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.10150753768844221,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.09949748743718594,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.09748743718592964,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.09547738693467336,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.09346733668341708,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.0914572864321608,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.08944723618090453,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.08743718592964825,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.08542713567839195,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.08341708542713568,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.0814070351758794,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.07939698492462312,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.07738693467336684,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.07537688442211055,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.07336683417085427,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.07135678391959799,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.06934673366834171,-481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.06733668341708543,-481.42925740380906
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.06532663316582915,-481.2733570815365
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.06331658291457287,-480.94091531427176
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.06130653266331659,-480.3649581402042
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.059296482412060286,-479.478606213252
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.05728643216080401,-478.21506927246236
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.05527638190954773,-476.5076406268914
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.05326633165829145,-474.2896916552602
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.05125628140703517,-471.4946663196845
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,-0.04924623115577889,-468.0560756927785
