scenario,signal,error_gt_minus_est
Excitation-S4D-Pinn-decay-mu,omega,-0.007807274345099463
Excitation-S4D-Pinn-decay-mu,omega,-0.009654249164886535
Excitation-S4D-Pinn-decay-mu,omega,-0.019685149016592268
Excitation-S4D-Pinn-decay-mu,omega,-0.00884761262355858
Excitation-S4D-Pinn-decay-mu,omega,-0.010409805298489535
Excitation-S4D-Pinn-decay-mu,omega,-0.017989856900265375
Excitation-S4D-Pinn-decay-mu,omega,-0.009187149433664743
Excitation-S4D-Pinn-decay-mu,omega,-0.010590092320594022
Excitation-S4D-Pinn-decay-mu,omega,-0.010084016482160547
Excitation-S4D-Pinn-decay-mu,omega,-0.011419815730348655
Excitation-S4D-Pinn-decay-mu,omega,-0.012179124456709964
Excitation-S4D-Pinn-decay-mu,omega,-0.011881573808220042
Excitation-S4D-Pinn-decay-mu,omega,-0.010498756486541224
Excitation-S4D-Pinn-decay-mu,omega,-0.011750179276262072
Excitation-S4D-Pinn-decay-mu,omega,-0.009871196297167983
Excitation-S4D-Pinn-decay-mu,omega,-0.015631159406236876
Excitation-S4D-Pinn-decay-mu,omega,-0.00737135169502325
Excitation-S4D-Pinn-decay-mu,omega,-0.009784650155640048
Excitation-S4D-Pinn-decay-mu,omega,-0.009753161455410633
Excitation-S4D-Pinn-decay-mu,omega,-0.009246090442569903
Excitation-S4D-Pinn-decay-mu,omega,-0.009982434287124229
Excitation-S4D-Pinn-decay-mu,omega,-0.012729752795162096
Excitation-S4D-Pinn-decay-mu,omega,-0.01171124658602473
Excitation-S4D-Pinn-decay-mu,omega,-0.026719688249160774
Excitation-S4D-Pinn-decay-mu,omega,-0.027778237151277627
Excitation-S4D-Pinn-decay-mu,omega,-0.008911559817740587
Excitation-S4D-Pinn-decay-mu,omega,0.006235347446420536
Excitation-S4D-Pinn-decay-mu,omega,0.016773890450645024
Excitation-S4D-Pinn-decay-mu,omega,0.0204298871198868
Excitation-S4D-Pinn-decay-mu,omega,0.023000223457079107
Excitation-S4D-Pinn-decay-mu,omega,0.01575810829547124
Excitation-S4D-Pinn-decay-mu,omega,0.004467472783774365
Excitation-S4D-Pinn-decay-mu,omega,0.004018490818429638
Excitation-S4D-Pinn-decay-mu,omega,0.0009225960093886239
Excitation-S4D-Pinn-decay-mu,omega,-0.004212180735193583
Excitation-S4D-Pinn-decay-mu,omega,-0.011301406547598578
Excitation-S4D-Pinn-decay-mu,omega,-0.02766856564162949
Excitation-S4D-Pinn-decay-mu,omega,-0.005532693012242011
Excitation-S4D-Pinn-decay-mu,omega,-0.00017600632718607623
Excitation-S4D-Pinn-decay-mu,omega,0.004881480758647819
Excitation-S4D-Pinn-decay-mu,omega,0.002438661946759374
Excitation-S4D-Pinn-decay-mu,omega,-0.0036450459033784133
Excitation-S4D-Pinn-decay-mu,omega,-0.008826623273910046
Excitation-S4D-Pinn-decay-mu,omega,-0.02872689403102105
Excitation-S4D-Pinn-decay-mu,omega,-0.018279486050769136
Excitation-S4D-Pinn-decay-mu,omega,-0.023286585805052232
Excitation-S4D-Pinn-decay-mu,omega,-0.052448859647799106
Excitation-S4D-Pinn-decay-mu,omega,-0.06033140179014998
Excitation-S4D-Pinn-decay-mu,omega,-0.031339481734527636
Excitation-S4D-Pinn-decay-mu,omega,-0.04017778794666804
Excitation-S4D-Pinn-decay-mu,omega,-0.038149701719963014
Excitation-S4D-Pinn-decay-mu,omega,-0.1406111132198375
Excitation-S4D-Pinn-decay-mu,omega,-0.06769891125283192
Excitation-S4D-Pinn-decay-mu,omega,-0.1107030685814053
Excitation-S4D-Pinn-decay-mu,omega,-0.05280951165101799
Excitation-S4D-Pinn-decay-mu,omega,-0.06097165720571143
Excitation-S4D-Pinn-decay-mu,omega,-0.1106990326147679
Excitation-S4D-Pinn-decay-mu,omega,-0.08692418173631059
Excitation-S4D-Pinn-decay-mu,omega,-0.03511979919783398
Excitation-S4D-Pinn-decay-mu,omega,-0.028156726827758938
Excitation-S4D-Pinn-decay-mu,omega,-0.031285405692535295
Excitation-S4D-Pinn-decay-mu,omega,0.015539895093921285
Excitation-S4D-Pinn-decay-mu,omega,-0.0015302072211517692
Excitation-S4D-Pinn-decay-mu,omega,-0.05290917817003865
Excitation-S4D-Pinn-decay-mu,omega,-0.02570827071289289
Excitation-S4D-Pinn-decay-mu,omega,-0.029485418207289782
Excitation-S4D-Pinn-decay-mu,omega,-0.04018365352828149
Excitation-S4D-Pinn-decay-mu,omega,-0.08275839500113102
Excitation-S4D-Pinn-decay-mu,omega,-0.03374859734906427
Excitation-S4D-Pinn-decay-mu,omega,-0.07141543208153919
Excitation-S4D-Pinn-decay-mu,omega,-0.0060124910443792035
Excitation-S4D-Pinn-decay-mu,omega,-0.04501295604516492
Excitation-S4D-Pinn-decay-mu,omega,-0.166041240231504
Excitation-S4D-Pinn-decay-mu,omega,-0.11676491877869061
Excitation-S4D-Pinn-decay-mu,omega,-0.13178722425403872
Excitation-S4D-Pinn-decay-mu,omega,-0.1439123630291157
Excitation-S4D-Pinn-decay-mu,omega,-0.08226492815272485
Excitation-S4D-Pinn-decay-mu,omega,-0.18966042289974044
Excitation-S4D-Pinn-decay-mu,omega,-0.20742457540260706
Excitation-S4D-Pinn-decay-mu,omega,-0.08749609129409575
Excitation-S4D-Pinn-decay-mu,omega,-0.08689862752621708
Excitation-S4D-Pinn-decay-mu,omega,-0.0831372463635498
Excitation-S4D-Pinn-decay-mu,omega,-0.06193791554819206
Excitation-S4D-Pinn-decay-mu,omega,-0.06593416192071344
Excitation-S4D-Pinn-decay-mu,omega,-0.04495152560245336
Excitation-S4D-Pinn-decay-mu,omega,-0.037916137026725916
Excitation-S4D-Pinn-decay-mu,omega,-0.07784652765412603
Excitation-S4D-Pinn-decay-mu,omega,-0.09129695123007062
Excitation-S4D-Pinn-decay-mu,omega,-0.026101490131212407
Excitation-S4D-Pinn-decay-mu,omega,-0.025810031997441862
Excitation-S4D-Pinn-decay-mu,omega,-0.031227108858153052
Excitation-S4D-Pinn-decay-mu,omega,0.0029727306737004078
Excitation-S4D-Pinn-decay-mu,omega,0.008767340549946268
Excitation-S4D-Pinn-decay-mu,omega,0.016249308747053416
Excitation-S4D-Pinn-decay-mu,omega,0.01763198389021447
Excitation-S4D-Pinn-decay-mu,omega,0.014156358808663394
Excitation-S4D-Pinn-decay-mu,omega,0.00889933568911616
Excitation-S4D-Pinn-decay-mu,omega,0.012727711070372181
Excitation-S4D-Pinn-decay-mu,omega,0.013858124965091763
Excitation-S4D-Pinn-decay-mu,omega,0.018430054032248892
Excitation-S4D-Pinn-decay-mu,omega,0.026051474088521258
Excitation-S4D-Pinn-decay-mu,omega,0.033991465208066396
Excitation-S4D-Pinn-decay-mu,omega,0.05627235348072131
Excitation-S4D-Pinn-decay-mu,omega,0.03220341910737455
Excitation-S4D-Pinn-decay-mu,omega,0.08079668245198557
Excitation-S4D-Pinn-decay-mu,omega,0.07430070936633507
Excitation-S4D-Pinn-decay-mu,omega,0.12375535370644636
Excitation-S4D-Pinn-decay-mu,omega,0.11388642019946585
Excitation-S4D-Pinn-decay-mu,omega,0.12058657292395097
Excitation-S4D-Pinn-decay-mu,omega,0.3252107889729545
Excitation-S4D-Pinn-decay-mu,omega,0.06248537611143651
Excitation-S4D-Pinn-decay-mu,omega,0.054485962057943094
Excitation-S4D-Pinn-decay-mu,omega,0.048020770400584
Excitation-S4D-Pinn-decay-mu,omega,0.20508390248119196
Excitation-S4D-Pinn-decay-mu,omega,0.07246194484442942
Excitation-S4D-Pinn-decay-mu,omega,0.05442653834569122
Excitation-S4D-Pinn-decay-mu,omega,0.05899527933373844
Excitation-S4D-Pinn-decay-mu,omega,0.0640754908383055
Excitation-S4D-Pinn-decay-mu,omega,0.06184455997415017
Excitation-S4D-Pinn-decay-mu,omega,0.059873514917283766
Excitation-S4D-Pinn-decay-mu,omega,0.1873938665225971
Excitation-S4D-Pinn-decay-mu,omega,0.1339508396765804
Excitation-S4D-Pinn-decay-mu,omega,0.16349435960590702
Excitation-S4D-Pinn-decay-mu,omega,0.07717740423583291
Excitation-S4D-Pinn-decay-mu,omega,0.31688125855532673
Excitation-S4D-Pinn-decay-mu,omega,0.06398288684268044
Excitation-S4D-Pinn-decay-mu,omega,0.13976606806485808
Excitation-S4D-Pinn-decay-mu,omega,0.0679515990417992
Excitation-S4D-Pinn-decay-mu,omega,0.046448398844156524
Excitation-S4D-Pinn-decay-mu,omega,0.052483596931913234
Excitation-S4D-Pinn-decay-mu,omega,0.04732568260316661
Excitation-S4D-Pinn-decay-mu,omega,0.1504748371040328
Excitation-S4D-Pinn-decay-mu,omega,0.12402909482905655
Excitation-S4D-Pinn-decay-mu,omega,0.10618372367893747
Excitation-S4D-Pinn-decay-mu,omega,0.10619016648264445
Excitation-S4D-Pinn-decay-mu,omega,0.10036571346608497
Excitation-S4D-Pinn-decay-mu,omega,0.11473403516720088
Excitation-S4D-Pinn-decay-mu,omega,0.2025863290838228
Excitation-S4D-Pinn-decay-mu,omega,0.13782023548518807
Excitation-S4D-Pinn-decay-mu,omega,0.06925186528898669
Excitation-S4D-Pinn-decay-mu,omega,0.14811979460000047
Excitation-S4D-Pinn-decay-mu,omega,0.1295193428202296
Excitation-S4D-Pinn-decay-mu,omega,0.10738421815526061
Excitation-S4D-Pinn-decay-mu,omega,0.045141622321535124
Excitation-S4D-Pinn-decay-mu,omega,0.1617949248499515
Excitation-S4D-Pinn-decay-mu,omega,0.0620589429175904
Excitation-S4D-Pinn-decay-mu,omega,0.049030986892353134
Excitation-S4D-Pinn-decay-mu,omega,0.09584192795561475
Excitation-S4D-Pinn-decay-mu,omega,0.06381162834484305
Excitation-S4D-Pinn-decay-mu,omega,0.025541404240596838
Excitation-S4D-Pinn-decay-mu,omega,0.024180615249399295
Excitation-S4D-Pinn-decay-mu,omega,0.030386833798536877
Excitation-S4D-Pinn-decay-mu,omega,0.03071824911125612
Excitation-S4D-Pinn-decay-mu,omega,0.05773304321869127
Excitation-S4D-Pinn-decay-mu,omega,0.027494599509029716
Excitation-S4D-Pinn-decay-mu,omega,0.02341910110047346
Excitation-S4D-Pinn-decay-mu,omega,0.011835304301968608
Excitation-S4D-Pinn-decay-mu,omega,0.006817487308300285
Excitation-S4D-Pinn-decay-mu,omega,0.0039691016090798725
Excitation-S4D-Pinn-decay-mu,omega,-0.0022413051846511822
Excitation-S4D-Pinn-decay-mu,omega,-0.010403474702634335
Excitation-S4D-Pinn-decay-mu,omega,-0.01619514072648201
Excitation-S4D-Pinn-decay-mu,omega,-0.008102765992714908
Excitation-S4D-Pinn-decay-mu,omega,-0.013779891144063361
Excitation-S4D-Pinn-decay-mu,omega,-0.027511012385659152
Excitation-S4D-Pinn-decay-mu,omega,-0.007928079092186277
Excitation-S4D-Pinn-decay-mu,omega,-0.011445905127631724
Excitation-S4D-Pinn-decay-mu,omega,-0.025155377852898692
Excitation-S4D-Pinn-decay-mu,omega,-0.012146705304977422
Excitation-S4D-Pinn-decay-mu,omega,-0.014217826524108836
Excitation-S4D-Pinn-decay-mu,omega,-0.031680315023416034
Excitation-S4D-Pinn-decay-mu,omega,-0.013238088926287923
Excitation-S4D-Pinn-decay-mu,omega,-0.008509903775713333
Excitation-S4D-Pinn-decay-mu,omega,-0.00516791575582881
Excitation-S4D-Pinn-decay-mu,omega,-0.00481904434461404
Excitation-S4D-Pinn-decay-mu,omega,-0.0025781353927146096
Excitation-S4D-Pinn-decay-mu,omega,-0.0044987399698365425
Excitation-S4D-Pinn-decay-mu,omega,-0.0005916451099305733
Excitation-S4D-Pinn-decay-mu,omega,-0.002072991159918401
Excitation-S4D-Pinn-decay-mu,omega,-0.0014045872606047935
Excitation-S4D-Pinn-decay-mu,omega,-0.00045205913559095284
Excitation-S4D-Pinn-decay-mu,omega,-0.00041642832847524347
Excitation-S4D-Pinn-decay-mu,omega,-0.0006349893454856634
Excitation-S4D-Pinn-decay-mu,omega,-0.0008687242973381068
Excitation-S4D-Pinn-decay-mu,omega,-0.0023565419537633636
Excitation-S4D-Pinn-decay-mu,omega,-0.0019010760092115983
Excitation-S4D-Pinn-decay-mu,omega,-1.527108846439973e-05
Excitation-S4D-Pinn-decay-mu,omega,0.0012348821380368871
Excitation-S4D-Pinn-decay-mu,omega,0.0022109770426063033
Excitation-S4D-Pinn-decay-mu,omega,0.0024472171817214866
Excitation-S4D-Pinn-decay-mu,omega,0.0027945652538853005
Excitation-S4D-Pinn-decay-mu,omega,0.005066849834728243
Excitation-S4D-Pinn-decay-mu,omega,0.003259563224353154
Excitation-S4D-Pinn-decay-mu,omega,0.01995705600757823
Excitation-S4D-Pinn-decay-mu,omega,0.004880887737970976
Excitation-S4D-Pinn-decay-mu,omega,0.0004181396991666947
Excitation-S4D-Pinn-decay-mu,omega,-0.004830672709784614
Excitation-S4D-Pinn-decay-mu,omega,-0.008426185165154934
Excitation-S4D-Pinn-decay-mu,omega,-0.006970042614003524
Excitation-S4D-Pinn-decay-mu,omega,-0.002256401171511546
Excitation-S4D-Pinn-decay-mu,omega,0.003631719351317314
Excitation-S4D-Pinn-decay-mu,omega,0.008541204686665194
Excitation-S4D-Pinn-decay-mu,omega,0.0040125067681576615
Excitation-S4D-Pinn-decay-mu,omega,0.0031309833785262142
Excitation-S4D-Pinn-decay-mu,omega,0.015929888434847772
Excitation-S4D-Pinn-decay-mu,omega,0.008627730098123967
Excitation-S4D-Pinn-decay-mu,omega,0.02236185188761715
Excitation-S4D-Pinn-decay-mu,omega,0.017876246349568733
Excitation-S4D-Pinn-decay-mu,omega,0.024975197259401644
Excitation-S4D-Pinn-decay-mu,omega,0.016077541640739518
Excitation-S4D-Pinn-decay-mu,omega,0.012281201720209217
Excitation-S4D-Pinn-decay-mu,omega,0.0006490203260013927
Excitation-S4D-Pinn-decay-mu,omega,-0.0029113837392519826
Excitation-S4D-Pinn-decay-mu,omega,0.0007750235450793286
Excitation-S4D-Pinn-decay-mu,omega,0.006051453881700836
Excitation-S4D-Pinn-decay-mu,omega,0.010115918008165387
Excitation-S4D-Pinn-decay-mu,omega,0.011427418576413745
Excitation-S4D-Pinn-decay-mu,omega,0.017967904167010385
Excitation-S4D-Pinn-decay-mu,omega,0.04435588118863837
Excitation-S4D-Pinn-decay-mu,omega,0.03258946687071526
Excitation-S4D-Pinn-decay-mu,omega,0.031946515562427696
Excitation-S4D-Pinn-decay-mu,omega,0.007244613873386735
Excitation-S4D-Pinn-decay-mu,omega,0.0208724994730336
Excitation-S4D-Pinn-decay-mu,omega,0.026340703341214217
Excitation-S4D-Pinn-decay-mu,omega,-0.0033625213766613204
Excitation-S4D-Pinn-decay-mu,omega,-0.013061963691937406
Excitation-S4D-Pinn-decay-mu,omega,-0.03217113071836397
Excitation-S4D-Pinn-decay-mu,omega,-0.012522209183928892
Excitation-S4D-Pinn-decay-mu,omega,-0.008094080004562354
Excitation-S4D-Pinn-decay-mu,omega,-0.0007218787841358765
Excitation-S4D-Pinn-decay-mu,omega,-0.000295943884257327
Excitation-S4D-Pinn-decay-mu,omega,0.021555533717169686
Excitation-S4D-Pinn-decay-mu,omega,0.015422139093604181
Excitation-S4D-Pinn-decay-mu,omega,0.007208750668131814
Excitation-S4D-Pinn-decay-mu,omega,0.004058148284268967
