scenario,signal,error_gt_minus_est
Excitation-S4D-Pinn-decay-mu,v_y,0.002148912056334676
Excitation-S4D-Pinn-decay-mu,v_y,0.0015604233143133965
Excitation-S4D-Pinn-decay-mu,v_y,0.00387630209594462
Excitation-S4D-Pinn-decay-mu,v_y,0.0021924549865865867
Excitation-S4D-Pinn-decay-mu,v_y,0.001466909399530621
Excitation-S4D-Pinn-decay-mu,v_y,0.0036087720314650733
Excitation-S4D-Pinn-decay-mu,v_y,0.001748432365569907
Excitation-S4D-Pinn-decay-mu,v_y,0.0014106610064484708
Excitation-S4D-Pinn-decay-mu,v_y,0.0019135863995846762
Excitation-S4D-Pinn-decay-mu,v_y,0.0027886883288426555
Excitation-S4D-Pinn-decay-mu,v_y,0.0013463791826446234
Excitation-S4D-Pinn-decay-mu,v_y,0.002268596659675961
Excitation-S4D-Pinn-decay-mu,v_y,0.0025172927692799774
Excitation-S4D-Pinn-decay-mu,v_y,0.0019360017848460802
Excitation-S4D-Pinn-decay-mu,v_y,0.0022106141097844364
Excitation-S4D-Pinn-decay-mu,v_y,0.005464315074811061
Excitation-S4D-Pinn-decay-mu,v_y,0.0028880676480918313
Excitation-S4D-Pinn-decay-mu,v_y,0.0022064482224849954
Excitation-S4D-Pinn-decay-mu,v_y,0.002592585711495579
Excitation-S4D-Pinn-decay-mu,v_y,0.002598832163360834
Excitation-S4D-Pinn-decay-mu,v_y,0.0017771915562475732
Excitation-S4D-Pinn-decay-mu,v_y,0.0008211088740528935
Excitation-S4D-Pinn-decay-mu,v_y,0.0009551553153260145
Excitation-S4D-Pinn-decay-mu,v_y,0.0005597383736216724
Excitation-S4D-Pinn-decay-mu,v_y,0.001453048312144073
Excitation-S4D-Pinn-decay-mu,v_y,0.008168419818070302
Excitation-S4D-Pinn-decay-mu,v_y,0.013448409214236484
Excitation-S4D-Pinn-decay-mu,v_y,0.012459640127537017
Excitation-S4D-Pinn-decay-mu,v_y,0.010802734528610997
Excitation-S4D-Pinn-decay-mu,v_y,0.008192200665785116
Excitation-S4D-Pinn-decay-mu,v_y,0.00591352719832753
Excitation-S4D-Pinn-decay-mu,v_y,0.00212201050767314
Excitation-S4D-Pinn-decay-mu,v_y,0.0014006904841592088
Excitation-S4D-Pinn-decay-mu,v_y,0.0010147199732440382
Excitation-S4D-Pinn-decay-mu,v_y,8.02380795809493e-05
Excitation-S4D-Pinn-decay-mu,v_y,-0.0014276586925600406
Excitation-S4D-Pinn-decay-mu,v_y,-0.005119561474040302
Excitation-S4D-Pinn-decay-mu,v_y,0.00036625076769829235
Excitation-S4D-Pinn-decay-mu,v_y,0.0016718210440005987
Excitation-S4D-Pinn-decay-mu,v_y,0.002130521536066632
Excitation-S4D-Pinn-decay-mu,v_y,0.0031756537091865433
Excitation-S4D-Pinn-decay-mu,v_y,0.004851677985862127
Excitation-S4D-Pinn-decay-mu,v_y,0.004970620819472402
Excitation-S4D-Pinn-decay-mu,v_y,0.008093741116088071
Excitation-S4D-Pinn-decay-mu,v_y,0.004035813470958369
Excitation-S4D-Pinn-decay-mu,v_y,0.0029265837924953436
Excitation-S4D-Pinn-decay-mu,v_y,0.005329357391784861
Excitation-S4D-Pinn-decay-mu,v_y,0.0028321921965044905
Excitation-S4D-Pinn-decay-mu,v_y,4.915374345243473e-05
Excitation-S4D-Pinn-decay-mu,v_y,-0.0009058510611771597
Excitation-S4D-Pinn-decay-mu,v_y,-0.001272720124918969
Excitation-S4D-Pinn-decay-mu,v_y,-0.011201336744648682
Excitation-S4D-Pinn-decay-mu,v_y,-0.010690616104958528
Excitation-S4D-Pinn-decay-mu,v_y,-0.015463243804159255
Excitation-S4D-Pinn-decay-mu,v_y,-0.011087212413083358
Excitation-S4D-Pinn-decay-mu,v_y,-0.017390403777092223
Excitation-S4D-Pinn-decay-mu,v_y,-0.03283453043370754
