scenario,signal,series,t_s,value
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,0.0,0.014051700672212064
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,0.165,0.013766904638230493
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,0.33,0.015011845316264427
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,0.495,0.016888598080782913
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,0.66,0.01517120575724551
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,0.825,0.0161434975323278
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,0.957,0.016570576448528662
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,1.122,0.017333690941701896
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,1.32,0.014683699651109272
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,1.518,0.021684727882592014
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,1.683,0.020294641614897913
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,1.881,0.019667466960064495
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,2.079,0.016962042137833144
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,2.211,0.016738244223489573
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,2.376,0.01384360304689558
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,2.574,0.01499910322463549
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,2.739,0.016177254186788836
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,2.904,0.019890312080938166
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,3.102,0.027512803545313602
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,3.267,0.03445023225711452
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,3.465,0.040744795557356106
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,3.663,0.05174791045580385
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,3.861,0.05587838480606955
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,4.026,0.03318426804914765
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,4.224,-0.006363556801220582
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,4.422,-0.03972087725774642
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,4.62,-0.054356209568870995
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,4.818,-0.04362534408484109
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,5.016,-0.015223491814264634
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,5.181,0.013025903830537366
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,5.379,0.036913570295185494
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,5.577,0.04772716679260647
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,5.742,0.04496777720024436
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,5.874,0.036926470690481494
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,6.039,0.02425430451844246
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,6.237,0.0023121624122026674
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,6.435,-0.0379400351670256
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,6.567,-0.0708020000612386
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,6.798,-0.11436367350496202
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,6.93,-0.12476981707857782
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,7.095,-0.1175375716324254
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,7.26,-0.098131278158748
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,7.458,-0.07931184249616052
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,7.656,-0.07661069253914121
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,7.821,-0.08396596058799144
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,8.019,-0.10389859205489937
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,8.184,-0.12255775095419885
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,8.382,-0.14997942575772072
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,8.514,-0.17072185422077446
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,8.679,-0.19000804018742645
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,8.844,-0.22426274160647441
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,9.042,-0.27787450693115456
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,9.174,-0.30944453458874577
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,9.372,-0.3757812687538573
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,9.504,-0.4397872165569021
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,9.702,-0.5233363924919185
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,9.933,-0.5994473026819702
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,10.098,-0.6472761450835289
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,10.23,-0.6860706907923269
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,10.428,-0.749371689529696
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,10.626,-0.7823716690582092
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,10.791,-0.7702351115120487
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,10.956,-0.7225082335701591
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,11.187,-0.5797350356908313
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,11.385,-0.5049133108711462
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,11.583,-0.47774993842486724
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,11.748,-0.4358253529013145
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,11.946,-0.4015967331166741
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,12.144,-0.37596524440420476
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,12.408,-0.3033865887633913
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,12.672,-0.24565287076533293
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,12.87,-0.18693012889311955
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,13.2,-0.10919501649500818
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,13.398,-0.09455889627698921
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,13.596,-0.0869271328329062
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,13.794,-0.08596880070582902
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,14.025,-0.09184410827183109
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,14.256,-0.11797004206659878
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,14.454,-0.14944640832346234
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,14.652,-0.19483936181549577
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,14.85,-0.25275284373259854
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,15.048,-0.3156450906284176
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,15.246,-0.3995233159785725
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,15.411,-0.4374829300885281
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,15.609,-0.47146743560628046
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,15.807,-0.46323974147826164
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,16.038,-0.39116523276245374
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,16.269,-0.3399586645549153
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,16.5,-0.3189653403670327
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,16.698,-0.3095866946173249
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,16.962,-0.28257556471596246
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,17.193,-0.22990422489118245
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,17.391,-0.18349528912050594
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,17.589,-0.13777373414414917
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,17.787,-0.09553365816016779
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,17.985,-0.05827249056347927
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,18.183,-0.029335235634465384
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,18.414,-0.010622269899586811
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,18.612,-0.003888210785013335
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,18.81,0.004458887371917797
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,19.008,0.013878856235032266
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,19.206,0.0291518071900132
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,19.47,0.06331910404919228
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,19.701,0.10267741018572174
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,19.932,0.1484925055978632
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,20.13,0.19153412349199783
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,20.394,0.24661102810024182
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,20.658,0.2771692654355311
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,20.922,0.29008277689511
Excitation-S4D-Pinn-decay-mu,v_y,ground_truth,21.252,0.3100252023149146
