scenario,signal,t_s,error_est_minus_gt
Excitation-S4D-Pinn-decay-mu,front_sum_fy,0.0,0.7525030347917827
Excitation-S4D-Pinn-decay-mu,front_sum_fy,0.165,0.7253013587286041
Excitation-S4D-Pinn-decay-mu,front_sum_fy,0.33,0.6231910680253563
Excitation-S4D-Pinn-decay-mu,front_sum_fy,0.495,0.2844730934275326
Excitation-S4D-Pinn-decay-mu,front_sum_fy,0.66,0.4286085999861733
Excitation-S4D-Pinn-decay-mu,front_sum_fy,0.825,0.17540408506477734
Excitation-S4D-Pinn-decay-mu,front_sum_fy,0.99,0.05784159638819775
Excitation-S4D-Pinn-decay-mu,front_sum_fy,1.155,0.07133699412352845
Excitation-S4D-Pinn-decay-mu,front_sum_fy,1.32,0.0033901903856418114
Excitation-S4D-Pinn-decay-mu,front_sum_fy,1.485,-0.009791143310734496
Excitation-S4D-Pinn-decay-mu,front_sum_fy,1.65,-0.012825717697514172
Excitation-S4D-Pinn-decay-mu,front_sum_fy,1.815,0.01816963435697483
Excitation-S4D-Pinn-decay-mu,front_sum_fy,1.98,0.024821057348811237
Excitation-S4D-Pinn-decay-mu,front_sum_fy,2.145,-0.02226293195443141
Excitation-S4D-Pinn-decay-mu,front_sum_fy,2.31,-0.000734571179034943
Excitation-S4D-Pinn-decay-mu,front_sum_fy,2.475,3.0220862806757537e-05
Excitation-S4D-Pinn-decay-mu,front_sum_fy,2.64,0.021155521493734675
Excitation-S4D-Pinn-decay-mu,front_sum_fy,2.805,0.03748430798298763
Excitation-S4D-Pinn-decay-mu,front_sum_fy,2.97,-0.005179128529797183
Excitation-S4D-Pinn-decay-mu,front_sum_fy,3.135,4.6095482326258264e-05
Excitation-S4D-Pinn-decay-mu,front_sum_fy,3.3,-0.002178077620600849
Excitation-S4D-Pinn-decay-mu,front_sum_fy,3.564,-0.07292411857991965
Excitation-S4D-Pinn-decay-mu,front_sum_fy,3.729,0.1580494926296545
Excitation-S4D-Pinn-decay-mu,front_sum_fy,3.894,0.05982917139122623
Excitation-S4D-Pinn-decay-mu,front_sum_fy,4.059,0.0335986665502066
Excitation-S4D-Pinn-decay-mu,front_sum_fy,4.224,0.02823611396661363
Excitation-S4D-Pinn-decay-mu,front_sum_fy,4.389,0.01565017908537225
Excitation-S4D-Pinn-decay-mu,front_sum_fy,4.554,-0.2573941035771483
Excitation-S4D-Pinn-decay-mu,front_sum_fy,4.719,-0.3991904867825511
Excitation-S4D-Pinn-decay-mu,front_sum_fy,4.884,0.014007441498376405
Excitation-S4D-Pinn-decay-mu,front_sum_fy,5.214,0.24558007838167129
Excitation-S4D-Pinn-decay-mu,front_sum_fy,5.379,-0.0725146594025281
Excitation-S4D-Pinn-decay-mu,front_sum_fy,5.544,-1.2852794600051194
Excitation-S4D-Pinn-decay-mu,front_sum_fy,5.709,-4.676035263053791
Excitation-S4D-Pinn-decay-mu,front_sum_fy,5.874,-6.205404020748119
Excitation-S4D-Pinn-decay-mu,front_sum_fy,6.039,-4.426295818234195
Excitation-S4D-Pinn-decay-mu,front_sum_fy,6.204,-1.6498649219985388
Excitation-S4D-Pinn-decay-mu,front_sum_fy,6.369,0.6178730755881929
Excitation-S4D-Pinn-decay-mu,front_sum_fy,6.534,1.5679492322082034
Excitation-S4D-Pinn-decay-mu,front_sum_fy,6.699,2.6790667955171443
Excitation-S4D-Pinn-decay-mu,front_sum_fy,6.864,2.9292358902347786
Excitation-S4D-Pinn-decay-mu,front_sum_fy,7.029,3.0471674848719204
