scenario,e_y_m
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.6279028598057987
ours,2.627923395821824
ours,2.6278931387270403
ours,2.627959707468124
ours,2.628018835169697
ours,2.628016555130449
ours,2.627236125524831
ours,2.625735010599726
ours,2.622797654710326
ours,2.6179674284588774
ours,2.613636166477413
ours,2.600394098587039
ours,2.582314489409321
ours,2.555356448417233
ours,2.516474654878704
ours,2.4623274767272694
ours,2.3877611530384204
ours,2.291264927547061
ours,2.167084667028682
ours,2.014986933677515
ours,1.872468655064886
ours,1.7125217650742162
ours,1.4415248595935939
ours,1.147782054386857
ours,0.9427922877482551
ours,0.6870147855516282
ours,0.443145588136622
ours,0.3514787193746339
ours,0.10680273213540797
ours,-0.07896117866985061
ours,-0.19324675645698547
ours,-0.2302253773595751
ours,-0.23498949148942444
ours,-0.2025267301802935
ours,-0.15647558337188328
ours,-0.10207805202818324
ours,-0.048385211534039435
ours,0.014209099891984017
ours,0.04220821967868357
ours,0.04925188000837699
ours,0.040581118601800414
ours,0.023390591120612203
ours,0.005242071029665452
ours,-0.003918107054753317
ours,-0.014630750948997517
ours,-0.019228591431526776
ours,-0.017581258286720747
ours,-0.012982656514976487
ours,-0.007832559318556198
ours,-0.00365038987503985
ours,-0.0011778701998798602
ours,-0.00033504902795006243
ours,-0.0002384375103647307
ours,-0.00114514332963922
ours,-0.0024161626653980556
ours,-0.0031713213534562135
ours,-0.003991847357794509
ours,-0.004270807013057987
ours,-0.004630075574615089
ours,-0.004807821652855926
ours,-0.004831672194831771
ours,-0.004794009187541914
ours,-0.004745238049065986
ours,-0.004894993425067912
ours,-0.004919399048555595
ours,-0.005005377691824575
ours,-0.005202714326678182
ours,-0.005254796557979335
ours,-0.0052651845810032655
ours,-0.0051783803324859205
ours,-0.00488448479013337
ours,-0.0046620140373087315
ours,-0.00432381885639227
ours,-0.003884127132009918
ours,-0.003517287315085993
ours,-0.0031636708464086727
ours,-0.003161542956973823
ours,-0.003349854764282678
ours,-0.004072701254010873
ours,-0.00497266279656669
ours,-0.006485718686354641
ours,-0.00784877955714769
ours,-0.008491401697041823
ours,-0.0069743150779771335
ours,-0.0027385425869491803
ours,0.007020816855250189
ours,0.012555537147563467
ours,0.009632586695032919
ours,0.0023684611546752055
ours,-0.011061433516804942
ours,-0.01692215013992099
ours,-0.019855490501132
ours,-0.01925749714808797
ours,-0.013687437688378733
ours,-0.005487869028836648
ours,-0.0003853748861401829
ours,0.004061986730848788
ours,0.0056032555816842855
ours,0.005076801205309622
ours,0.003324893810103091
ours,0.0005861406985595563
ours,-0.001866995591300269
ours,-0.003210984476699874
ours,-0.004081272498429114
ours,-0.003726058711813085
ours,-0.002732918024778125
ours,-0.001526999659186623
ours,-0.0007875782842606538
ours,0.0002494582393743894
ours,0.00049658539440528
ours,0.0003170500454344194
ours,-0.0001546137755535637
ours,-0.0008378132070993721
ours,-0.001336250837663644
ours,-0.001516114371978905
ours,-0.0016428782781387485
ours,-0.0014922817876668604
ours,-0.001055080474617054
ours,-0.0005132678821131442
ours,-0.00010762821378290655
ours,0.00036012127637768607
ours,0.000513412704848698
ours,0.0006736211570241291
ours,0.0007567920400385897
ours,0.0009201467179431599
ours,0.0011975715730990766
ours,0.0013487612915631941
ours,0.0015409917202439723
ours,0.0018119997496962997
ours,0.0019662101691879375
ours,0.002269937701442959
ours,0.0024056766409983887
ours,0.0026530900492723053
ours,0.00288881707331147
ours,0.0031196228169384256
ours,0.0032364873358001894
ours,0.0033527664476926122
ours,0.0033622806748765804
ours,0.0032779093343359433
ours,0.0031528157193913553
ours,0.0027318689617740755
ours,0.0022922416320713124
ours,0.0018499744258780315
ours,0.0012260211092735562
ours,0.0008712660746494211
ours,0.0003628400506412851
ours,0.00012461468228422423
ours,5.950548669497735e-05
ours,-1.4750104766980687e-05
ours,-0.0001624838341585111
ours,-0.0003992081252314761
ours,-0.0005691501030898327
ours,-0.0008466562526071386
ours,-0.0013651535825164596
ours,-0.0015702173899586613
ours,-0.0016138033224687987
ours,-0.00012614822947687454
ours,0.001743388577449989
ours,0.004342787785101387
ours,0.006581583063893854
ours,0.009034951509911904
ours,0.011656165933258855
ours,0.01358550753021387
ours,0.014356362500960257
ours,0.015206638901422265
ours,0.016046275875700067
ours,0.01736365115940197
ours,0.019022506077270906
ours,0.022083432136190878
ours,0.024292090847530645
ours,0.025735773452006866
ours,0.026890009711900753
ours,0.026907862755537804
ours,0.027482069724815594
ours,0.030250751469062614
ours,0.03051236468234858
ours,0.032671336046400185
ours,0.03509513290706298
ours,0.0375964815023832
ours,0.03627373814914292
ours,0.03971517813482994
ours,0.043096369389929445
ours,0.0411083541011773
ours,0.04478679919547068
ours,0.04856968720430821
ours,0.05297015855698059
ours,0.056124213043670976
ours,0.05178099578926604
ours,0.0563480156593138
ours,0.06045775002889511
ours,0.061243971384657814
ours,0.061943194704980664
ours,0.06838827862532776
ours,0.0698890137394734
ours,0.06904652029209327
ours,0.06358161576794868
ours,0.06299326116151849
ours,0.06210545772891482
ours,0.05705984954274801
ours,0.05483615555149418
ours,0.054217409418432116
ours,0.05079287804792945
ours,0.04572217817367824
ours,0.0493774972517777
ours,0.047141800913956464
ours,0.04322394208665031
ours,0.04616837106349961
ours,0.04608981925021935
ours,0.044698997092070133
ours,0.042634035562377576
ours,0.040564831849307745
ours,0.03823367805182576
ours,0.03685781498369209
ours,0.038811473692031764
ours,0.037917944240934
ours,0.036776140920776926
ours,0.03466925026646799
ours,0.032899640923944956
ours,0.03128572961187263
ours,0.032436865670059364
ours,0.03190660787715294
ours,0.030900302049615358
ours,0.0295897895111045
ours,0.026220647460203635
ours,0.025500438678603778
ours,0.024537065681597397
ours,0.022293348826164426
ours,0.023257577851715172
ours,0.02250061635455483
ours,0.02158842864769642
ours,0.020697378159093872
ours,0.019614688456067366
ours,0.02031659690933996
ours,0.01928187438786108
ours,0.01897420886086129
ours,0.018565362113401478
ours,0.017536943349373228
ours,0.016392013251408856
ours,0.01595186719615118
ours,0.014622912882445972
ours,0.014331865596458788
ours,0.01383305585794161
ours,0.01311242404947547
ours,0.011704293682886717
ours,0.009694579320461444
ours,0.008676992270379588
ours,0.008389773356271009
ours,0.006433993721157237
ours,0.0053910502286254255
ours,0.00446386802451197
ours,0.0037424043588243916
ours,0.0030759196650836096
ours,0.0025898430809834505
ours,0.0021426538981516308
ours,0.0021603413547231637
ours,0.001611232930563311
ours,0.0010141196813817227
ours,0.00012141083823566379
ours,-0.0010167118595046237
ours,-0.0017766025466759566
