scenario,signal,series,t_s,value
ours,front_mu,plant_mu,0.0,1.0499999523162842
ours,front_mu,plant_mu,0.132,1.0499999523162842
ours,front_mu,plant_mu,0.264,1.0499999523162842
ours,front_mu,plant_mu,0.396,1.0499999523162842
ours,front_mu,plant_mu,0.528,1.0499999523162842
ours,front_mu,plant_mu,0.627,1.0499999523162842
ours,front_mu,plant_mu,0.726,1.0499999523162842
ours,front_mu,plant_mu,0.825,1.0499999523162842
ours,front_mu,plant_mu,0.924,1.0499999523162842
ours,front_mu,plant_mu,1.023,1.0499999523162842
ours,front_mu,plant_mu,1.122,1.0499999523162842
ours,front_mu,plant_mu,1.254,1.0499999523162842
ours,front_mu,plant_mu,1.386,1.0499999523162842
ours,front_mu,plant_mu,1.518,1.0499999523162842
ours,front_mu,plant_mu,1.716,1.0499999523162842
ours,front_mu,plant_mu,1.848,1.0499999523162842
ours,front_mu,plant_mu,1.947,1.0499999523162842
ours,front_mu,plant_mu,2.046,1.0499999523162842
ours,front_mu,plant_mu,2.145,1.0499999523162842
ours,front_mu,plant_mu,2.244,1.0499999523162842
ours,front_mu,plant_mu,2.343,1.0499999523162842
ours,front_mu,plant_mu,2.442,1.0499999523162842
ours,front_mu,plant_mu,2.541,1.0499999523162842
ours,front_mu,plant_mu,2.64,1.0499999523162842
ours,front_mu,plant_mu,2.739,1.0499999523162842
ours,front_mu,plant_mu,2.838,1.0499999523162842
ours,front_mu,plant_mu,2.937,1.0499999523162842
ours,front_mu,plant_mu,3.036,1.0499999523162842
ours,front_mu,plant_mu,3.168,1.0499999523162842
ours,front_mu,plant_mu,3.267,1.0499999523162842
ours,front_mu,plant_mu,3.366,1.0499999523162842
ours,front_mu,plant_mu,3.465,1.0499999523162842
ours,front_mu,plant_mu,3.564,1.0499999523162842
ours,front_mu,plant_mu,3.663,1.0499999523162842
ours,front_mu,plant_mu,3.762,1.0499999523162842
ours,front_mu,plant_mu,3.861,1.0499999523162842
ours,front_mu,plant_mu,3.96,1.0499999523162842
ours,front_mu,plant_mu,4.092,1.0499999523162842
ours,front_mu,plant_mu,4.224,1.0499999523162842
ours,front_mu,plant_mu,4.356,1.0499999523162842
ours,front_mu,plant_mu,4.488,1.0499999523162842
ours,front_mu,plant_mu,4.62,1.0499999523162842
ours,front_mu,plant_mu,4.752,1.0499999523162842
ours,front_mu,plant_mu,4.818,1.0499999523162842
ours,front_mu,plant_mu,4.95,1.0499999523162842
ours,front_mu,plant_mu,5.016,1.0499999523162842
ours,front_mu,plant_mu,5.148,1.0499999523162842
ours,front_mu,plant_mu,5.28,1.0499999523162842
ours,front_mu,plant_mu,5.412,1.0499999523162842
ours,front_mu,plant_mu,5.544,1.0499999523162842
ours,front_mu,plant_mu,5.676,1.0499999523162842
ours,front_mu,plant_mu,5.808,1.0499999523162842
ours,front_mu,plant_mu,5.907,1.0499999523162842
ours,front_mu,plant_mu,6.006,1.0499999523162842
ours,front_mu,plant_mu,6.105,1.0499999523162842
ours,front_mu,plant_mu,6.204,1.0499999523162842
ours,front_mu,plant_mu,6.303,1.0499999523162842
ours,front_mu,plant_mu,6.402,1.0499999523162842
ours,front_mu,plant_mu,6.534,1.0499999523162842
ours,front_mu,plant_mu,6.666,1.0499999523162842
ours,front_mu,plant_mu,6.798,1.0499999523162842
ours,front_mu,plant_mu,6.93,1.0499999523162842
ours,front_mu,plant_mu,7.062,1.0499999523162842
ours,front_mu,plant_mu,7.194,1.0499999523162842
ours,front_mu,plant_mu,7.26,1.0499999523162842
ours,front_mu,plant_mu,7.392,1.0499999523162842
ours,front_mu,plant_mu,7.458,1.0499999523162842
ours,front_mu,plant_mu,7.59,1.0499999523162842
ours,front_mu,plant_mu,7.656,1.0499999523162842
ours,front_mu,plant_mu,7.788,1.0499999523162842
ours,front_mu,plant_mu,7.854,1.0499999523162842
ours,front_mu,plant_mu,7.986,1.0499999523162842
ours,front_mu,plant_mu,8.118,1.0499999523162842
ours,front_mu,plant_mu,8.25,1.0499999523162842
ours,front_mu,plant_mu,8.382,1.0499999523162842
ours,front_mu,plant_mu,8.514,1.0499999523162842
ours,front_mu,plant_mu,8.58,1.0499999523162842
ours,front_mu,plant_mu,8.712,1.0499999523162842
ours,front_mu,plant_mu,8.778,1.0499999523162842
ours,front_mu,plant_mu,8.91,1.0499999523162842
ours,front_mu,plant_mu,8.976,1.0499999523162842
ours,front_mu,plant_mu,9.108,1.0499999523162842
ours,front_mu,plant_mu,9.174,1.0499999523162842
ours,front_mu,plant_mu,9.306,1.0499999523162842
ours,front_mu,plant_mu,9.372,1.0499999523162842
ours,front_mu,plant_mu,9.504,1.0499999523162842
ours,front_mu,plant_mu,9.636,1.0499999523162842
ours,front_mu,plant_mu,9.768,1.0499999523162842
ours,front_mu,plant_mu,9.867,1.0499999523162842
ours,front_mu,plant_mu,9.966,1.0499999523162842
ours,front_mu,plant_mu,10.065,1.0499999523162842
ours,front_mu,plant_mu,10.164,1.0499999523162842
ours,front_mu,plant_mu,10.263,1.0499999523162842
ours,front_mu,plant_mu,10.362,1.0499999523162842
ours,front_mu,plant_mu,10.461,1.0499999523162842
ours,front_mu,plant_mu,10.56,1.0499999523162842
ours,front_mu,plant_mu,10.692,1.0499999523162842
ours,front_mu,plant_mu,10.824,1.0499999523162842
ours,front_mu,plant_mu,10.956,1.0499999523162842
ours,front_mu,plant_mu,11.088,1.0499999523162842
ours,front_mu,plant_mu,11.22,1.0499999523162842
ours,front_mu,plant_mu,11.352,1.0499999523162842
ours,front_mu,plant_mu,11.418,1.0499999523162842
ours,front_mu,plant_mu,11.55,1.0499999523162842
ours,front_mu,plant_mu,11.616,1.0499999523162842
ours,front_mu,plant_mu,11.748,1.0499999523162842
ours,front_mu,plant_mu,11.814,1.0499999523162842
ours,front_mu,plant_mu,11.946,1.0499999523162842
ours,front_mu,plant_mu,12.012,1.0499999523162842
ours,front_mu,plant_mu,12.144,1.0499999523162842
ours,front_mu,plant_mu,12.276,1.0499999523162842
ours,front_mu,plant_mu,12.408,1.0499999523162842
