scenario,series,alpha_rad_or_coefficient,value
(nominal),front,-0.2,-961.0080097742479
(nominal),front,-0.19798994974874373,-961.0080097742479
(nominal),front,-0.19597989949748745,-961.0080097742479
(nominal),front,-0.19396984924623117,-961.0080097742479
(nominal),front,-0.1919597989949749,-961.0080097742479
(nominal),front,-0.18994974874371862,-961.0080097742479
(nominal),front,-0.1879396984924623,-961.0080097742479
(nominal),front,-0.18592964824120603,-961.0080097742479
(nominal),front,-0.18391959798994975,-961.0080097742479
(nominal),front,-0.18190954773869347,-961.0080097742479
(nominal),front,-0.1798994974874372,-961.0080097742479
(nominal),front,-0.17788944723618091,-961.0080097742479
(nominal),front,-0.17587939698492464,-961.0080097742479
(nominal),front,-0.17386934673366836,-961.0080097742479
(nominal),front,-0.17185929648241208,-961.0080097742479
(nominal),front,-0.1698492462311558,-961.0080097742479
(nominal),front,-0.1678391959798995,-961.0080097742479
(nominal),front,-0.1658291457286432,-961.0080097742479
(nominal),front,-0.16381909547738693,-961.0080097742479
(nominal),front,-0.16180904522613065,-961.0080097742479
(nominal),front,-0.15979899497487438,-961.0080097742479
(nominal),front,-0.1577889447236181,-961.0080097742479
(nominal),front,-0.15577889447236182,-961.0080097742479
(nominal),front,-0.15376884422110554,-961.0080097742479
(nominal),front,-0.15175879396984926,-961.0080097742479
(nominal),front,-0.14974874371859298,-961.0080097742479
(nominal),front,-0.1477386934673367,-961.0080097742479
(nominal),front,-0.14572864321608042,-961.0080097742479
(nominal),front,-0.14371859296482414,-961.0080097742479
(nominal),front,-0.14170854271356784,-961.0080097742479
(nominal),front,-0.13969849246231156,-961.0080097742479
(nominal),front,-0.13768844221105528,-961.0080097742479
(nominal),front,-0.135678391959799,-960.9995780350652
(nominal),front,-0.13366834170854272,-960.9303758682761
(nominal),front,-0.13165829145728644,-960.8036982308693
(nominal),front,-0.12964824120603013,-960.6021028138708
(nominal),front,-0.12763819095477386,-960.308200702107
(nominal),front,-0.12562814070351758,-959.9046548228282
(nominal),front,-0.12361809045226131,-959.3741784033689
(nominal),front,-0.12160804020100503,-958.6995334376221
(nominal),front,-0.11959798994974874,-957.8635291611225
(nominal),front,-0.11758793969849246,-956.8490205345211
(nominal),front,-0.11557788944723618,-955.6389067352377
(nominal),front,-0.1135678391959799,-954.2161296570976
(nominal),front,-0.11155778894472362,-952.56367241773
(nominal),front,-0.10954773869346734,-950.6645578735342
(nominal),front,-0.10753768844221105,-948.5018471420051
(nominal),front,-0.10552763819095477,-946.0586381312211
(nominal),front,-0.1035175879396985,-943.3180640762891
(nominal),front,-0.10150753768844221,-940.2632920825558
(nominal),front,-0.09949748743718594,-936.8775216753813
(nominal),front,-0.09748743718592964,-933.1439833562823
(nominal),front,-0.09547738693467336,-929.0459371652557
(nominal),front,-0.09346733668341708,-924.5666712490809
(nominal),front,-0.0914572864321608,-919.6895004354175
(nominal),front,-0.08944723618090453,-914.3977648125057
(nominal),front,-0.08743718592964825,-908.674828314279
(nominal),front,-0.08542713567839195,-902.5040773107053
(nominal),front,-0.08341708542713568,-895.868919203167
(nominal),front,-0.0814070351758794,-888.7527810246964
(nominal),front,-0.07939698492462312,-881.1391080448832
(nominal),front,-0.07738693467336684,-873.011362379269
(nominal),front,-0.07537688442211055,-864.3530216030492
(nominal),front,-0.07336683417085427,-855.1475773688984
(nominal),front,-0.07135678391959799,-845.3785340287438
(nominal),front,-0.06934673366834171,-835.0294072593024
(nominal),front,-0.06733668341708543,-824.0837226912076
(nominal),front,-0.06532663316582915,-812.525014541547
(nominal),front,-0.06331658291457287,-800.3368242496331
(nominal),front,-0.06130653266331659,-787.502699115834
(nominal),front,-0.059296482412060286,-774.0061909432876
(nominal),front,-0.05728643216080401,-759.8308546823248
(nominal),front,-0.05527638190954773,-744.9602470774283
(nominal),front,-0.05326633165829145,-729.3779253165559
(nominal),front,-0.05125628140703517,-713.0674456826528
(nominal),front,-0.04924623115577889,-696.0123622071842
(nominal),front,-0.04723618090452261,-678.196225325516
(nominal),front,-0.04522613065326633,-659.6025805339709
(nominal),front,-0.043216080402010054,-640.2149670483949
(nominal),front,-0.041206030150753775,-620.0169164640578
(nominal),front,-0.03919597989949747,-598.9919514167245
(nominal),front,-0.03718592964824119,-577.1235842447264
(nominal),front,-0.03517587939698491,-554.3953156518594
(nominal),front,-0.03316582914572863,-530.7906333709501
(nominal),front,-0.031155778894472352,-506.29301082791324
(nominal),front,-0.029145728643216073,-480.88590580613857
(nominal),front,-0.027135678391959794,-454.55275911103615
(nominal),front,-0.025125628140703515,-427.27699323457585
(nominal),front,-0.023115577889447236,-399.04201101965145
(nominal),front,-0.021105527638190957,-369.8311943241052
(nominal),front,-0.01909547738693468,-339.62790268424277
(nominal),front,-0.01708542713567837,-308.4154719776756
(nominal),front,-0.015075376884422093,-276.1772130853225
(nominal),front,-0.013065326633165814,-242.89641055240045
(nominal),front,-0.011055276381909535,-208.5563212482454
(nominal),front,-0.009045226130653256,-173.14017302479013
(nominal),front,-0.0070351758793969765,-136.63116337353463
(nominal),front,-0.0050251256281406975,-99.0124580808428
(nominal),front,-0.0030150753768844185,-60.26718988139748
(nominal),front,-0.0010050251256281395,-20.378457109647112
(nominal),front,0.0010050251256281395,20.378457109647112
(nominal),front,0.0030150753768844185,60.26718988139748
