scenario,signal,error_gt_minus_est
ours,omega,0.06582671777051595
ours,omega,0.05004356588242956
ours,omega,0.05206506780627307
ours,omega,0.0703772830560209
ours,omega,0.08463792175991336
ours,omega,0.14275791272789135
ours,omega,0.0794700565307101
ours,omega,0.047903681170365975
ours,omega,0.03739822644248614
ours,omega,0.04702940847989373
ours,omega,0.027598888417459888
ours,omega,0.04250213207592318
ours,omega,0.04747546175157036
ours,omega,0.05753255832499021
ours,omega,0.06915539794062009
ours,omega,0.08453928614835543
ours,omega,0.08596852153832663
ours,omega,0.1059564509986467
ours,omega,0.07587668813876502
ours,omega,0.16707116635059155
ours,omega,0.023124713956757914
ours,omega,0.021753184579233364
ours,omega,0.037358119854922656
ours,omega,0.05570955249290244
ours,omega,0.026124408036805546
ours,omega,0.03962380133226179
ours,omega,0.04716993433883765
ours,omega,0.05229760723863924
ours,omega,0.02951011140762072
ours,omega,0.036152546071672564
ours,omega,0.042889929185342124
ours,omega,0.043550275063748645
ours,omega,0.10898869941255718
ours,omega,0.09656592625123134
ours,omega,0.057741551357583465
ours,omega,0.05582790013513356
ours,omega,0.05255628571935739
ours,omega,0.08562568105073448
ours,omega,0.023807636768477025
ours,omega,0.008521449024254002
ours,omega,-0.00024007395443620405
ours,omega,-0.006372191258722182
ours,omega,-0.0034578577865665983
ours,omega,-0.006720398369435471
ours,omega,0.0015497761610381577
ours,omega,-0.0073823888143158545
ours,omega,0.001033047918277935
ours,omega,-0.006881028175113879
ours,omega,0.006097336249933888
ours,omega,-0.001013221379366297
ours,omega,9.655351187937145e-05
ours,omega,-0.004207318495924678
ours,omega,0.0009803888598974297
ours,omega,0.001578973621628968
ours,omega,-0.002609060352216877
ours,omega,-0.010638933018186136
ours,omega,-0.009495033493358673
ours,omega,-0.02831532222375896
ours,omega,-0.027446321631303814
ours,omega,-0.00666134731795672
ours,omega,-0.004100130173360499
ours,omega,-0.0008529944571341631
ours,omega,-0.001250420297376896
ours,omega,-0.004710292347866244
ours,omega,-0.003109125509458629
ours,omega,-0.003746817778284596
ours,omega,-0.005482489369338796
ours,omega,-0.0032457538688982802
