scenario,signal,error_gt_minus_est
ours,v_y,0.0013179444712384646
ours,v_y,0.0033976735975248303
ours,v_y,0.0026300556312548774
ours,v_y,0.002004709024638401
ours,v_y,0.001981018955129244
ours,v_y,0.0024436859573744203
ours,v_y,0.0019677412630371652
ours,v_y,0.0021932095102829077
ours,v_y,0.0007554345220592684
ours,v_y,0.002915799808867265
ours,v_y,0.004809352618588536
ours,v_y,0.0026882628481341916
ours,v_y,0.0022675865663995057
ours,v_y,0.0022382668139110835
ours,v_y,0.0029299507589778187
ours,v_y,0.0016979705686113594
ours,v_y,0.0006688006287770137
ours,v_y,0.0035054198179268366
ours,v_y,0.005465088099389226
ours,v_y,0.0044270949562011525
ours,v_y,0.00463747795447407
ours,v_y,0.009190330095995427
ours,v_y,0.005671407603765621
ours,v_y,0.0022966741781492543
ours,v_y,0.001792543512161543
ours,v_y,0.0018085380809018357
ours,v_y,-0.001101722770543656
ours,v_y,0.004635190089051645
ours,v_y,0.010129520156388835
ours,v_y,0.013701289022897606
ours,v_y,0.014508194851662964
ours,v_y,0.014094002746480566
ours,v_y,0.01520392900064263
ours,v_y,0.008517580635682767
ours,v_y,0.014482651602436322
ours,v_y,0.008989066955074926
ours,v_y,0.009113789480298146
ours,v_y,0.018653722643572512
ours,v_y,0.009077687513353166
ours,v_y,0.024632837137512298
ours,v_y,0.01764045637035422
ours,v_y,0.010930506466883927
ours,v_y,-0.013307459742404992
ours,v_y,-0.010083804219264247
ours,v_y,-0.008924427711788696
ours,v_y,-0.0291151000588018
ours,v_y,-0.025120887596971064
ours,v_y,-0.04839962020767252
ours,v_y,-0.02299039532019098
ours,v_y,-0.014284034098635101
ours,v_y,-0.012976551183348839
ours,v_y,-0.0069757555326742104
ours,v_y,-0.011848675680805998
ours,v_y,-0.0277881361254515
ours,v_y,-0.017857004118994935
ours,v_y,-0.024410504865471083
ours,v_y,-0.014296663440929197
ours,v_y,-0.016677830745789726
ours,v_y,-0.009534676315135979
ours,v_y,-0.01636150462785009
ours,v_y,0.0037752098235536713
ours,v_y,0.007597655183721935
ours,v_y,0.028787278197439425
ours,v_y,-0.0027135859937590934
ours,v_y,0.0035162580440319113
ours,v_y,0.029257906529832955
ours,v_y,0.005620755256599219
ours,v_y,0.0006230177749859123
ours,v_y,0.027223388917983316
ours,v_y,0.00360683048768079
ours,v_y,0.011086672452885138
ours,v_y,0.010491628489541716
ours,v_y,0.012860506699692499
ours,v_y,0.0007765224252477797
ours,v_y,-0.00524125942826148
ours,v_y,-0.008585043666444019
ours,v_y,-0.014501376228471988
ours,v_y,-0.008099414128729637
ours,v_y,-0.00862343078501146
ours,v_y,-0.010748180670117055
ours,v_y,-0.011487621882794882
ours,v_y,-0.011683967248527383
ours,v_y,-0.006252710564389169
ours,v_y,-0.006840613255663208
ours,v_y,-0.0056736363063869255
ours,v_y,-0.011581531125759353
ours,v_y,-0.005999998012265251
ours,v_y,-0.0059167036391509775
ours,v_y,-0.011530917866936385
ours,v_y,-0.004909269173114128
ours,v_y,-0.0027551098624131187
ours,v_y,0.0125781213290459
ours,v_y,0.007908350265663167
ours,v_y,0.00177509395753217
ours,v_y,-0.003004321506474672
ours,v_y,-0.00038984785689610835
ours,v_y,-0.00010693409405382326
ours,v_y,-0.001071615205274934
ours,v_y,-0.0006216020697639157
ours,v_y,-0.0034456531074121832
ours,v_y,-0.0032495764348442757
ours,v_y,-0.004567006021301834
ours,v_y,-0.00984984808689332
ours,v_y,-0.009805737027453382
ours,v_y,-0.004314955332281045
ours,v_y,-0.01349915368407456
ours,v_y,-0.014891667383269802
ours,v_y,-0.008851885906572099
ours,v_y,0.004004495576360789
ours,v_y,0.00756586877231169
ours,v_y,0.0031581620505835017
ours,v_y,3.938857935470441e-05
ours,v_y,0.015267363212892349
ours,v_y,-0.004543243689239196
ours,v_y,-0.004793195708351017
ours,v_y,-0.007664301918158867
ours,v_y,-0.008912222103355516
ours,v_y,-0.01061101030917333
ours,v_y,-0.020983714547317178
ours,v_y,-0.006844315396184075
ours,v_y,-0.0001679630627007267
ours,v_y,0.0008152974308125449
ours,v_y,-0.003198516372983684
ours,v_y,-0.010535046873119791
ours,v_y,-0.007019931353212772
ours,v_y,-0.013896867009583924
ours,v_y,-0.017384446424256517
ours,v_y,-0.01727633494505537
ours,v_y,-0.01757749798400987
ours,v_y,-0.01712193006453311
ours,v_y,-0.03623219426929547
ours,v_y,-0.033188266511052444
ours,v_y,-0.032669440733107014
ours,v_y,-0.017604393080531633
ours,v_y,-0.0413054122576621
ours,v_y,-0.017390754222199045
ours,v_y,-0.03851729290248235
ours,v_y,-0.015740203159116062
ours,v_y,-0.011379495270671669
ours,v_y,-0.01090667890721464
ours,v_y,-0.010935507910032505
ours,v_y,-0.007842571045671876
ours,v_y,-0.003275206610145423
ours,v_y,-0.003665800100548504
ours,v_y,-0.0009213068067075447
ours,v_y,0.0008373782036509986
ours,v_y,-0.00014857336792940823
ours,v_y,-0.0006498184807513518
ours,v_y,-0.0009141699557984051
ours,v_y,-0.002745093724340314
ours,v_y,-0.009123817558666675
ours,v_y,-0.004378904532330641
ours,v_y,-0.004502921974431973
ours,v_y,-0.008440493099145824
ours,v_y,-0.004232052488400306
ours,v_y,-0.00465007301420986
ours,v_y,-0.008794581179861649
ours,v_y,-0.006221889479585796
ours,v_y,-0.02047513322082456
ours,v_y,-0.019123547887319625
ours,v_y,-0.018958534832547058
ours,v_y,-0.023214624926038208
ours,v_y,-0.024410908452548674
ours,v_y,-0.008991119507391454
ours,v_y,-0.0065300110254984944
ours,v_y,-0.009233177731071851
ours,v_y,-0.011285627929443376
ours,v_y,-0.013055132067611552
ours,v_y,-0.029993317166676803
ours,v_y,-0.013205816483420507
ours,v_y,-0.011008766656773361
ours,v_y,-0.008978181913572914
ours,v_y,-0.008461855535034701
ours,v_y,-0.007846586837320313
ours,v_y,-0.0099429400712715
ours,v_y,-0.008461615453226545
ours,v_y,-0.03399060696132605
ours,v_y,-0.007646114546674743
ours,v_y,-0.008968813146765342
ours,v_y,-0.012619506135530312
ours,v_y,-0.014226296964805596
ours,v_y,-0.03586887045859988
ours,v_y,-0.028935469033943506
ours,v_y,-0.007842225870006048
ours,v_y,-0.007032206030235133
ours,v_y,-0.009064345744710156
ours,v_y,-0.007201394184622623
ours,v_y,-0.006959482920863791
ours,v_y,0.0010330797742345021
ours,v_y,-0.00806847881387418
ours,v_y,0.005234784305264473
ours,v_y,-0.006859812934465692
ours,v_y,-0.011228072089710439
ours,v_y,-0.02549405915764924
ours,v_y,-0.011021947817736244
ours,v_y,-0.008392566530266488
ours,v_y,-0.011140750823570078
ours,v_y,-0.005270015926386373
ours,v_y,-0.014846297154266552
ours,v_y,-0.013212254791521216
ours,v_y,-0.014175438538344465
ours,v_y,-0.012127926501471653
ours,v_y,-0.019218237663633064
ours,v_y,-0.010632468981220056
ours,v_y,-0.008022502864878933
ours,v_y,-0.012892898409540166
ours,v_y,-0.004843945063150612
ours,v_y,-0.004629399644244664
ours,v_y,-0.004295376691153735
ours,v_y,-0.010557916204502749
ours,v_y,-0.006101940210785306
ours,v_y,-0.00920216881852251
ours,v_y,-0.01237517582207362
ours,v_y,-0.005511373193691715
ours,v_y,-0.0046086317260568
ours,v_y,-0.0034940767463380318
ours,v_y,-0.0027526834945640066
ours,v_y,-0.0007773094539615388
ours,v_y,-5.2956886401014924e-05
ours,v_y,0.00036551427071661313
ours,v_y,0.0009355392750703961
ours,v_y,0.0015703561899436669
ours,v_y,0.0027663294814342793
ours,v_y,0.00340662774673613
ours,v_y,0.0034905357849409624
ours,v_y,0.0031506210864189997
ours,v_y,0.005327604914541081
ours,v_y,0.0018927667204680018
ours,v_y,0.00402648122974443
ours,v_y,0.001992517436899398
ours,v_y,0.0021056646139760715
ours,v_y,0.0027481221891270113
ours,v_y,0.005902919480188135
ours,v_y,0.003187353373902274
ours,v_y,0.003473711035394938
ours,v_y,0.006284795953198582
ours,v_y,0.0026752222193010856
ours,v_y,0.001937746487986492
ours,v_y,0.0026156344113559132
ours,v_y,0.0019916245964096344
ours,v_y,0.002300584548659751
ours,v_y,0.003921559134192204
ours,v_y,0.003845136862023986
ours,v_y,0.004436281585221004
ours,v_y,0.00220981987823304
ours,v_y,0.0022845225876845857
ours,v_y,0.006699278560660847
ours,v_y,0.0016169424358518092
ours,v_y,0.006229350103126682
ours,v_y,0.00249931203449065
ours,v_y,0.0023972293851734702
ours,v_y,0.002340429598159742
ours,v_y,0.0021875270267571884
ours,v_y,0.0011986311328658003
ours,v_y,0.0018550431656204694
ours,v_y,0.0022580531748160743
ours,v_y,0.002613401190749945
ours,v_y,0.0034917053520725216
ours,v_y,0.002278016075142504
ours,v_y,0.002210036761024048
ours,v_y,0.0020251860560440912
ours,v_y,0.001886207258290383
ours,v_y,0.0016538395581237042
ours,v_y,0.0014500576814138605
ours,v_y,0.0010740695141275777
ours,v_y,0.0013091899722699682
ours,v_y,0.001395783251534763
ours,v_y,0.0012632796338567578
ours,v_y,0.00153408085052225
ours,v_y,0.0016272412001050902
ours,v_y,0.0021150265671387204
ours,v_y,0.0018865792369505453
ours,v_y,0.0016497024729308987
ours,v_y,0.0017234340826869123
ours,v_y,0.0018472861892179504
ours,v_y,0.0019621652647520693
ours,v_y,0.0017819472723967795
ours,v_y,0.0016288185158795931
ours,v_y,0.0022037017916234063
ours,v_y,0.0027097061463760425
ours,v_y,0.002335121302824969
ours,v_y,0.0022536971253033083
ours,v_y,0.0025947442953469096
ours,v_y,0.002186909346242393
ours,v_y,0.002367754468954042
ours,v_y,0.0018623807290565342
ours,v_y,0.002778782419399231
ours,v_y,0.0033960753535996896
ours,v_y,0.0022733538278005005
ours,v_y,0.002804200773026684
ours,v_y,-0.000188148612619371
ours,v_y,-0.0005067987330590468
ours,v_y,-0.0018808636414510138
ours,v_y,-0.0023170940172964477
ours,v_y,-0.002922547735648637
ours,v_y,-0.0030777608950508795
ours,v_y,-0.0025374857521775623
ours,v_y,-0.002430784260632257
ours,v_y,-0.0038212598581883472
ours,v_y,-0.003700677473293057
ours,v_y,-0.004035362697825007
ours,v_y,-0.003663398544467955
ours,v_y,-0.0029060181695335086
ours,v_y,-0.004306762711145329
ours,v_y,-0.006022078367162065
ours,v_y,-0.004777180081006138
ours,v_y,-0.007331732981227523
ours,v_y,-0.0077813973360483235
ours,v_y,-0.008786396211410308
ours,v_y,-0.008007792206585707
ours,v_y,-0.009328582617847803
ours,v_y,-0.009081640257422474
ours,v_y,-0.006552489392710692
ours,v_y,-0.005574277815392326
ours,v_y,-0.00798729311842622
ours,v_y,-0.006587482817487833
ours,v_y,-0.003381458587875863
ours,v_y,-0.003286175281815684
ours,v_y,-0.007678234417079655
ours,v_y,0.0018717030145906088
ours,v_y,0.0026098997769272714
ours,v_y,0.003878023811468956
ours,v_y,0.0037521645822310434
ours,v_y,0.008502020151942236
ours,v_y,0.011397669381628228
ours,v_y,0.014466364304971058
ours,v_y,0.015196321150645065
ours,v_y,0.016202550270625782
ours,v_y,0.013880167600943127
ours,v_y,0.010600490104653693
ours,v_y,0.01559279338000319
ours,v_y,-0.0027326073209210655
ours,v_y,-0.005805405032744959
ours,v_y,-0.004165085951515324
ours,v_y,-0.00519847304748311
ours,v_y,-0.00600919405131195
ours,v_y,0.0022073075953552568
ours,v_y,-0.002898190595821748
ours,v_y,-0.0024939810450960165
ours,v_y,-0.0028673467886505266
ours,v_y,-0.00307742639547115
ours,v_y,-0.0015381607780767803
ours,v_y,0.0007757234405161295
ours,v_y,-0.0005637101948160472
ours,v_y,-0.0009363256049907953
ours,v_y,-6.600193475403415e-05
ours,v_y,-0.0013020781084099875
ours,v_y,-0.0022492878481328304
ours,v_y,-0.0056846122598941395
ours,v_y,-0.011470980493415439
ours,v_y,-0.01164869970148763
ours,v_y,-0.010433343873315737
ours,v_y,-0.01143968781251714
ours,v_y,-0.006678759289834135
ours,v_y,-0.005522797551709591
ours,v_y,-0.004526845022840176
ours,v_y,-0.005925946776988877
ours,v_y,-0.00776729413611249
ours,v_y,-0.009015498276848721
ours,v_y,-0.0073242486854735445
ours,v_y,-0.005305703543062423
ours,v_y,-0.0036470719416609176
ours,v_y,-0.015051883286239631
ours,v_y,-0.016181121922898056
ours,v_y,-0.015305048580120773
ours,v_y,-0.00788912474553155
ours,v_y,-0.008541894533086902
ours,v_y,-0.0053865324149341975
ours,v_y,-0.002195647807925527
ours,v_y,0.0007287612219970541
ours,v_y,0.0014572899943538081
ours,v_y,0.0020769810309046385
ours,v_y,0.0006576880961454701
ours,v_y,-0.001366786286680674
ours,v_y,-0.003296596954421055
ours,v_y,-0.004094612799643238
ours,v_y,-0.004791186245853701
ours,v_y,-0.005068029819322362
ours,v_y,-0.005807780751088815
ours,v_y,-0.005440318917969922
ours,v_y,-0.004670405744013145
ours,v_y,-0.004501101532410512
ours,v_y,-0.004129194854713636
ours,v_y,-0.0027939296395398105
ours,v_y,-0.0025599849757891036
ours,v_y,-0.00291523575985278
ours,v_y,-0.004078802698668643
ours,v_y,-0.003307892751398561
ours,v_y,-0.0037437295752513478
ours,v_y,-0.004081721415624379
ours,v_y,-0.004504269533892824
ours,v_y,-0.009194791990872836
ours,v_y,-0.0037676899536524255
ours,v_y,-0.003726189703340821
ours,v_y,-0.003267975668848455
ours,v_y,-0.0032989764736070237
ours,v_y,-0.003100396560636015
ours,v_y,-0.003217691844866394
ours,v_y,-0.0036393167628561984
ours,v_y,-0.0037894867089937334
ours,v_y,-0.004393404665804568
ours,v_y,-0.005516823451731684
ours,v_y,-0.005953058635837644
ours,v_y,-0.005395338909962383
ours,v_y,-0.003457478971807426
ours,v_y,-0.0015551461244258102
ours,v_y,-0.0004364738462794421
ours,v_y,0.0017465168804176381
ours,v_y,0.004551250250723685
ours,v_y,0.0009770825788358167
ours,v_y,-0.004898077302013665
ours,v_y,-0.006382558346809147
ours,v_y,-0.007389531689266038
ours,v_y,-0.006697011009484305
ours,v_y,-0.0050373054726578215
ours,v_y,-0.006786204088589112
ours,v_y,-0.0004813003546833422
ours,v_y,0.0009409497475091483
ours,v_y,0.0005874375375441304
ours,v_y,0.0014840210537729603
ours,v_y,0.001123250593765314
ours,v_y,-0.000658563557227626
ours,v_y,-0.001202858215560182
ours,v_y,-0.0009384398617944545
ours,v_y,-0.0009160887938660933
ours,v_y,-0.002054506764297054
ours,v_y,-0.0011703738880674691
ours,v_y,-0.00028328086314732825
ours,v_y,0.0003706130477672681
ours,v_y,-0.0010869040992304013
ours,v_y,0.0005217037709050812
ours,v_y,0.0010551515490325042
ours,v_y,0.0010126547984942585
ours,v_y,0.000983107834311707
ours,v_y,0.0005922621921799764
ours,v_y,0.0005226039734611207
ours,v_y,0.0009701981975215289
ours,v_y,0.00208799822176442
ours,v_y,0.0011951423897483167
ours,v_y,0.00013955352514716593
ours,v_y,0.002937888926821442
ours,v_y,0.0021144381806866104
ours,v_y,0.0017457453822143087
ours,v_y,0.0022249206265091068
ours,v_y,0.003233060852316602
ours,v_y,0.005590352573117935
ours,v_y,0.007096914966457021
ours,v_y,0.0072880815542693544
ours,v_y,0.00854455864162304
ours,v_y,0.009369804873641474
ours,v_y,0.010910203211624947
ours,v_y,0.010758735529385638
ours,v_y,0.010291104406177726
ours,v_y,0.011145378483220447
ours,v_y,0.012744788277155972
ours,v_y,0.012518973617089146
ours,v_y,0.010805679979111582
ours,v_y,0.01242169011155897
ours,v_y,0.015413816382218892
ours,v_y,0.014708814162196937
ours,v_y,0.01330880586199168
ours,v_y,0.022822163188605193
ours,v_y,0.013705376806523284
ours,v_y,0.012294043219763573
ours,v_y,0.004023837332109426
ours,v_y,0.004948002912350424
ours,v_y,0.010246564815050652
ours,v_y,0.00430716363579936
ours,v_y,0.008698507871980454
ours,v_y,0.005358955171628377
ours,v_y,0.007801883296315204
ours,v_y,0.0036342362966886865
ours,v_y,0.00530881130858607
ours,v_y,0.003912199873055189
ours,v_y,0.007356635817188983
ours,v_y,0.007888442788698768
ours,v_y,0.011227617593138811
ours,v_y,0.013362458751641104
ours,v_y,0.012392491936955935
ours,v_y,0.021636089280323553
ours,v_y,0.008496326985794403
ours,v_y,0.007271764869891721
ours,v_y,0.006788346521200507
ours,v_y,0.007008822841311747
ours,v_y,0.00902818585493411
ours,v_y,0.018318596295974078
ours,v_y,0.005710300683271233
ours,v_y,0.0007506865332309876
ours,v_y,-0.003481065267836564
ours,v_y,-0.006284651312485567
ours,v_y,-0.009007683822422008
ours,v_y,-0.007148329490829608
ours,v_y,-0.007104802195629589
ours,v_y,-0.006032104869144128
ours,v_y,-0.004912059544155217
ours,v_y,-0.004940515600236506
ours,v_y,-0.00514987455671545
ours,v_y,-0.006083045972729073
ours,v_y,-0.005115569601737757
ours,v_y,-0.004989157723057858
ours,v_y,-0.0035642298091489444
ours,v_y,-0.0028224629032544968
ours,v_y,-0.002992909719844117
ours,v_y,0.0027907737125341114
ours,v_y,0.0026242947912081815
ours,v_y,0.00498589861380816
ours,v_y,0.006259961389842528
ours,v_y,0.021118936264359456
ours,v_y,0.012716235247814067
ours,v_y,0.013552740059137869
ours,v_y,0.010695933743737007
ours,v_y,0.002059516961379293
ours,v_y,-0.00015283979817082294
ours,v_y,0.014955069878791472
ours,v_y,-0.010335719451231795
ours,v_y,-0.010939118501399392
ours,v_y,-0.012112152891800898
ours,v_y,-0.008913314452790755
ours,v_y,-0.005529531104453422
ours,v_y,-0.005933389807797507
ours,v_y,-0.010506940706563217
ours,v_y,-0.010482071302426288
ours,v_y,-0.009561443777840017
ours,v_y,-0.007959766202533358
ours,v_y,-0.006303590044250407
ours,v_y,-0.006030459032676877
ours,v_y,-0.005621525329266436
ours,v_y,-0.0025006315954046454
ours,v_y,-0.003857781940742447
ours,v_y,-0.002118568741782456
ours,v_y,-0.002765233461194866
ours,v_y,-0.0004122759603850251
ours,v_y,-0.0009852915198212409
ours,v_y,0.000182141992402126
ours,v_y,-0.0005704617295510857
ours,v_y,0.0013159594075121336
ours,v_y,0.002128366669608691
ours,v_y,0.0026478960590879987
ours,v_y,0.003019901483144398
ours,v_y,0.004026091186293851
ours,v_y,0.004897594603245403
ours,v_y,0.004710796419556185
ours,v_y,0.004809199048223259
ours,v_y,0.004650827725760559
ours,v_y,0.005160689472426788
ours,v_y,0.006030155117812602
