scenario,signal,t_s,error_est_minus_gt
ours,v_y,0.0,-0.004424152789108433
ours,v_y,0.099,-0.008620185754380456
ours,v_y,0.165,-0.00271486996476401
ours,v_y,0.231,-0.0028444263836316114
ours,v_y,0.33,-0.0021431966291855726
ours,v_y,0.396,-0.0016137212599694126
ours,v_y,0.495,-0.0032352204316585115
ours,v_y,0.627,-0.006609596029924666
ours,v_y,0.693,-0.001995316333831932
ours,v_y,0.825,-0.0019953687077738386
ours,v_y,0.99,-0.006517023573479632
ours,v_y,1.056,-0.0011304541932193844
ours,v_y,1.188,-0.0017273431434645051
ours,v_y,1.32,-0.002832694649963472
ours,v_y,1.386,-0.0010782928502777785
ours,v_y,1.518,-0.0024780638739844707
ours,v_y,1.584,-0.0008224250225418277
ours,v_y,1.749,-0.002285463234109065
ours,v_y,1.914,-0.006586714352822071
ours,v_y,1.98,-0.0004948274053931737
ours,v_y,2.112,-0.001911686959080762
ours,v_y,2.244,-0.0019471107617456407
ours,v_y,2.442,-0.004244752302472853
ours,v_y,2.574,-0.003159748307602444
ours,v_y,2.706,-0.003382562739285673
ours,v_y,2.871,-0.00919823703677616
ours,v_y,2.97,-0.005792546248700944
ours,v_y,3.069,-0.0027799100368611426
ours,v_y,3.234,-0.007624343534544047
ours,v_y,3.3,-0.001683394455136291
ours,v_y,3.432,-0.004627961881304425
ours,v_y,3.564,-0.008581720675616817
ours,v_y,3.696,-0.0039027778604138023
ours,v_y,3.828,-0.002475166530676483
ours,v_y,3.96,-0.0003175971754913083
ours,v_y,4.158,-0.004413390320229735
ours,v_y,4.29,0.01747372505637109
ours,v_y,4.422,-0.0008479703553601614
ours,v_y,4.554,-0.0036873047386601354
ours,v_y,4.686,-0.00493824521219537
ours,v_y,4.884,-0.009587482639782431
ours,v_y,4.983,-0.003164674272890161
ours,v_y,5.148,-0.0036236015439007688
ours,v_y,5.346,-0.005194967942726423
ours,v_y,5.511,-0.0024005098055744634
ours,v_y,5.676,-0.007697002156691994
ours,v_y,5.742,-0.005817718151492365
ours,v_y,5.907,-0.003269209515553524
ours,v_y,6.072,-0.016352701715335805
ours,v_y,6.138,-0.0037599594694672786
ours,v_y,6.303,-0.003013421989955793
ours,v_y,6.468,-0.013945082046342951
ours,v_y,6.534,-0.002340080983366445
ours,v_y,6.732,-0.002607938425800767
