scenario,signal,series,t_s,value
ours,v_y,ground_truth,0.0,0.01225686605613685
ours,v_y,ground_truth,0.165,0.013961816431360852
ours,v_y,ground_truth,0.231,0.014478334730173792
ours,v_y,ground_truth,0.363,0.013475722349510555
ours,v_y,ground_truth,0.495,0.01268595837311981
ours,v_y,ground_truth,0.693,0.014723783389539946
ours,v_y,ground_truth,0.759,0.014266748456149614
ours,v_y,ground_truth,0.924,0.013733777523765589
ours,v_y,ground_truth,1.023,0.014809440694679488
ours,v_y,ground_truth,1.122,0.013704700611447684
ours,v_y,ground_truth,1.221,0.012518563023336426
ours,v_y,ground_truth,1.32,0.012303687891823678
ours,v_y,ground_truth,1.419,0.014932190835559744
ours,v_y,ground_truth,1.617,0.011007534652235584
ours,v_y,ground_truth,1.815,0.016330874278483343
ours,v_y,ground_truth,1.947,0.019009025811640434
ours,v_y,ground_truth,2.145,0.022455449802906813
ours,v_y,ground_truth,2.244,0.02507400257305825
ours,v_y,ground_truth,2.409,0.027914614675484728
ours,v_y,ground_truth,2.541,0.02796524982507531
ours,v_y,ground_truth,2.64,0.02873944403615436
ours,v_y,ground_truth,2.805,0.033157218266609334
ours,v_y,ground_truth,2.937,0.025533428645605483
ours,v_y,ground_truth,3.036,0.02636502138877539
ours,v_y,ground_truth,3.201,0.02362172615565239
ours,v_y,ground_truth,3.333,0.017177106018163357
ours,v_y,ground_truth,3.531,0.0046377408855349245
ours,v_y,ground_truth,3.663,-0.005930480528465232
ours,v_y,ground_truth,3.795,-0.01258472921539866
ours,v_y,ground_truth,3.96,-0.00877689261807646
ours,v_y,ground_truth,4.059,-0.005534261960814746
ours,v_y,ground_truth,4.257,0.0035192758860373985
ours,v_y,ground_truth,4.389,0.00992155218866575
ours,v_y,ground_truth,4.521,0.015568825270367626
ours,v_y,ground_truth,4.686,0.02055297054981331
ours,v_y,ground_truth,4.785,0.021931657701611762
ours,v_y,ground_truth,4.917,0.02035466073728376
ours,v_y,ground_truth,5.049,0.017739709127641667
ours,v_y,ground_truth,5.115,0.01615252408649237
ours,v_y,ground_truth,5.247,0.013385328889881087
ours,v_y,ground_truth,5.313,0.012280097835042803
ours,v_y,ground_truth,5.445,0.005249021887009597
ours,v_y,ground_truth,5.511,-0.0010216229338464444
ours,v_y,ground_truth,5.709,-0.04281522211027067
ours,v_y,ground_truth,5.907,-0.08510778146083453
ours,v_y,ground_truth,6.006,-0.10756072633777958
ours,v_y,ground_truth,6.105,-0.1231097512007926
ours,v_y,ground_truth,6.204,-0.13178122353201438
ours,v_y,ground_truth,6.369,-0.13532222279646167
ours,v_y,ground_truth,6.435,-0.1344865076479671
ours,v_y,ground_truth,6.6,-0.12648163760908115
ours,v_y,ground_truth,6.699,-0.1171151733403697
ours,v_y,ground_truth,6.831,-0.09935978265316248
ours,v_y,ground_truth,6.963,-0.08765362032088131
ours,v_y,ground_truth,7.161,-0.08795839014424356
ours,v_y,ground_truth,7.326,-0.0971230257130955
ours,v_y,ground_truth,7.491,-0.11403656032114551
ours,v_y,ground_truth,7.557,-0.12342291812392592
ours,v_y,ground_truth,7.689,-0.13782398988927635
ours,v_y,ground_truth,7.755,-0.149653178165865
ours,v_y,ground_truth,7.887,-0.16831402954795394
ours,v_y,ground_truth,8.085,-0.19630769110866275
ours,v_y,ground_truth,8.283,-0.22562508113987256
ours,v_y,ground_truth,8.415,-0.24199901872340668
ours,v_y,ground_truth,8.547,-0.26809977632481363
ours,v_y,ground_truth,8.745,-0.31874086567710425
ours,v_y,ground_truth,8.844,-0.34057136880291194
ours,v_y,ground_truth,9.009,-0.3926565620595288
ours,v_y,ground_truth,9.141,-0.44337820942999473
ours,v_y,ground_truth,9.273,-0.4967509423001988
ours,v_y,ground_truth,9.438,-0.554664022537112
ours,v_y,ground_truth,9.537,-0.6041320986765935
ours,v_y,ground_truth,9.735,-0.6654337712236522
ours,v_y,ground_truth,9.933,-0.7048230568882685
ours,v_y,ground_truth,10.065,-0.700104320169655
ours,v_y,ground_truth,10.164,-0.6586348765799483
ours,v_y,ground_truth,10.329,-0.5658992072384039
ours,v_y,ground_truth,10.461,-0.5228584432188772
ours,v_y,ground_truth,10.56,-0.5211636287845958
ours,v_y,ground_truth,10.725,-0.5253638205823135
ours,v_y,ground_truth,10.923,-0.4923554084430456
ours,v_y,ground_truth,11.121,-0.4978712070594691
ours,v_y,ground_truth,11.286,-0.43950273748147084
ours,v_y,ground_truth,11.451,-0.3881223040218833
ours,v_y,ground_truth,11.517,-0.371628861493011
ours,v_y,ground_truth,11.682,-0.3421219461434828
ours,v_y,ground_truth,11.847,-0.318895550692488
ours,v_y,ground_truth,11.913,-0.30404389919901886
ours,v_y,ground_truth,12.111,-0.2590537579837622
ours,v_y,ground_truth,12.309,-0.22865244376837257
ours,v_y,ground_truth,12.507,-0.19032380826430018
ours,v_y,ground_truth,12.639,-0.16226333021093442
ours,v_y,ground_truth,12.804,-0.12815619693627456
ours,v_y,ground_truth,12.903,-0.11343781406089315
ours,v_y,ground_truth,13.035,-0.09378519188047107
ours,v_y,ground_truth,13.2,-0.0851078464649957
ours,v_y,ground_truth,13.299,-0.07777019178718003
ours,v_y,ground_truth,13.497,-0.07048740022322164
ours,v_y,ground_truth,13.695,-0.0703076625538337
ours,v_y,ground_truth,13.893,-0.07993691885353904
ours,v_y,ground_truth,13.959,-0.08218153366688075
ours,v_y,ground_truth,14.091,-0.08972785998979482
ours,v_y,ground_truth,14.157,-0.09557407772726467
ours,v_y,ground_truth,14.289,-0.09722845223191268
ours,v_y,ground_truth,14.421,-0.10223302443245341
ours,v_y,ground_truth,14.619,-0.11015590292615318
ours,v_y,ground_truth,14.751,-0.11143418009780515
ours,v_y,ground_truth,14.883,-0.11179614295632323
ours,v_y,ground_truth,15.015,-0.11897537056699647
