scenario,signal,error_gt_minus_est
ours,front_sum_fy,0.4202429813148494
ours,front_sum_fy,-0.2877250305377539
ours,front_sum_fy,0.5052309820741856
ours,front_sum_fy,1.6374294881983742
ours,front_sum_fy,1.6387776449063267
ours,front_sum_fy,-0.38714993182254154
ours,front_sum_fy,-0.9109511225934916
ours,front_sum_fy,-1.9029891353942254
ours,front_sum_fy,-1.754878762109799
ours,front_sum_fy,-2.2751055073343043
ours,front_sum_fy,-2.4208446452495824
ours,front_sum_fy,-2.602249420510301
ours,front_sum_fy,-2.4280115963697497
ours,front_sum_fy,-1.952315617232049
ours,front_sum_fy,-2.214590117176158
ours,front_sum_fy,-2.2087719692991215
ours,front_sum_fy,-1.4787220237600547
ours,front_sum_fy,-1.4539634399054444
ours,front_sum_fy,-1.4397887918557863
ours,front_sum_fy,-1.2092534820492151
ours,front_sum_fy,-0.6999202099343709
ours,front_sum_fy,-0.5464897537597224
ours,front_sum_fy,-0.4774018726856095
ours,front_sum_fy,-0.18512974277447314
ours,front_sum_fy,0.5062803626332038
ours,front_sum_fy,1.0065032669741107
ours,front_sum_fy,0.4601242287399634
ours,front_sum_fy,-0.25192590679205074
ours,front_sum_fy,-0.8786205423123699
ours,front_sum_fy,-0.9231956486481945
ours,front_sum_fy,0.26109522571335786
ours,front_sum_fy,-0.25304420115276915
ours,front_sum_fy,0.1431494011929516
ours,front_sum_fy,-0.21148343720963014
ours,front_sum_fy,-0.43752443087166215
ours,front_sum_fy,-0.6442364254933794
ours,front_sum_fy,-0.185220094492355
ours,front_sum_fy,1.8571001404608367
ours,front_sum_fy,-0.04837570732569774
ours,front_sum_fy,-1.080549543482677
ours,front_sum_fy,-0.4067426134980785
ours,front_sum_fy,0.16696298084822603
ours,front_sum_fy,0.4592873497084664
ours,front_sum_fy,0.8893699312182273
ours,front_sum_fy,2.474514815419205
ours,front_sum_fy,0.07190107983878147
ours,front_sum_fy,0.8522932855853895
ours,front_sum_fy,0.2675271360182625
ours,front_sum_fy,0.6061666091492492
ours,front_sum_fy,0.39376965106037964
ours,front_sum_fy,0.7075645562916613
ours,front_sum_fy,1.2135525400649003
ours,front_sum_fy,4.3563078844376335
ours,front_sum_fy,2.366777701993879
ours,front_sum_fy,1.2596812121831933
ours,front_sum_fy,2.2420922650302018
ours,front_sum_fy,1.2719231025595619
ours,front_sum_fy,1.0424200303950082
ours,front_sum_fy,-0.37936630626176004
ours,front_sum_fy,-0.881638533655464
ours,front_sum_fy,-3.3524682239210257
ours,front_sum_fy,-4.354411870661487
ours,front_sum_fy,-6.241207490592068
ours,front_sum_fy,-7.37913198952981
ours,front_sum_fy,-7.4842733064219225
ours,front_sum_fy,-4.549979790551195
ours,front_sum_fy,-1.0944365294964387
ours,front_sum_fy,2.0784257452117814
ours,front_sum_fy,5.3541666565116515
ours,front_sum_fy,7.033613203551695
ours,front_sum_fy,7.938974238668649
ours,front_sum_fy,7.219834089790531
ours,front_sum_fy,4.393754100992513
ours,front_sum_fy,2.6897507136988885
ours,front_sum_fy,-1.1905273000117127
ours,front_sum_fy,-5.1938508543198765
ours,front_sum_fy,-6.6737475903414705
ours,front_sum_fy,-7.719980553814025
ours,front_sum_fy,-8.484752204915068
ours,front_sum_fy,-7.716757996864217
ours,front_sum_fy,-7.581914800501451
ours,front_sum_fy,-6.447106339634857
ours,front_sum_fy,-5.605307643851141
ours,front_sum_fy,-3.6337693764017125
ours,front_sum_fy,-1.0861069863570254
ours,front_sum_fy,1.1995350502027353
ours,front_sum_fy,5.606704415187181
ours,front_sum_fy,7.798530537046609
ours,front_sum_fy,9.727336262555
ours,front_sum_fy,13.1140002300111
ours,front_sum_fy,14.612371900287641
ours,front_sum_fy,18.381552037933233
ours,front_sum_fy,19.041862576669644
ours,front_sum_fy,21.56595564342973
ours,front_sum_fy,21.9872188531765
ours,front_sum_fy,24.532976102743817
ours,front_sum_fy,24.644843625957392
ours,front_sum_fy,27.34045640994374
ours,front_sum_fy,27.36592279680343
ours,front_sum_fy,31.44735123191387
ours,front_sum_fy,31.821789233097974
ours,front_sum_fy,33.73163308678505
ours,front_sum_fy,41.282204614471596
ours,front_sum_fy,36.552870516543635
ours,front_sum_fy,34.16094157848681
ours,front_sum_fy,17.128672797972627
ours,front_sum_fy,3.1032408078613116
ours,front_sum_fy,21.411921096162814
ours,front_sum_fy,27.651327608048575
ours,front_sum_fy,22.812532297395364
ours,front_sum_fy,20.334771965064647
ours,front_sum_fy,24.018523557524986
ours,front_sum_fy,-3.3519780649771747
ours,front_sum_fy,-6.394657922198803
ours,front_sum_fy,-11.965905114553607
