scenario,signal,t_s,error_est_minus_gt
ours_mu_0.7,front_sum_fy,0.0,2.8767213325425747
ours_mu_0.7,front_sum_fy,0.099,3.5940909493891713
ours_mu_0.7,front_sum_fy,0.33,2.894480980832995
ours_mu_0.7,front_sum_fy,0.66,3.1139377792910548
ours_mu_0.7,front_sum_fy,0.99,2.7173244008160147
ours_mu_0.7,front_sum_fy,1.32,1.4999329730866933
ours_mu_0.7,front_sum_fy,1.65,0.4659391608673751
ours_mu_0.7,front_sum_fy,1.782,-0.6775970541997722
ours_mu_0.7,front_sum_fy,1.881,0.1868203923652585
ours_mu_0.7,front_sum_fy,1.98,-1.5482084320741283
ours_mu_0.7,front_sum_fy,2.079,-0.09265764144896538
ours_mu_0.7,front_sum_fy,2.145,-10.085752791814464
ours_mu_0.7,front_sum_fy,2.211,-0.6698049722774728
ours_mu_0.7,front_sum_fy,2.31,-0.13631825869811398
ours_mu_0.7,front_sum_fy,2.376,-2.2280190603711247
ours_mu_0.7,front_sum_fy,2.475,-0.290061718836637
ours_mu_0.7,front_sum_fy,2.541,-2.327685870236298
ours_mu_0.7,front_sum_fy,2.673,0.3555282464000591
ours_mu_0.7,front_sum_fy,2.739,-1.0376015631924727
ours_mu_0.7,front_sum_fy,2.871,0.7778205766692206
ours_mu_0.7,front_sum_fy,2.937,0.42908852749666826
ours_mu_0.7,front_sum_fy,3.069,0.8436381574690146
ours_mu_0.7,front_sum_fy,3.201,0.314239959651915
ours_mu_0.7,front_sum_fy,3.333,0.49063209512904393
ours_mu_0.7,front_sum_fy,3.432,-0.2722674131112628
ours_mu_0.7,front_sum_fy,3.531,0.9177284342062291
ours_mu_0.7,front_sum_fy,3.63,-2.426988251194345
ours_mu_0.7,front_sum_fy,3.729,-0.4415692665828215
ours_mu_0.7,front_sum_fy,3.828,-6.053588873804863
ours_mu_0.7,front_sum_fy,3.993,-6.63724244455938
ours_mu_0.7,front_sum_fy,4.059,-5.468793057813201
ours_mu_0.7,front_sum_fy,4.191,-1.686745165147813
ours_mu_0.7,front_sum_fy,4.323,-0.4554161717521512
ours_mu_0.7,front_sum_fy,4.455,3.549600061242309
ours_mu_0.7,front_sum_fy,4.587,6.406796279268171
ours_mu_0.7,front_sum_fy,4.719,9.140660733055636
ours_mu_0.7,front_sum_fy,4.785,9.741338550484144
ours_mu_0.7,front_sum_fy,4.917,7.656616980984719
ours_mu_0.7,front_sum_fy,4.983,8.82580823492308
ours_mu_0.7,front_sum_fy,5.115,6.25645009072332
ours_mu_0.7,front_sum_fy,5.181,3.182039604164377
ours_mu_0.7,front_sum_fy,5.313,-0.727825016927574
ours_mu_0.7,front_sum_fy,5.379,-1.4107987009413598
ours_mu_0.7,front_sum_fy,5.511,-3.5506393148349176
ours_mu_0.7,front_sum_fy,5.577,-1.8597813498080171
ours_mu_0.7,front_sum_fy,5.643,-2.1307603675726803
ours_mu_0.7,front_sum_fy,5.742,-3.379013604285178
ours_mu_0.7,front_sum_fy,5.841,-0.4845746620577236
ours_mu_0.7,front_sum_fy,5.94,-1.0073268495076926
ours_mu_0.7,front_sum_fy,6.039,1.419531275667219
ours_mu_0.7,front_sum_fy,6.105,1.092616772161437
ours_mu_0.7,front_sum_fy,6.237,2.99837384997989
ours_mu_0.7,front_sum_fy,6.303,2.545702252353756
ours_mu_0.7,front_sum_fy,6.435,4.0359486966006415
ours_mu_0.7,front_sum_fy,6.501,2.372708384663988
ours_mu_0.7,front_sum_fy,6.633,6.140033609590612
ours_mu_0.7,front_sum_fy,6.699,3.243646275180722
ours_mu_0.7,front_sum_fy,6.831,6.459286664016515
ours_mu_0.7,front_sum_fy,6.897,5.186615953195815
ours_mu_0.7,front_sum_fy,7.029,7.140123634991063
ours_mu_0.7,front_sum_fy,7.161,6.561593399992372
ours_mu_0.7,front_sum_fy,7.293,4.876075468700645
ours_mu_0.7,front_sum_fy,7.392,5.113707019762579
ours_mu_0.7,front_sum_fy,7.491,2.443112886900785
ours_mu_0.7,front_sum_fy,7.59,2.682827173097321
ours_mu_0.7,front_sum_fy,7.689,1.19130038968071
ours_mu_0.7,front_sum_fy,7.788,-1.1234974746470483
ours_mu_0.7,front_sum_fy,7.887,-1.4379129320529396
ours_mu_0.7,front_sum_fy,7.986,-4.824887796717896
ours_mu_0.7,front_sum_fy,8.085,-1.994768620971774
ours_mu_0.7,front_sum_fy,8.184,-2.989627938198634
ours_mu_0.7,front_sum_fy,8.283,-1.0427592752395851
ours_mu_0.7,front_sum_fy,8.415,-1.819141093738402
ours_mu_0.7,front_sum_fy,8.547,1.7852142491653087
ours_mu_0.7,front_sum_fy,8.679,1.553242986075274
ours_mu_0.7,front_sum_fy,8.745,4.773502674972134
ours_mu_0.7,front_sum_fy,8.877,5.378760144910945
ours_mu_0.7,front_sum_fy,8.943,6.423579580580789
ours_mu_0.7,front_sum_fy,9.075,5.043077522633164
ours_mu_0.7,front_sum_fy,9.141,5.156992271301895
ours_mu_0.7,front_sum_fy,9.273,1.9028886886538992
ours_mu_0.7,front_sum_fy,9.339,1.682327415115978
ours_mu_0.7,front_sum_fy,9.471,-2.1530115168697987
ours_mu_0.7,front_sum_fy,9.537,-2.1475553767343314
ours_mu_0.7,front_sum_fy,9.669,-5.425307857728381
ours_mu_0.7,front_sum_fy,9.801,-3.3543569378476334
ours_mu_0.7,front_sum_fy,9.933,-4.292625868485349
ours_mu_0.7,front_sum_fy,10.032,3.443157721212458
ours_mu_0.7,front_sum_fy,10.131,6.190458051983658
ours_mu_0.7,front_sum_fy,10.23,9.47681591121615
ours_mu_0.7,front_sum_fy,10.329,11.115150799975218
ours_mu_0.7,front_sum_fy,10.428,10.765941815531704
ours_mu_0.7,front_sum_fy,10.527,9.068743572631618
ours_mu_0.7,front_sum_fy,10.626,8.277220477944748
ours_mu_0.7,front_sum_fy,10.725,6.452898097200563
ours_mu_0.7,front_sum_fy,10.857,3.04713539294314
ours_mu_0.7,front_sum_fy,10.989,0.17989539394578102
ours_mu_0.7,front_sum_fy,11.121,0.02090226409623805
ours_mu_0.7,front_sum_fy,11.253,-2.1390072375581504
ours_mu_0.7,front_sum_fy,11.352,-2.654858943690755
ours_mu_0.7,front_sum_fy,11.451,-5.100544569763684
ours_mu_0.7,front_sum_fy,11.55,-7.489178522751168
ours_mu_0.7,front_sum_fy,11.649,-13.41503029667652
ours_mu_0.7,front_sum_fy,11.748,-15.438320110798557
ours_mu_0.7,front_sum_fy,11.847,-21.15933689464896
ours_mu_0.7,front_sum_fy,11.946,-22.93371316930873
ours_mu_0.7,front_sum_fy,12.045,-27.11721490441974
ours_mu_0.7,front_sum_fy,12.177,-29.073215662229885
ours_mu_0.7,front_sum_fy,12.309,-29.227916995802218
ours_mu_0.7,front_sum_fy,12.441,-29.746278872769068
ours_mu_0.7,front_sum_fy,12.573,-28.802130880696353
ours_mu_0.7,front_sum_fy,12.672,-32.625936535816805
ours_mu_0.7,front_sum_fy,12.771,-31.191799616226888
ours_mu_0.7,front_sum_fy,12.87,-37.37608195143687
ours_mu_0.7,front_sum_fy,12.969,-39.72213511241566
ours_mu_0.7,front_sum_fy,13.068,-43.583031161570105
ours_mu_0.7,front_sum_fy,13.167,-48.593746582371324
ours_mu_0.7,front_sum_fy,13.266,-49.64821181798118
ours_mu_0.7,front_sum_fy,13.365,-55.99888490753648
ours_mu_0.7,front_sum_fy,13.497,-62.709474175112405
ours_mu_0.7,front_sum_fy,13.629,-63.211218517926085
ours_mu_0.7,front_sum_fy,13.761,-69.38467050114559
ours_mu_0.7,front_sum_fy,13.893,-68.2111514152804
ours_mu_0.7,front_sum_fy,13.992,-69.9653368327341
ours_mu_0.7,front_sum_fy,14.091,-70.4985307711874
ours_mu_0.7,front_sum_fy,14.19,-70.96477660959084
ours_mu_0.7,front_sum_fy,14.289,-70.82952240152395
ours_mu_0.7,front_sum_fy,14.388,-72.51787865815629
ours_mu_0.7,front_sum_fy,14.487,-71.57421902896203
ours_mu_0.7,front_sum_fy,14.586,-72.1239403101689
ours_mu_0.7,front_sum_fy,14.685,-68.6301567329827
ours_mu_0.7,front_sum_fy,14.784,-67.14494586460313
ours_mu_0.7,front_sum_fy,14.883,-63.44654108456132
ours_mu_0.7,front_sum_fy,15.015,-68.8078496965623
ours_mu_0.7,front_sum_fy,15.147,-64.38707520471746
ours_mu_0.7,front_sum_fy,15.312,-62.8055955523854
ours_mu_0.7,front_sum_fy,15.411,-66.05982961415123
ours_mu_0.7,front_sum_fy,15.51,-66.91063338995582
ours_mu_0.7,front_sum_fy,15.609,-45.774410515582076
ours_mu_0.7,front_sum_fy,15.708,-36.33037051856434
ours_mu_0.7,front_sum_fy,15.807,-41.1306944324499
ours_mu_0.7,front_sum_fy,15.906,-35.30881564144306
ours_mu_0.7,front_sum_fy,16.071,-27.035995769358237
ours_mu_0.7,front_sum_fy,16.203,-46.334575709399246
ours_mu_0.7,front_sum_fy,16.335,-46.622600124934706
ours_mu_0.7,front_sum_fy,16.467,-64.53682921302072
ours_mu_0.7,front_sum_fy,16.632,-55.116864297081975
ours_mu_0.7,front_sum_fy,16.731,-59.33613133476865
ours_mu_0.7,front_sum_fy,16.83,-58.3767415373278
ours_mu_0.7,front_sum_fy,16.929,-66.1423431213201
ours_mu_0.7,front_sum_fy,17.028,-62.60479681690907
ours_mu_0.7,front_sum_fy,17.127,-64.2054021211735
ours_mu_0.7,front_sum_fy,17.226,-60.957769888679366
ours_mu_0.7,front_sum_fy,17.325,-62.47634857505659
ours_mu_0.7,front_sum_fy,17.457,-63.098538046267606
ours_mu_0.7,front_sum_fy,17.589,-62.27721381574759
ours_mu_0.7,front_sum_fy,17.721,-59.45947155282863
ours_mu_0.7,front_sum_fy,17.853,-58.553352795256274
ours_mu_0.7,front_sum_fy,17.952,-55.8977229876275
ours_mu_0.7,front_sum_fy,18.051,-55.3610621510245
ours_mu_0.7,front_sum_fy,18.15,-53.71685518196381
ours_mu_0.7,front_sum_fy,18.249,-55.059756686096534
ours_mu_0.7,front_sum_fy,18.348,-58.67177198928812
ours_mu_0.7,front_sum_fy,18.447,-62.19284624195757
ours_mu_0.7,front_sum_fy,18.546,-69.30457975470824
ours_mu_0.7,front_sum_fy,18.645,-71.27205429855144
ours_mu_0.7,front_sum_fy,18.777,-76.5831666433536
ours_mu_0.7,front_sum_fy,18.909,-80.40515209206796
ours_mu_0.7,front_sum_fy,19.041,-80.79617234278567
ours_mu_0.7,front_sum_fy,19.173,-82.4250552411454
ours_mu_0.7,front_sum_fy,19.272,-83.16137057032148
ours_mu_0.7,front_sum_fy,19.371,-83.82713065940334
ours_mu_0.7,front_sum_fy,19.47,-82.5658678400547
ours_mu_0.7,front_sum_fy,19.569,-82.38777533069128
