scenario,signal,series,t_s,value
ours,front_sum_fy,ground_truth,0.0,-187.59278869628906
ours,front_sum_fy,ground_truth,0.066,-188.03203582763672
ours,front_sum_fy,ground_truth,0.132,-190.84349822998047
ours,front_sum_fy,ground_truth,0.165,-190.9779281616211
ours,front_sum_fy,ground_truth,0.198,-191.3873519897461
ours,front_sum_fy,ground_truth,0.264,-217.26897430419922
ours,front_sum_fy,ground_truth,0.33,-219.42733764648438
ours,front_sum_fy,ground_truth,0.363,-216.60245513916016
ours,front_sum_fy,ground_truth,0.396,-239.3545913696289
ours,front_sum_fy,ground_truth,0.462,-245.28115844726562
ours,front_sum_fy,ground_truth,0.528,-246.65110778808594
ours,front_sum_fy,ground_truth,0.561,-247.4290542602539
ours,front_sum_fy,ground_truth,0.594,-265.4190368652344
ours,front_sum_fy,ground_truth,0.66,-265.1579132080078
ours,front_sum_fy,ground_truth,0.726,-275.6075744628906
ours,front_sum_fy,ground_truth,0.792,-280.005859375
ours,front_sum_fy,ground_truth,0.858,-302.2270050048828
ours,front_sum_fy,ground_truth,0.924,-306.8940734863281
ours,front_sum_fy,ground_truth,0.99,-314.92889404296875
ours,front_sum_fy,ground_truth,1.056,-365.3595275878906
ours,front_sum_fy,ground_truth,1.122,-352.3184051513672
ours,front_sum_fy,ground_truth,1.188,-370.6803741455078
ours,front_sum_fy,ground_truth,1.254,-417.70631408691406
ours,front_sum_fy,ground_truth,1.287,-430.4697570800781
ours,front_sum_fy,ground_truth,1.32,-422.3111572265625
ours,front_sum_fy,ground_truth,1.386,-424.5182342529297
ours,front_sum_fy,ground_truth,1.452,-466.3699035644531
ours,front_sum_fy,ground_truth,1.485,-477.3707580566406
ours,front_sum_fy,ground_truth,1.518,-468.3370361328125
ours,front_sum_fy,ground_truth,1.584,-485.8544616699219
ours,front_sum_fy,ground_truth,1.65,-498.61346435546875
ours,front_sum_fy,ground_truth,1.683,-527.1841430664062
ours,front_sum_fy,ground_truth,1.716,-525.6135559082031
ours,front_sum_fy,ground_truth,1.782,-542.7312622070312
ours,front_sum_fy,ground_truth,1.848,-571.3105163574219
ours,front_sum_fy,ground_truth,1.881,-582.0608520507812
ours,front_sum_fy,ground_truth,1.914,-579.9707946777344
ours,front_sum_fy,ground_truth,1.98,-575.5253295898438
ours,front_sum_fy,ground_truth,2.046,-614.259765625
ours,front_sum_fy,ground_truth,2.112,-621.8993530273438
ours,front_sum_fy,ground_truth,2.178,-625.645263671875
ours,front_sum_fy,ground_truth,2.244,-623.9385986328125
ours,front_sum_fy,ground_truth,2.31,-638.6069030761719
ours,front_sum_fy,ground_truth,2.376,-691.4054870605469
ours,front_sum_fy,ground_truth,2.442,-652.3630981445312
ours,front_sum_fy,ground_truth,2.508,-660.1618041992188
ours,front_sum_fy,ground_truth,2.574,-658.8132629394531
ours,front_sum_fy,ground_truth,2.607,-663.3026428222656
ours,front_sum_fy,ground_truth,2.64,-651.6257019042969
ours,front_sum_fy,ground_truth,2.706,-650.9198608398438
ours,front_sum_fy,ground_truth,2.772,-694.3854370117188
ours,front_sum_fy,ground_truth,2.805,-666.0650024414062
ours,front_sum_fy,ground_truth,2.904,-658.0661315917969
ours,front_sum_fy,ground_truth,2.97,-651.3078308105469
ours,front_sum_fy,ground_truth,3.003,-645.8211364746094
ours,front_sum_fy,ground_truth,3.036,-641.6663208007812
ours,front_sum_fy,ground_truth,3.102,-631.2757568359375
ours,front_sum_fy,ground_truth,3.168,-614.9640808105469
ours,front_sum_fy,ground_truth,3.201,-608.7944641113281
ours,front_sum_fy,ground_truth,3.234,-605.4859619140625
ours,front_sum_fy,ground_truth,3.3,-593.9556274414062
ours,front_sum_fy,ground_truth,3.366,-577.228759765625
ours,front_sum_fy,ground_truth,3.432,-614.9416198730469
ours,front_sum_fy,ground_truth,3.498,-550.3157653808594
ours,front_sum_fy,ground_truth,3.564,-534.7553100585938
ours,front_sum_fy,ground_truth,3.63,-517.2069396972656
ours,front_sum_fy,ground_truth,3.696,-508.15049743652344
ours,front_sum_fy,ground_truth,3.762,-500.97511291503906
ours,front_sum_fy,ground_truth,3.828,-488.15773010253906
ours,front_sum_fy,ground_truth,3.894,-482.6734313964844
ours,front_sum_fy,ground_truth,3.96,-485.54115295410156
ours,front_sum_fy,ground_truth,4.026,-465.2342987060547
ours,front_sum_fy,ground_truth,4.092,-465.6741638183594
ours,front_sum_fy,ground_truth,4.125,-457.44520568847656
ours,front_sum_fy,ground_truth,4.158,-457.3119201660156
ours,front_sum_fy,ground_truth,4.224,-444.3068084716797
ours,front_sum_fy,ground_truth,4.29,-450.75267028808594
ours,front_sum_fy,ground_truth,4.323,-445.4195556640625
ours,front_sum_fy,ground_truth,4.356,-457.9933624267578
ours,front_sum_fy,ground_truth,4.422,-450.7915344238281
ours,front_sum_fy,ground_truth,4.488,-454.83583068847656
ours,front_sum_fy,ground_truth,4.521,-453.0763244628906
ours,front_sum_fy,ground_truth,4.554,-474.7893981933594
ours,front_sum_fy,ground_truth,4.62,-476.1465301513672
ours,front_sum_fy,ground_truth,4.686,-472.5445556640625
ours,front_sum_fy,ground_truth,4.752,-497.3445129394531
ours,front_sum_fy,ground_truth,4.818,-498.0415954589844
ours,front_sum_fy,ground_truth,4.884,-494.0886535644531
ours,front_sum_fy,ground_truth,4.95,-522.7726135253906
ours,front_sum_fy,ground_truth,5.016,-516.7651977539062
ours,front_sum_fy,ground_truth,5.082,-513.6725616455078
ours,front_sum_fy,ground_truth,5.148,-522.1885223388672
ours,front_sum_fy,ground_truth,5.214,-529.7950134277344
ours,front_sum_fy,ground_truth,5.247,-548.1524658203125
ours,front_sum_fy,ground_truth,5.28,-533.7431945800781
ours,front_sum_fy,ground_truth,5.346,-555.5815734863281
ours,front_sum_fy,ground_truth,5.412,-542.5931091308594
