scenario,controller,abs_e_y_m
ours_mu_0.7,RUNNING_PP,2.6278807369945225
ours_mu_0.7,RUNNING_PP,2.6279373843495923
ours_mu_0.7,RUNNING_PP,2.6280014727441725
ours_mu_0.7,RUNNING_PP,2.6280384776344694
ours_mu_0.7,RUNNING_PP,2.6281181413520684
ours_mu_0.7,RUNNING_PP,2.628177269053641
ours_mu_0.7,RUNNING_PP,2.627885312735811
ours_mu_0.7,RUNNING_PP,2.6271167919259684
ours_mu_0.7,RUNNING_PP,2.625217574382918
ours_mu_0.7,RUNNING_PP,2.622879798774428
ours_mu_0.7,RUNNING_PP,2.61675389441757
ours_mu_0.7,RUNNING_PP,2.611940798958807
ours_mu_0.7,RUNNING_PP,2.597452628567509
ours_mu_0.7,RUNNING_PP,2.590624169565606
ours_mu_0.7,RUNNING_PP,2.561765904444065
ours_mu_0.7,RUNNING_PP,2.5262896314154233
ours_mu_0.7,RUNNING_PP,2.4878219067661984
ours_mu_0.7,RUNNING_PP,2.407586096482389
ours_mu_0.7,RUNNING_PP,2.337483100485236
ours_mu_0.7,RUNNING_PP,2.2270205360254085
ours_mu_0.7,RUNNING_PP,2.147323496989902
ours_mu_0.7,RUNNING_PP,1.9572626051214086
ours_mu_0.7,RUNNING_PP,1.7680685412259334
ours_mu_0.7,RUNNING_PP,1.6853124666539792
ours_mu_0.7,RUNNING_PP,1.3670472095537116
ours_mu_0.7,RUNNING_PP,1.222967510352243
ours_mu_0.7,RUNNING_PP,0.9198917728993153
ours_mu_0.7,RUNNING_PP,0.7676897197072834
ours_mu_0.7,RUNNING_PP,0.5217873451056888
ours_mu_0.7,RUNNING_PP,0.25268080727617986
ours_mu_0.7,RUNNING_PP,0.1349919350425188
ours_mu_0.7,RUNNING_PP,0.05749159762472561
ours_mu_0.7,RUNNING_PP,0.14825110069467412
ours_mu_0.7,RUNNING_PP,0.21882367333052827
ours_mu_0.7,RUNNING_PP,0.23940028664764323
ours_mu_0.7,RUNNING_PP,0.23695862729185801
ours_mu_0.7,RUNNING_PP,0.19655747710603488
ours_mu_0.7,RUNNING_PP,0.15181546802644685
ours_mu_0.7,RUNNING_PP,0.10225241116526779
ours_mu_0.7,RUNNING_PP,0.055103136581547696
ours_mu_0.7,RUNNING_PP,0.024546244911211323
ours_mu_0.7,RUNNING_PP,0.006927995951197197
ours_mu_0.7,RUNNING_PP,0.030238814916303675
ours_mu_0.7,RUNNING_PP,0.037016305993283226
ours_mu_0.7,RUNNING_PP,0.0323966885107096
ours_mu_0.7,RUNNING_PP,0.026141919805627245
ours_mu_0.7,RUNNING_PP,0.013516126657309446
ours_mu_0.7,RUNNING_PP,0.0006072793664844145
ours_mu_0.7,RUNNING_PP,0.006124483588924593
ours_mu_0.7,RUNNING_PP,0.012092273630947586
ours_mu_0.7,RUNNING_PP,0.014350364544534838
ours_mu_0.7,RUNNING_PP,0.013798828965796373
ours_mu_0.7,RUNNING_PP,0.01250079229758888
ours_mu_0.7,RUNNING_PP,0.00900780184408878
ours_mu_0.7,RUNNING_PP,0.005983052535636829
ours_mu_0.7,RUNNING_PP,0.003541640676665514
ours_mu_0.7,RUNNING_PP,0.0023963531912061242
ours_mu_0.7,RUNNING_PP,0.0010989319110348839
ours_mu_0.7,RUNNING_PP,0.0008691658416607462
ours_mu_0.7,RUNNING_PP,0.0012241766780891061
ours_mu_0.7,RUNNING_PP,0.0018048287815057296
ours_mu_0.7,RUNNING_PP,0.0021528732498959924
ours_mu_0.7,RUNNING_PP,0.003196341376700995
ours_mu_0.7,RUNNING_PP,0.004355448004735862
ours_mu_0.7,RUNNING_PP,0.004758118237224496
ours_mu_0.7,RUNNING_PP,0.00528172637357377
ours_mu_0.7,RUNNING_PP,0.005415581685715515
ours_mu_0.7,RUNNING_PP,0.0052464450009332975
ours_mu_0.7,RUNNING_PP,0.005100790145590783
ours_mu_0.7,RUNNING_PP,0.004918410716573396
ours_mu_0.7,RUNNING_PP,0.004834183808480497
ours_mu_0.7,RUNNING_PP,0.005025326142183845
ours_mu_0.7,RUNNING_PP,0.004975013558996072
ours_mu_0.7,RUNNING_PP,0.0050721989348679886
ours_mu_0.7,RUNNING_PP,0.005155483742526695
ours_mu_0.7,RUNNING_PP,0.0050785260505485375
ours_mu_0.7,RUNNING_PP,0.005012815033907936
ours_mu_0.7,RUNNING_PP,0.004890584566752371
ours_mu_0.7,RUNNING_PP,0.00431391287944255
ours_mu_0.7,RUNNING_PP,0.004038638013799556
ours_mu_0.7,RUNNING_PP,0.003642265361156194
ours_mu_0.7,RUNNING_PP,0.0032379444620096454
ours_mu_0.7,RUNNING_PP,0.0030792109742661666
ours_mu_0.7,RUNNING_PP,0.0032388418915069647
ours_mu_0.7,RUNNING_PP,0.003715979084536289
ours_mu_0.7,RUNNING_PP,0.004044139715574213
ours_mu_0.7,RUNNING_PP,0.005450896937833571
ours_mu_0.7,RUNNING_PP,0.007392132930447715
ours_mu_0.7,RUNNING_PP,0.00801992741204871
ours_mu_0.7,RUNNING_PP,0.007142698663901298
ours_mu_0.7,RUNNING_PP,0.00303815814063077
ours_mu_0.7,RUNNING_PP,0.0013736101120976896
ours_mu_0.7,RUNNING_PP,0.01008757403087246
ours_mu_0.7,RUNNING_PP,0.010310276496544785
ours_mu_0.7,RUNNING_PP,0.00544749272406525
ours_mu_0.7,RUNNING_PP,0.004365268653556076
ours_mu_0.7,RUNNING_PP,0.009886044905956556
ours_mu_0.7,RUNNING_PP,0.015822208453164927
ours_mu_0.7,RUNNING_PP,0.01652817512548005
ours_mu_0.7,RUNNING_PP,0.015001447207089458
ours_mu_0.7,RUNNING_PP,0.010192760255267774
ours_mu_0.7,RUNNING_PP,0.007135393653996999
ours_mu_0.7,RUNNING_PP,0.0024292549638868025
ours_mu_0.7,RUNNING_PP,0.0008682534229973032
ours_mu_0.7,RUNNING_PP,0.001983248155367101
ours_mu_0.7,RUNNING_PP,0.0026611793601914457
ours_mu_0.7,RUNNING_PP,0.0020489781679439156
ours_mu_0.7,RUNNING_PP,0.0005214939972081889
ours_mu_0.7,RUNNING_PP,0.0002973112266907163
ours_mu_0.7,RUNNING_PP,0.0014462275247955902
ours_mu_0.7,RUNNING_PP,0.002270133583899797
ours_mu_0.7,RUNNING_PP,0.0025164139863625423
ours_mu_0.7,RUNNING_PP,0.0025456751178841407
ours_mu_0.7,RUNNING_PP,0.002210561175511716
ours_mu_0.7,RUNNING_PP,0.0017946995916485742
ours_mu_0.7,RUNNING_PP,0.0011646551777633185
ours_mu_0.7,RUNNING_PP,0.000912999835067152
ours_mu_0.7,RUNNING_PP,0.0003513121663782093
ours_mu_0.7,RUNNING_PP,0.0002342326180087284
ours_mu_0.7,RUNNING_PP,0.0003201256491263127
ours_mu_0.7,RUNNING_PP,0.0004492421438743732
ours_mu_0.7,RUNNING_PP,0.0007246467204121282
ours_mu_0.7,RUNNING_PP,0.0009825398377075675
ours_mu_0.7,RUNNING_PP,0.0010956112529938444
ours_mu_0.7,RUNNING_PP,0.0012243400575141505
ours_mu_0.7,RUNNING_PP,0.0012051629892637847
ours_mu_0.7,RUNNING_PP,0.0011222762778752005
ours_mu_0.7,RUNNING_PP,0.0009525137002941442
ours_mu_0.7,RUNNING_PP,0.000847008519096859
ours_mu_0.7,RUNNING_PP,0.0005547467480930268
ours_mu_0.7,RUNNING_PP,0.0002612927570778689
ours_mu_0.7,RUNNING_PP,3.932739837927968e-05
ours_mu_0.7,RUNNING_PP,0.00015561221894486166
ours_mu_0.7,RUNNING_PP,0.0003708893704063576
ours_mu_0.7,RUNNING_PP,0.0005362195084502308
ours_mu_0.7,RUNNING_PP,0.0007935790603606913
ours_mu_0.7,RUNNING_PP,0.0010492858624477353
ours_mu_0.7,RUNNING_PP,0.001363686495176264
ours_mu_0.7,RUNNING_PP,0.0014857530660475071
ours_mu_0.7,RUNNING_PP,0.0016373189742575067
ours_mu_0.7,RUNNING_PP,0.001883430993408583
ours_mu_0.7,RUNNING_PP,0.0020250823970185076
ours_mu_0.7,RUNNING_PP,0.002241105655905559
ours_mu_0.7,RUNNING_PP,0.0023357050869284857
ours_mu_0.7,RUNNING_PP,0.002627805498660818
ours_mu_0.7,RUNNING_PP,0.0028473980132148746
ours_mu_0.7,RUNNING_PP,0.0030592449191103096
ours_mu_0.7,RUNNING_PP,0.0032193141246947415
ours_mu_0.7,RUNNING_PP,0.0031994672282973924
ours_mu_0.7,RUNNING_PP,0.0032826079299723143
ours_mu_0.7,RUNNING_PP,0.0033394939214268504
ours_mu_0.7,RUNNING_PP,0.00333765762762501
ours_mu_0.7,RUNNING_PP,0.0031086879478499085
ours_mu_0.7,RUNNING_PP,0.0028223523058650835
ours_mu_0.7,RUNNING_PP,0.0025738647211084875
ours_mu_0.7,RUNNING_PP,0.0022166774577127984
ours_mu_0.7,RUNNING_PP,0.0017816560454930186
ours_mu_0.7,RUNNING_PP,0.0013875321182136302
ours_mu_0.7,RUNNING_PP,0.0009556563389452599
ours_mu_0.7,RUNNING_PP,0.0006933799747770308
ours_mu_0.7,RUNNING_PP,0.0003653978073117625
ours_mu_0.7,RUNNING_PP,0.00024081414975579696
ours_mu_0.7,RUNNING_PP,1.152513092267382e-05
ours_mu_0.7,RUNNING_PP,5.319248514666641e-05
ours_mu_0.7,RUNNING_PP,0.00017002594047993425
ours_mu_0.7,RUNNING_PP,0.0003411513394587784
ours_mu_0.7,RUNNING_PP,0.0005184172320101543
ours_mu_0.7,RUNNING_PP,0.0008223319260405142
ours_mu_0.7,RUNNING_PP,0.0014531158834196478
ours_mu_0.7,RUNNING_PP,0.0015613545394725925
ours_mu_0.7,RUNNING_PP,0.0010554799644305474
ours_mu_0.7,RUNNING_PP,0.00016425114180082523
ours_mu_0.7,RUNNING_PP,0.0017120056204227296
ours_mu_0.7,RUNNING_PP,0.0038053681387267835
ours_mu_0.7,RUNNING_PP,0.005907860465795334
ours_mu_0.7,RUNNING_PP,0.006871055884226596
ours_mu_0.7,RUNNING_PP,0.008653325758542108
ours_mu_0.7,RUNNING_PP,0.009988662558604366
ours_mu_0.7,RUNNING_PP,0.01194763216346495
ours_mu_0.7,RUNNING_PP,0.013889467607549656
ours_mu_0.7,RUNNING_PP,0.014451757311081947
ours_mu_0.7,RUNNING_PP,0.015418782797673058
ours_mu_0.7,RUNNING_PP,0.017073204319373037
ours_mu_0.7,RUNNING_PP,0.018884735588476892
ours_mu_0.7,RUNNING_PP,0.020281258103688173
ours_mu_0.7,RUNNING_PP,0.020410236954702177
ours_mu_0.7,RUNNING_PP,0.02120653999526767
ours_mu_0.7,RUNNING_PP,0.021770968803530077
ours_mu_0.7,RUNNING_PP,0.02563205153971461
ours_mu_0.7,RUNNING_PP,0.0274834191809291
ours_mu_0.7,RUNNING_PP,0.02734351426923265
ours_mu_0.7,RUNNING_PP,0.030526924184091843
ours_mu_0.7,RUNNING_PP,0.031866291790198675
ours_mu_0.7,RUNNING_PP,0.030923550537261202
ours_mu_0.7,RUNNING_PP,0.03205342706741865
ours_mu_0.7,RUNNING_PP,0.035366515720261005
ours_mu_0.7,RUNNING_PP,0.03927349282503062
ours_mu_0.7,RUNNING_PP,0.0411557960180598
ours_mu_0.7,RUNNING_PP,0.0430119952048066
ours_mu_0.7,RUNNING_PP,0.04259464037470767
ours_mu_0.7,RUNNING_PP,0.0434176557589942
ours_mu_0.7,RUNNING_PP,0.04705608090245267
ours_mu_0.7,RUNNING_PP,0.04890077772947643
ours_mu_0.7,RUNNING_PP,0.05322977488459546
ours_mu_0.7,RUNNING_PP,0.05756808407908391
ours_mu_0.7,RUNNING_PP,0.06008194524193802
ours_mu_0.7,RUNNING_PP,0.059284293297746204
ours_mu_0.7,RUNNING_PP,0.06010171878108994
ours_mu_0.7,RUNNING_PP,0.06625553786936243
ours_mu_0.7,RUNNING_PP,0.06862948405350486
ours_mu_0.7,RUNNING_PP,0.06470889171695426
ours_mu_0.7,RUNNING_PP,0.06464443126805125
ours_mu_0.7,RUNNING_PP,0.06555797336135094
ours_mu_0.7,RUNNING_PP,0.06644946296454254
ours_mu_0.7,RUNNING_PP,0.06376781685179395
ours_mu_0.7,RUNNING_PP,0.059231800792598654
ours_mu_0.7,RUNNING_PP,0.05923086156045467
ours_mu_0.7,RUNNING_PP,0.0558776235789308
ours_mu_0.7,RUNNING_PP,0.052601093331700384
ours_mu_0.7,RUNNING_PP,0.04691254662370231
ours_mu_0.7,RUNNING_PP,0.044817272975558126
ours_mu_0.7,RUNNING_PP,0.046274966485199215
ours_mu_0.7,RUNNING_PP,0.046713373156902396
ours_mu_0.7,RUNNING_PP,0.04224394652403374
ours_mu_0.7,RUNNING_PP,0.0423916556141834
ours_mu_0.7,RUNNING_PP,0.041659073422346954
ours_mu_0.7,RUNNING_PP,0.04306439678090743
ours_mu_0.7,RUNNING_PP,0.042134327158220936
ours_mu_0.7,RUNNING_PP,0.040016484241739605
ours_mu_0.7,RUNNING_PP,0.037348110194594
ours_mu_0.7,RUNNING_PP,0.039278814032529384
ours_mu_0.7,RUNNING_PP,0.038595879173823566
ours_mu_0.7,RUNNING_PP,0.035294124601175564
ours_mu_0.7,RUNNING_PP,0.03554411444113622
ours_mu_0.7,RUNNING_PP,0.033124416401369886
ours_mu_0.7,RUNNING_PP,0.03505510156876045
ours_mu_0.7,RUNNING_PP,0.03359115992112607
ours_mu_0.7,RUNNING_PP,0.03126130494018563
ours_mu_0.7,RUNNING_PP,0.029299144540585263
ours_mu_0.7,RUNNING_PP,0.030192247766737998
ours_mu_0.7,RUNNING_PP,0.029898840156832827
ours_mu_0.7,RUNNING_PP,0.028461365345787137
ours_mu_0.7,RUNNING_PP,0.025932305048446996
ours_mu_0.7,RUNNING_PP,0.02679010324057548
ours_mu_0.7,RUNNING_PP,0.026144888720716276
ours_mu_0.7,RUNNING_PP,0.0245897518997351
ours_mu_0.7,RUNNING_PP,0.0228397974700415
ours_mu_0.7,RUNNING_PP,0.020903525862813396
ours_mu_0.7,RUNNING_PP,0.021888545064029825
ours_mu_0.7,RUNNING_PP,0.02139547677250434
ours_mu_0.7,RUNNING_PP,0.020350526783396616
ours_mu_0.7,RUNNING_PP,0.01826797261333702
ours_mu_0.7,RUNNING_PP,0.018328238206735743
ours_mu_0.7,RUNNING_PP,0.01941452381472354
ours_mu_0.7,RUNNING_PP,0.019055115816734886
ours_mu_0.7,RUNNING_PP,0.01808475432128342
ours_mu_0.7,RUNNING_PP,0.01596806175101606
ours_mu_0.7,RUNNING_PP,0.016685404759299464
ours_mu_0.7,RUNNING_PP,0.016161214311134105
ours_mu_0.7,RUNNING_PP,0.015584430460245269
ours_mu_0.7,RUNNING_PP,0.014022384570426302
ours_mu_0.7,RUNNING_PP,0.013668913137436213
ours_mu_0.7,RUNNING_PP,0.012976256422315098
ours_mu_0.7,RUNNING_PP,0.012295529417781385
ours_mu_0.7,RUNNING_PP,0.011096010935059453
ours_mu_0.7,RUNNING_PP,0.009470002840892944
ours_mu_0.7,RUNNING_PP,0.008629569136788959
ours_mu_0.7,RUNNING_PP,0.007315969270092086
ours_mu_0.7,RUNNING_PP,0.006443731854433402
ours_mu_0.7,RUNNING_PP,0.00519838541609953
ours_mu_0.7,RUNNING_PP,0.004134408226175272
ours_mu_0.7,RUNNING_PP,0.0030091053982454763
ours_mu_0.7,RUNNING_PP,0.0032264238231268436
ours_mu_0.7,RUNNING_PP,0.0030345676433090538
ours_mu_0.7,RUNNING_PP,0.0023036721148084194
ours_mu_0.7,RUNNING_PP,0.0020065176540538104
ours_mu_0.7,RUNNING_PP,0.0013064341030036286
ours_mu_0.7,RUNNING_PP,0.0010390713761078071
ours_mu_0.7,RUNNING_PP,0.00033660456628388513
ours_mu_0.7,RUNNING_PP,0.0006025472084429523
ours_mu_0.7,RUNNING_PP,0.001372114027037255
ours_mu_0.7,RUNNING_PP,0.0023994821467782923
ours_mu_0.7,RUNNING_PP,0.0028906817474153162
ours_mu_0.7,RUNNING_PP,0.0033780303600116583
ours_mu_0.7,RUNNING_PP,0.003998707011354061
ours_mu_0.7,RUNNING_PP,0.004676954041858319
ours_mu_0.7,RUNNING_PP,0.005082515205824811
ours_mu_0.7,RUNNING_PP,0.005691753309133837
ours_mu_0.7,RUNNING_PP,0.006253369464761283
ours_mu_0.7,RUNNING_PP,0.006703269517365842
ours_mu_0.7,RUNNING_PP,0.007054301150555893
ours_mu_0.7,RUNNING_PP,0.007035934951722195
ours_mu_0.7,RUNNING_PP,0.007948257065434366
ours_mu_0.7,RUNNING_PP,0.008500208126427376
ours_mu_0.7,RUNNING_PP,0.008748914972582619
ours_mu_0.7,RUNNING_PP,0.00857558871448999
ours_mu_0.7,RUNNING_PP,0.008846909104293754
ours_mu_0.7,RUNNING_PP,0.00910955121478528
ours_mu_0.7,RUNNING_PP,0.008291390486857772
ours_mu_0.7,RUNNING_PP,0.008978664501069867
ours_mu_0.7,RUNNING_PP,0.0093158081304758
ours_mu_0.7,RUNNING_PP,0.009571048553095644
ours_mu_0.7,RUNNING_PP,0.009319530193647924
ours_mu_0.7,RUNNING_PP,0.01111325590715647
ours_mu_0.7,RUNNING_PP,0.011634827120343742
ours_mu_0.7,RUNNING_PP,0.01214829085204698
ours_mu_0.7,RUNNING_PP,0.012687829693231206
ours_mu_0.7,RUNNING_PP,0.014449587241776318
ours_mu_0.7,RUNNING_PP,0.015472213469203591
ours_mu_0.7,RUNNING_PP,0.01625536775205989
ours_mu_0.7,RUNNING_PP,0.016731677636460086
ours_mu_0.7,RUNNING_PP,0.018534356262733608
ours_mu_0.7,RUNNING_PP,0.02014616452913778
ours_mu_0.7,RUNNING_PP,0.02033230287393653
ours_mu_0.7,RUNNING_PP,0.021591010927192636
ours_mu_0.7,RUNNING_PP,0.02166254559724701
ours_mu_0.7,RUNNING_PP,0.02192862939433693
ours_mu_0.7,RUNNING_PP,0.02043815190444655
ours_mu_0.7,RUNNING_PP,0.017799840889141258
ours_mu_0.7,RUNNING_PP,0.018611170057247984
ours_mu_0.7,RUNNING_PP,0.01688471741657129
ours_mu_0.7,RUNNING_PP,0.014924982048824796
ours_mu_0.7,RUNNING_PP,0.01444200537210696
ours_mu_0.7,RUNNING_PP,0.016107993439712004
ours_mu_0.7,RUNNING_PP,0.016884586038325385
ours_mu_0.7,RUNNING_PP,0.016417986780605395
ours_mu_0.7,RUNNING_PP,0.01929326704821523
ours_mu_0.7,RUNNING_PP,0.02207493265611127
ours_mu_0.7,RUNNING_PP,0.023039452439613084
ours_mu_0.7,RUNNING_PP,0.022742469171374062
ours_mu_0.7,RUNNING_PP,0.02624949639243203
ours_mu_0.7,RUNNING_PP,0.027425319908900445
ours_mu_0.7,RUNNING_PP,0.028057587332920443
ours_mu_0.7,RUNNING_PP,0.026456436818648343
ours_mu_0.7,RUNNING_PP,0.028286309621486587
ours_mu_0.7,RUNNING_PP,0.0296953803344345
ours_mu_0.7,RUNNING_PP,0.027379254152518587
ours_mu_0.7,RUNNING_PP,0.029253143800549462
ours_mu_0.7,RUNNING_PP,0.030137709348032202
ours_mu_0.7,RUNNING_PP,0.029850651867276035
ours_mu_0.7,RUNNING_PP,0.029833370533316417
ours_mu_0.7,RUNNING_PP,0.030615283645588867
ours_mu_0.7,RUNNING_PP,0.03322442880124556
ours_mu_0.7,RUNNING_PP,0.03219419956200059
ours_mu_0.7,RUNNING_PP,0.03175182412587055
ours_mu_0.7,RUNNING_PP,0.0334174093068815
ours_mu_0.7,RUNNING_PP,0.03372013565433098
ours_mu_0.7,RUNNING_PP,0.03256315921507366
ours_mu_0.7,RUNNING_PP,0.03024998985161484
ours_mu_0.7,RUNNING_PP,0.031699066259972014
ours_mu_0.7,RUNNING_PP,0.03048699027234239
ours_mu_0.7,RUNNING_PP,0.027893478577066533
ours_mu_0.7,RUNNING_PP,0.029193197212698765
ours_mu_0.7,RUNNING_PP,0.028129566639075565
ours_mu_0.7,RUNNING_PP,0.025954041558258006
ours_mu_0.7,RUNNING_PP,0.02771240137653777
ours_mu_0.7,RUNNING_PP,0.026527266362917246
ours_mu_0.7,RUNNING_PP,0.02456973906676091
ours_mu_0.7,RUNNING_PP,0.02656573254782043
ours_mu_0.7,RUNNING_PP,0.02529869793314493
