scenario,e_y_m
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507905913246876
ours,2.6507996191594483
ours,2.6508136076872164
ours,2.6508497190262608
ours,2.6507343445841283
ours,2.650159459783229
ours,2.649254150626768
ours,2.647559723647791
ours,2.644898764415994
ours,2.641012270024883
ours,2.633157968078644
ours,2.6233709395901093
ours,2.605263977901714
ours,2.584169537754059
ours,2.5467707125696695
ours,2.5062604138095175
ours,2.437096012298558
ours,2.3663726589098024
ours,2.279733219368169
ours,2.146565593385941
ours,2.0519700018453064
ours,1.832612687596141
ours,1.664509003434589
ours,1.435559848278785
ours,1.2417534411121507
ours,0.9878539578733513
ours,0.7821165298550757
ours,0.6309785059267327
ours,0.3476975190432602
ours,0.21970124148878561
ours,0.03770337789642275
ours,-0.077353999303755
ours,-0.16281010036988666
ours,-0.21631256734084658
ours,-0.241843817263426
ours,-0.23248525255686767
ours,-0.20328322950714436
ours,-0.14950945746693614
ours,-0.09975132989147514
ours,-0.05216228617053137
ours,-0.003841747309504928
ours,0.02177455307924403
ours,0.0354105769427283
ours,0.03428044368445022
ours,0.022924350563919976
ours,0.011809150894338372
ours,0.0039522838911632
ours,-0.01056415649785794
ours,-0.023227407769748003
ours,-0.0272907548650118
ours,-0.025767554039072993
ours,-0.0181979103071589
ours,-0.010078223565473363
ours,-0.0007405310800241705
ours,0.004276727302072542
ours,0.006291139747157698
ours,0.005391046459518392
ours,0.0023485791718939053
ours,-0.0016635850139261263
ours,-0.006587641189520876
ours,-0.009372308898981108
ours,-0.010418625777373233
ours,-0.010137168554500697
ours,-0.00812645096491893
ours,-0.006188181378014801
ours,-0.004656279512235628
ours,-0.003965150978028853
ours,-0.004000543025283132
ours,-0.004665622530476254
ours,-0.005028550624894823
ours,-0.005111658391071416
ours,-0.004864927015202303
ours,-0.004071502892840695
ours,-0.002694514945030285
ours,-0.0020395042312585376
ours,-0.002542931730489438
ours,-0.00383382503794423
ours,-0.005933074029712444
ours,-0.008649504974900322
ours,-0.010343931858785682
ours,-0.008023524201409504
ours,-0.0008571149544523149
ours,0.011710417366906922
ours,0.01956137794735502
ours,0.011721319049747547
ours,-0.003987741828227809
ours,-0.01937509666029885
ours,-0.02858744948893993
ours,-0.028780183412769056
ours,-0.020530781065316528
ours,-0.004937882140284816
ours,0.0038171448860906954
ours,0.013150334513920323
ours,0.014121062314079932
ours,0.011194258303605237
ours,0.003176773378473996
ours,-0.004835168695843162
ours,-0.00902854673698189
ours,-0.010114743647507751
ours,-0.008039360220593317
ours,-0.0045282587242870265
ours,0.00015289409250626718
ours,0.002670482385077083
ours,0.0036288015838685794
ours,0.0026076293184163365
ours,0.0006696919182560546
ours,-0.0014158757052556079
ours,-0.003373183794624035
ours,-0.0038327007852902717
ours,-0.0032987676776446706
ours,-0.0017067725905782205
ours,-0.00017727782981119544
ours,0.001085626311008503
ours,0.0022139273076537958
ours,0.002502570032983875
ours,0.0023873655474294098
ours,0.0019989434584238297
ours,0.0014591288584400453
ours,0.0012492588027832457
ours,0.0013926204218269594
ours,0.00199650670256063
ours,0.0026109186107866056
ours,0.003217679809841112
ours,0.003673199856964182
ours,0.003921579712908407
ours,0.003977178162510309
ours,0.003687603896776054
ours,0.0031014380878106873
ours,0.0023249385037893977
ours,0.0010979896826020519
ours,0.00030319659132485577
ours,-0.0004471889734696255
ours,-0.000822938503583337
ours,-0.0009159251793863787
ours,-0.0009620246958097489
ours,-0.0010932822292757938
ours,-0.001266658123062675
ours,-0.0015320516159283981
ours,-0.0010258170646706422
ours,0.0014929478117675643
ours,0.0073298479726812416
ours,0.012702758583179735
ours,0.019303667080464465
ours,0.024129993999986
ours,0.027044870150782614
ours,0.029238904954442875
ours,0.02981613212179607
ours,0.03177094430559002
ours,0.03320806270586041
ours,0.03512825421020417
ours,0.03748420950404117
ours,0.040775084967700256
ours,0.04269623135800188
ours,0.04663315908960941
ours,0.050728427171826684
ours,0.0517017365658789
ours,0.05499278438008176
ours,0.05914140115268818
ours,0.06460945428391807
ours,0.06824130479035928
ours,0.06996550020695691
ours,0.07754464011171114
ours,0.082392343486565
ours,0.08591488830901073
ours,0.0915433014846036
ours,0.09761304988649261
ours,0.10281963895502477
ours,0.11210422650867574
ours,0.1186588797594669
ours,0.1223672012457912
ours,0.12158624394192155
ours,0.11410857441497374
ours,0.10761820770930136
ours,0.10066342527487288
ours,0.09487798587222646
ours,0.08727129473115693
ours,0.08155347891619943
ours,0.07902761239046345
ours,0.07743353587665464
ours,0.07668987701597443
ours,0.07541409274944108
ours,0.07448834903049614
ours,0.07293293996977113
ours,0.07083187746160777
ours,0.0658083468950446
ours,0.06562865977874505
ours,0.06073546617991152
ours,0.06041348009446923
ours,0.0548940631314585
ours,0.05318175064732748
ours,0.05336112462695097
ours,0.049775205391298954
ours,0.05028587543342236
ours,0.048600358987746645
ours,0.04782861326038671
ours,0.0458891678991835
ours,0.04336782695844382
ours,0.0409701143095702
ours,0.039047764596378445
ours,0.036795420391429856
ours,0.035753555310270496
ours,0.03491881632748997
ours,0.032408205915075754
ours,0.03135746638273387
ours,0.029974390841325388
ours,0.028481343827346916
ours,0.027055842930022063
ours,0.025733865251991617
ours,0.02430489998153236
ours,0.021775354823939344
ours,0.019445265104555756
ours,0.017210831043222574
ours,0.014982354406249829
ours,0.012567315068430465
ours,0.010649576444838924
ours,0.009811727801846304
ours,0.008680420378906248
ours,0.007857817370644449
ours,0.007251424714555435
ours,0.006869862602175205
ours,0.005440936837191095
ours,0.004802101837226375
ours,0.0029938663013948322
ours,0.0012626672837280865
ours,-0.0004017466668234486
ours,-0.002176984012741353
ours,-0.0040618337037455834
ours,-0.005449622034084896
ours,-0.006851591049155191
ours,-0.008150617243155883
ours,-0.00923528730913703
ours,-0.010493067854755053
ours,-0.011451128327762072
ours,-0.012379462274326333
ours,-0.013688460548593184
ours,-0.014459909575448168
ours,-0.015005898130394268
ours,-0.016422949491556253
ours,-0.017475474135772197
ours,-0.02012657267242718
ours,-0.02241510205206291
ours,-0.024761526135912353
ours,-0.02706861729481247
ours,-0.029521192882558417
ours,-0.03184756283626388
ours,-0.03305917913566166
ours,-0.03520433346319377
ours,-0.03715147208223525
ours,-0.03810855997438273
ours,-0.03764363169733133
ours,-0.03578928293783118
ours,-0.032882290595089236
ours,-0.029622957043761725
ours,-0.027525278308558943
ours,-0.027620541877433104
ours,-0.032209862331656056
ours,-0.036902411422093294
ours,-0.04244238921335247
ours,-0.04898087858619681
ours,-0.052680771035379645
ours,-0.05414566283468509
ours,-0.05498225107623266
ours,-0.054610842954849824
ours,-0.053635755436710314
ours,-0.053271323261200355
ours,-0.0532346224622376
ours,-0.05411135552263356
ours,-0.056230458777650455
ours,-0.05841380517931778
ours,-0.060489024644430886
ours,-0.06120841813228647
ours,-0.0603323742316652
ours,-0.055465538361851974
ours,-0.052626365406980596
ours,-0.05347124640689034
ours,-0.049971906881301154
ours,-0.0494336302690516
ours,-0.047438559583401374
ours,-0.04736700986753189
ours,-0.04570467076709478
ours,-0.046125131918368735
ours,-0.04466138077754203
ours,-0.04544186848845362
ours,-0.04535426644711477
ours,-0.04395291343850102
ours,-0.045142455849347424
ours,-0.04514612146591339
ours,-0.043811216081837745
ours,-0.0438805811968806
ours,-0.04430833184822225
ours,-0.045529077380940766
ours,-0.04575222379439896
ours,-0.044318027128823434
ours,-0.04444008847173453
ours,-0.04432103758867617
ours,-0.046152908200774875
ours,-0.04515879748962176
ours,-0.044149152221581195
ours,-0.04289522626872122
ours,-0.042586422319224757
ours,-0.04092539338658116
ours,-0.039568947481875755
ours,-0.03689337132342091
ours,-0.03607777428282899
ours,-0.037369479882038426
ours,-0.03689406722034336
ours,-0.03701693865789511
ours,-0.03660803593091793
ours,-0.03551511272823432
ours,-0.03417586194364852
ours,-0.03415948974600519
ours,-0.03291735557854003
ours,-0.03223026408505408
ours,-0.030983828234883992
ours,-0.02952172341826642
ours,-0.027947489579063456
ours,-0.026422273499462523
ours,-0.02502762475431425
ours,-0.023863269173245882
ours,-0.022746264047688092
ours,-0.02164035351190663
ours,-0.021345322747055195
ours,-0.020377256711814007
ours,-0.020107264169854207
ours,-0.019056106929148324
ours,-0.01816898014309726
ours,-0.017233107576553414
ours,-0.016242599816909065
ours,-0.01471767670396118
ours,-0.014021163938624626
ours,-0.014637844856699528
ours,-0.014261444808251228
ours,-0.014202034086142332
ours,-0.012549883274719231
ours,-0.012290518401095296
ours,-0.012140193889670303
ours,-0.012014607816593359
ours,-0.011649509827766746
ours,-0.010756290256793144
ours,-0.009839970006991605
ours,-0.009095210481473659
ours,-0.008449827867391235
ours,-0.007838941300303381
ours,-0.0073416487129662755
ours,-0.007143682900217774
ours,-0.007140273689843046
ours,-0.007085932669881556
ours,-0.007121179258142762
ours,-0.006846071415557153
ours,-0.006330950225396648
ours,-0.006097397482976885
ours,-0.005492868431715481
ours,-0.005045485314549292
ours,-0.0049664742560400765
ours,-0.004667690208080416
ours,-0.003960738063118931
ours,-0.0035651104601802097
ours,-0.003419672142429331
ours,-0.0034607910503917094
ours,-0.003480171794400057
ours,-0.0034962290430286883
ours,-0.0033842397915060662
ours,-0.003075341572190554
ours,-0.0027958895176408705
ours,-0.002704978090995236
ours,-0.002489819634966528
ours,-0.002455496833580137
ours,-0.002607751949638762
ours,-0.003031276316949008
ours,-0.003387041017331005
ours,-0.0033885311809231378
ours,-0.0030303814103183058
ours,-0.0022457173503764583
ours,-0.0015155631100593758
ours,-0.00028511061990510456
ours,0.0004516295282150501
ours,0.0007925247306104777
ours,0.001005065607614819
ours,0.0006446112966276285
ours,0.0014175978260384525
ours,0.00119802301952876
ours,0.0024980535815503947
ours,0.0029101435654119434
ours,0.003324458979991722
ours,0.004143351578249077
ours,0.005170325764401643
ours,0.006608414555202169
ours,0.009273140663670298
ours,0.01453955226760617
ours,0.025597320060604112
ours,0.0371952485437575
ours,0.049556649385887275
ours,0.05861561005861399
ours,0.06967009732322937
ours,0.07685959728026442
ours,0.08700245193215404
ours,0.08669409518370558
ours,0.09112116683631266
ours,0.09720876089817954
ours,0.1083332486002955
ours,0.11869412220130776
ours,0.1340111229320857
ours,0.15208108925840905
ours,0.16607097273672883
ours,0.18019518972718968
ours,0.18522697764588095
ours,0.1947726820817599
ours,0.1970809366394006
ours,0.20374911399589632
ours,0.21121837935183627
ours,0.22438816315990734
ours,0.23554719453882633
ours,0.25146742243656667
ours,0.27276184759672933
ours,0.29003860013114274
ours,0.3003111740643905
ours,0.3274600750274172
ours,0.3526349962675374
ours,0.36741432814351793
ours,0.37098307008643505
ours,0.40855970977308254
ours,0.41311669096950676
ours,0.4383990376540655
ours,0.44003890373290555
ours,0.4285318686318489
ours,0.4031056643992901
ours,0.3638758891321996
ours,0.31767194470689397
ours,0.26591121932961237
ours,0.21427487231423528
ours,0.17061887325341757
ours,0.13868627259207844
ours,0.12004208614902755
ours,0.10835717947938656
ours,0.10829820709804022
ours,0.1166984695250659
ours,0.11968238647615914
ours,0.12029487313570814
ours,0.11513518690702812
ours,0.10336342921057168
ours,0.09370265689491132
ours,0.07542603558267585
ours,0.058024354563872754
ours,0.047337206897543435
ours,0.03721717131858507
ours,0.03162246694636647
ours,0.02972815432994491
ours,0.03072577689786135
ours,0.032517935641647705
ours,0.03414512491897426
ours,0.03380569394391282
ours,0.031115230673063838
ours,0.02746088563234106
ours,0.020905012614768126
ours,0.013374999663810741
ours,0.007938687983540471
ours,0.00144191277025571
ours,-0.0038942830179775623
ours,-0.008074560066606756
ours,-0.011516914878429318
ours,-0.014541998541579795
ours,-0.017598721225920086
ours,-0.02110229370936792
ours,-0.02543447596142777
ours,-0.03102696963081851
ours,-0.037732869061343655
ours,-0.04497047672889924
ours,-0.050300237779578
ours,-0.057405876754755975
ours,-0.0650227355806473
ours,-0.07813258109621242
ours,-0.08934684741837476
ours,-0.10235488412999617
ours,-0.11534609961724179
ours,-0.12831643193106845
ours,-0.13355070263850843
ours,-0.1484216319751438
ours,-0.1642811514746446
ours,-0.18410410783980058
ours,-0.20085888706784866
ours,-0.22025948520559718
ours,-0.23255674603064708
