scenario,signal,t_s,error_est_minus_gt
ours,v_y,0.0,0.017604613590861115
ours,v_y,0.33,0.02694236812698178
ours,v_y,0.528,0.03250045479496927
ours,v_y,0.792,0.03465477545345397
ours,v_y,1.122,0.038072141265756254
ours,v_y,1.452,0.10286785677346916
ours,v_y,1.716,0.05570543007149753
ours,v_y,1.98,0.07192010817778405
ours,v_y,2.244,0.07662315600129532
ours,v_y,2.64,0.0756827766670235
ours,v_y,2.904,0.05897061080933663
ours,v_y,3.168,0.07676942304776824
ours,v_y,3.432,0.06777561292140122
ours,v_y,3.696,0.056694935844849303
ours,v_y,4.092,0.05495874208637663
ours,v_y,4.356,0.044606123885515436
ours,v_y,4.554,0.0485408865163586
ours,v_y,4.818,0.05078988534725051
ours,v_y,5.148,0.059461275592087415
ours,v_y,5.478,0.13587652942383005
ours,v_y,5.709,0.033676170687875706
ours,v_y,5.907,0.0334595134372182
ours,v_y,6.138,0.07171380842023978
ours,v_y,6.534,0.06951198864477176
ours,v_y,6.864,0.03557577209136126
ours,v_y,7.128,0.08412583281529984
ours,v_y,7.425,0.12141817595821036
ours,v_y,7.722,0.07186227512927446
ours,v_y,8.052,0.032042111256317396
ours,v_y,8.25,0.02895729633980143
ours,v_y,8.448,0.02727778319247104
ours,v_y,8.646,0.028853188975034055
ours,v_y,8.844,0.0923494242033765
ours,v_y,9.042,0.10096145712859406
ours,v_y,9.207,0.0680270848572786
ours,v_y,9.405,0.06483649191032437
ours,v_y,9.603,0.07003431949792177
ours,v_y,9.801,0.06348155009470108
ours,v_y,9.933,0.03578368251007058
ours,v_y,10.098,0.038176167463975785
ours,v_y,10.263,0.04140674946095235
ours,v_y,10.428,0.04041312452673651
ours,v_y,10.626,0.04180327371065662
ours,v_y,10.791,0.08322744395821385
ours,v_y,10.923,0.04309140233362302
ours,v_y,11.121,0.039516431708300104
ours,v_y,11.286,0.035850437219258346
ours,v_y,11.517,0.07334084720505851
ours,v_y,11.715,0.05881299550596786
ours,v_y,11.913,0.06084429746069775
ours,v_y,12.111,0.02949683282905624
ours,v_y,12.276,0.029198856863978162
ours,v_y,12.474,0.026567668019074675
ours,v_y,12.672,0.023037375644354152
ours,v_y,12.87,0.033391648579060684
ours,v_y,13.068,0.019686958771280016
ours,v_y,13.266,0.015662886246297747
ours,v_y,13.497,0.027804563775237545
ours,v_y,13.695,0.028260635032124184
ours,v_y,13.893,0.0032091668319080835
ours,v_y,14.091,0.001863647791330976
ours,v_y,14.256,0.0005583341351372284
ours,v_y,14.421,0.01764163738252432
ours,v_y,14.619,0.005112823973864422
ours,v_y,14.817,0.003484728394337888
ours,v_y,15.015,0.005112244326126725
ours,v_y,15.213,0.008324021258740044
ours,v_y,15.411,0.0076676655180876185
ours,v_y,15.576,0.007577789039908633
ours,v_y,15.774,0.007125445523427448
ours,v_y,15.972,0.0076921369012335206
ours,v_y,16.137,0.007037751762568462
ours,v_y,16.302,0.007924440651598447
ours,v_y,16.467,0.00871060452851613
ours,v_y,16.665,0.02741930221108757
ours,v_y,16.83,0.009647042460694477
ours,v_y,17.028,0.010566777592291299
ours,v_y,17.193,0.013052908476085645
ours,v_y,17.391,0.039669006098816295
ours,v_y,17.589,0.013851395974483316
ours,v_y,17.787,0.010686522161983514
ours,v_y,17.985,0.013182062569975728
ours,v_y,18.183,0.019073011334040824
ours,v_y,18.381,0.02363272519797105
ours,v_y,18.579,0.04129918510851116
ours,v_y,18.777,0.03495688606197611
ours,v_y,18.975,0.02395957318701966
ours,v_y,19.173,0.020924904402355005
ours,v_y,19.371,0.02246692386004162
ours,v_y,19.569,0.0158769239395517
ours,v_y,19.734,0.016486336723797956
ours,v_y,19.899,0.041553937688098064
ours,v_y,20.031,0.020317720995472133
ours,v_y,20.196,0.020477989454646794
ours,v_y,20.394,0.03017970698392991
ours,v_y,20.559,0.02315302167463007
ours,v_y,20.757,0.027633269980851916
ours,v_y,20.988,0.04442048025531975
ours,v_y,21.153,0.02824580952109812
ours,v_y,21.351,0.04268518219081391
ours,v_y,21.549,0.03313562082374022
ours,v_y,21.714,0.01814032314424513
ours,v_y,21.912,0.01612705201600656
ours,v_y,22.143,0.017932069563010355
ours,v_y,22.341,0.02091433788667918
ours,v_y,22.539,0.05767472693122522
ours,v_y,22.704,0.02951441986313874
ours,v_y,22.902,0.03330250096386522
ours,v_y,23.1,0.03423544907433462
ours,v_y,23.265,0.03447265104345487
ours,v_y,23.463,0.02662253306525897
ours,v_y,23.628,0.02377653235935323
ours,v_y,23.826,0.019172757657631934
ours,v_y,24.024,0.014356329573901538
ours,v_y,24.222,0.012800082022275033
ours,v_y,24.387,0.012329064891899666
ours,v_y,24.519,0.014842601733371208
ours,v_y,24.75,0.04406815938128572
ours,v_y,24.915,0.025634245330352134
ours,v_y,25.08,0.06238004794934343
ours,v_y,25.212,0.019787559848553515
ours,v_y,25.41,0.028214734121857488
ours,v_y,25.575,0.011901462024228981
ours,v_y,25.773,0.03200771130104607
ours,v_y,25.905,0.010032408356579176
ours,v_y,26.07,0.008962592526360558
ours,v_y,26.235,0.009104421910082205
ours,v_y,26.4,0.01952130908612168
ours,v_y,26.565,0.008858621401664823
ours,v_y,26.697,0.008874542284911885
ours,v_y,26.895,0.0201466183168868
ours,v_y,27.027,0.004481243772036042
ours,v_y,27.225,0.010517635892540123
ours,v_y,27.357,0.0038359608444860915
ours,v_y,27.489,0.004928868494001815
ours,v_y,27.654,0.00577699038375365
ours,v_y,27.786,0.0059019177599271
ours,v_y,27.951,0.013774179485483679
ours,v_y,28.083,0.0054003903942075465
ours,v_y,28.215,0.003222761169512464
ours,v_y,28.38,0.000499233366716742
ours,v_y,28.512,-0.00058995369584975
ours,v_y,28.677,-0.0022965665571093793
ours,v_y,28.809,-0.0031721889911753565
ours,v_y,28.941,-0.004095875401592457
ours,v_y,29.106,-0.0047704147735455225
ours,v_y,29.238,-0.004431957312139967
ours,v_y,29.403,-0.008931311644112589
ours,v_y,29.535,-0.003945306595965018
ours,v_y,29.7,-0.0034227348443409446
ours,v_y,29.832,-0.003499252282052275
ours,v_y,29.964,-0.0016121123133876047
ours,v_y,30.129,0.0004759108892534933
ours,v_y,30.294,-0.0018691567205375917
ours,v_y,30.426,-0.000804054706626027
ours,v_y,30.558,-0.0003090117416165855
ours,v_y,30.723,-0.000590235607705776
ours,v_y,30.855,-0.001347180019847849
ours,v_y,30.987,-0.002167951926021927
ours,v_y,31.152,-0.0019553876587385076
ours,v_y,31.317,-0.0059591859235080535
ours,v_y,31.449,-0.0028775698121976598
ours,v_y,31.647,-0.0026759274758852807
ours,v_y,31.779,-0.002782642965673321
ours,v_y,31.977,-0.0017135930061103824
ours,v_y,32.109,-0.0026441939734969146
ours,v_y,32.274,-0.008454368757787574
ours,v_y,32.439,-0.0019159768871497666
ours,v_y,32.604,-0.0015459538138019435
ours,v_y,32.769,-0.002801799632038364
ours,v_y,32.934,-0.00453467242901001
ours,v_y,33.099,-0.005111279031116446
ours,v_y,33.297,-1.032102566838472e-05
ours,v_y,33.429,0.0005452695740519181
ours,v_y,33.627,-6.57701754488288e-05
ours,v_y,33.759,-0.000720398337006968
ours,v_y,33.891,-0.0013292851821262094
ours,v_y,34.089,-0.001973116537024755
ours,v_y,34.221,-0.002575482487831706
ours,v_y,34.386,-0.004803952399431929
ours,v_y,34.551,-0.002513160762906419
ours,v_y,34.716,-0.003160721064534952
ours,v_y,34.881,-0.003108304302867161
ours,v_y,35.013,-0.0018315130909159587
ours,v_y,35.211,-0.0054935665527977035
ours,v_y,35.343,-0.00276797047423356
ours,v_y,35.508,-0.004966330899136983
ours,v_y,35.673,-0.0015783257071490392
ours,v_y,35.838,-0.0020839996787802434
ours,v_y,36.003,0.00031800489894081435
ours,v_y,36.168,0.0017453583956037189
ours,v_y,36.333,0.0006140198767612751
ours,v_y,36.465,0.0005573746542373581
ours,v_y,36.597,0.0001264225847309869
ours,v_y,36.795,-0.00010569109181088332
ours,v_y,36.927,-0.002340472426808838
ours,v_y,37.059,-0.0015631499750621003
ours,v_y,37.224,-0.001903156323696427
ours,v_y,37.389,-0.0021238865938441147
