scenario,signal,series,t_s,value
ours,v_y,ground_truth,0.0,0.06772375562996835
ours,v_y,ground_truth,0.33,0.08347057269483571
ours,v_y,ground_truth,0.528,0.089012866418682
ours,v_y,ground_truth,0.792,0.10105786938574202
ours,v_y,ground_truth,1.122,0.12537555988076488
ours,v_y,ground_truth,1.452,0.18958187087019152
ours,v_y,ground_truth,1.716,0.25299431819584406
ours,v_y,ground_truth,1.98,0.3214926623619352
ours,v_y,ground_truth,2.244,0.4110152722909213
ours,v_y,ground_truth,2.64,0.46043095744117846
ours,v_y,ground_truth,2.904,0.47045797396645117
ours,v_y,ground_truth,3.168,0.42723576593923696
ours,v_y,ground_truth,3.432,0.35890802063864236
ours,v_y,ground_truth,3.696,0.28162991936777004
ours,v_y,ground_truth,4.092,0.20936022268526955
ours,v_y,ground_truth,4.356,0.1617719669481148
ours,v_y,ground_truth,4.554,0.15023476845459127
ours,v_y,ground_truth,4.818,0.1514573339586227
ours,v_y,ground_truth,5.148,0.18512261279833941
ours,v_y,ground_truth,5.478,0.21161279004727113
ours,v_y,ground_truth,5.709,0.25056096963317304
ours,v_y,ground_truth,5.907,0.2680850440113799
ours,v_y,ground_truth,6.138,0.2832241649796492
ours,v_y,ground_truth,6.534,0.3422371248427858
ours,v_y,ground_truth,6.864,0.42523088488055905
ours,v_y,ground_truth,7.128,0.49844885363821767
ours,v_y,ground_truth,7.425,0.4770211158399862
ours,v_y,ground_truth,7.722,0.3935248586663125
ours,v_y,ground_truth,8.052,0.3040658043010698
ours,v_y,ground_truth,8.25,0.2564044707507449
ours,v_y,ground_truth,8.448,0.22498723709207624
ours,v_y,ground_truth,8.646,0.21800775679822593
ours,v_y,ground_truth,8.844,0.22754433182655198
ours,v_y,ground_truth,9.042,0.23772894197257166
ours,v_y,ground_truth,9.207,0.2554445183886962
ours,v_y,ground_truth,9.405,0.27925911072592857
ours,v_y,ground_truth,9.603,0.3055026251626112
ours,v_y,ground_truth,9.801,0.3281561187706563
ours,v_y,ground_truth,9.933,0.3619154688235442
ours,v_y,ground_truth,10.098,0.40282542319762005
ours,v_y,ground_truth,10.263,0.4142097746803266
ours,v_y,ground_truth,10.428,0.4138479553675243
ours,v_y,ground_truth,10.626,0.41486418404152836
ours,v_y,ground_truth,10.791,0.4012502368785551
ours,v_y,ground_truth,10.923,0.3757720683040624
ours,v_y,ground_truth,11.121,0.3412131975014354
ours,v_y,ground_truth,11.286,0.2950681962115258
ours,v_y,ground_truth,11.517,0.2858885334185839
ours,v_y,ground_truth,11.715,0.28050615408126056
ours,v_y,ground_truth,11.913,0.29250955412405766
ours,v_y,ground_truth,12.111,0.2833497397213076
ours,v_y,ground_truth,12.276,0.2855810308139759
ours,v_y,ground_truth,12.474,0.297204729383699
ours,v_y,ground_truth,12.672,0.299902071650914
ours,v_y,ground_truth,12.87,0.28268883881492535
ours,v_y,ground_truth,13.068,0.24249532408649443
ours,v_y,ground_truth,13.266,0.17651223282656758
ours,v_y,ground_truth,13.497,0.13739755382944985
ours,v_y,ground_truth,13.695,0.09196868378403344
ours,v_y,ground_truth,13.893,0.04906425256043434
ours,v_y,ground_truth,14.091,0.03227968029919026
ours,v_y,ground_truth,14.256,0.04379854050653442
ours,v_y,ground_truth,14.421,0.046098058525581465
ours,v_y,ground_truth,14.619,0.09490166579964132
ours,v_y,ground_truth,14.817,0.12648625327146767
ours,v_y,ground_truth,15.015,0.14507371458774543
ours,v_y,ground_truth,15.213,0.1580851019875631
ours,v_y,ground_truth,15.411,0.15223841274464966
ours,v_y,ground_truth,15.576,0.142660950880936
ours,v_y,ground_truth,15.774,0.13364436370527422
ours,v_y,ground_truth,15.972,0.13152472484390465
ours,v_y,ground_truth,16.137,0.13456935417893945
ours,v_y,ground_truth,16.302,0.14207734700883634
ours,v_y,ground_truth,16.467,0.15275737925510668
ours,v_y,ground_truth,16.665,0.1723483295053363
ours,v_y,ground_truth,16.83,0.19476790724530701
ours,v_y,ground_truth,17.028,0.22234750586079777
ours,v_y,ground_truth,17.193,0.24254487044473194
ours,v_y,ground_truth,17.391,0.25726333523041944
ours,v_y,ground_truth,17.589,0.26436360891888455
ours,v_y,ground_truth,17.787,0.2787311565065309
ours,v_y,ground_truth,17.985,0.2967258303582554
ours,v_y,ground_truth,18.183,0.34594826356024555
ours,v_y,ground_truth,18.381,0.3522995940342266
ours,v_y,ground_truth,18.579,0.31889397772952677
ours,v_y,ground_truth,18.777,0.2609599067189752
ours,v_y,ground_truth,18.975,0.2178907008373212
ours,v_y,ground_truth,19.173,0.20612640913093472
ours,v_y,ground_truth,19.371,0.23868020689722869
ours,v_y,ground_truth,19.569,0.2891676380395243
ours,v_y,ground_truth,19.734,0.3407433804509221
ours,v_y,ground_truth,19.899,0.3731502066927721
ours,v_y,ground_truth,20.031,0.4039969762073774
ours,v_y,ground_truth,20.196,0.44297077639079596
ours,v_y,ground_truth,20.394,0.4755652175176355
ours,v_y,ground_truth,20.559,0.48804791159794547
ours,v_y,ground_truth,20.757,0.5136714573208465
ours,v_y,ground_truth,20.988,0.5297394257966026
ours,v_y,ground_truth,21.153,0.49336422078435405
ours,v_y,ground_truth,21.351,0.4110841745162874
ours,v_y,ground_truth,21.549,0.33801907814196763
ours,v_y,ground_truth,21.714,0.2825322997013524
ours,v_y,ground_truth,21.912,0.3045041815325966
ours,v_y,ground_truth,22.143,0.38798795990779045
ours,v_y,ground_truth,22.341,0.49399468706852456
ours,v_y,ground_truth,22.539,0.5768913364963986
ours,v_y,ground_truth,22.704,0.6660299415383832
ours,v_y,ground_truth,22.902,0.6881925620855238
ours,v_y,ground_truth,23.1,0.6699341246208999
ours,v_y,ground_truth,23.265,0.6304197015813484
ours,v_y,ground_truth,23.463,0.5205132963064818
ours,v_y,ground_truth,23.628,0.4322860178251329
ours,v_y,ground_truth,23.826,0.3194255257872136
ours,v_y,ground_truth,24.024,0.2526572717535629
ours,v_y,ground_truth,24.222,0.22900321694598524
ours,v_y,ground_truth,24.387,0.2451237135126938
ours,v_y,ground_truth,24.519,0.29249701550171814
ours,v_y,ground_truth,24.75,0.39889608786816
ours,v_y,ground_truth,24.915,0.4360125239231629
ours,v_y,ground_truth,25.08,0.4230061419671025
ours,v_y,ground_truth,25.212,0.38609851592534605
ours,v_y,ground_truth,25.41,0.33279450760974827
ours,v_y,ground_truth,25.575,0.2849207146034014
ours,v_y,ground_truth,25.773,0.24071754744029983
ours,v_y,ground_truth,25.905,0.23602510607892713
ours,v_y,ground_truth,26.07,0.2286982813354701
ours,v_y,ground_truth,26.235,0.21287389676797197
ours,v_y,ground_truth,26.4,0.19736215809102964
ours,v_y,ground_truth,26.565,0.17228045406671466
ours,v_y,ground_truth,26.697,0.1513550475629759
ours,v_y,ground_truth,26.895,0.12167136480611207
ours,v_y,ground_truth,27.027,0.10459888395117067
ours,v_y,ground_truth,27.225,0.09081776195861635
ours,v_y,ground_truth,27.357,0.09279468083681919
ours,v_y,ground_truth,27.489,0.10138769521168034
ours,v_y,ground_truth,27.654,0.11356077119094787
ours,v_y,ground_truth,27.786,0.11482148778600787
ours,v_y,ground_truth,27.951,0.11255922463118839
ours,v_y,ground_truth,28.083,0.10735734380874384
ours,v_y,ground_truth,28.215,0.09613787858409029
ours,v_y,ground_truth,28.38,0.07373965313646536
ours,v_y,ground_truth,28.512,0.05973778706726618
ours,v_y,ground_truth,28.677,0.03458005920165852
ours,v_y,ground_truth,28.809,0.01971525612437608
ours,v_y,ground_truth,28.941,0.0072720934221617295
ours,v_y,ground_truth,29.106,0.00038919192878483777
ours,v_y,ground_truth,29.238,0.0004249684547954491
ours,v_y,ground_truth,29.403,0.0045565082318830274
ours,v_y,ground_truth,29.535,0.006413308805838014
ours,v_y,ground_truth,29.7,0.009040035051459228
ours,v_y,ground_truth,29.832,0.010607725470910934
ours,v_y,ground_truth,29.964,0.01369376032819325
ours,v_y,ground_truth,30.129,0.020494098983506737
ours,v_y,ground_truth,30.294,0.03553880819488908
ours,v_y,ground_truth,30.426,0.041063040647272064
ours,v_y,ground_truth,30.558,0.04145705782840148
ours,v_y,ground_truth,30.723,0.04265766563117901
ours,v_y,ground_truth,30.855,0.03954161977839221
ours,v_y,ground_truth,30.987,0.034375220453020994
ours,v_y,ground_truth,31.152,0.03276861580639112
ours,v_y,ground_truth,31.317,0.03075867188943371
ours,v_y,ground_truth,31.449,0.02983664201461078
ours,v_y,ground_truth,31.647,0.02989836543089064
ours,v_y,ground_truth,31.779,0.03337380906476528
ours,v_y,ground_truth,31.977,0.028214181480293865
ours,v_y,ground_truth,32.109,0.021770860509982448
ours,v_y,ground_truth,32.274,0.013158880172071674
ours,v_y,ground_truth,32.439,0.010854061132907988
ours,v_y,ground_truth,32.604,0.008439276097447435
