scenario,signal,t_s,error_est_minus_gt
ours,front_sum_fy,0.0,52.177200103259736
ours,front_sum_fy,0.066,51.80749467926347
ours,front_sum_fy,0.132,53.97933257178113
ours,front_sum_fy,0.165,53.09834803740685
ours,front_sum_fy,0.198,54.439211663067766
ours,front_sum_fy,0.264,61.16782001110997
ours,front_sum_fy,0.33,58.23359555240222
ours,front_sum_fy,0.363,59.65967061954032
ours,front_sum_fy,0.396,64.68248507863768
ours,front_sum_fy,0.462,67.36246164991545
ours,front_sum_fy,0.528,67.71112710137547
ours,front_sum_fy,0.561,67.28374760155646
ours,front_sum_fy,0.594,72.15869608012918
ours,front_sum_fy,0.66,70.14109086595451
ours,front_sum_fy,0.726,78.15295379955754
ours,front_sum_fy,0.792,77.24223701903742
ours,front_sum_fy,0.858,87.51546406191662
ours,front_sum_fy,0.924,86.00506501000172
ours,front_sum_fy,0.99,84.24948587085396
ours,front_sum_fy,1.056,94.56917152225446
ours,front_sum_fy,1.122,91.71749835243071
ours,front_sum_fy,1.188,95.22664002022151
ours,front_sum_fy,1.254,105.92922956006657
ours,front_sum_fy,1.287,105.9416323866003
ours,front_sum_fy,1.32,106.01112066048671
ours,front_sum_fy,1.386,104.63478668369203
ours,front_sum_fy,1.452,107.40957043587537
ours,front_sum_fy,1.485,112.41985202763419
ours,front_sum_fy,1.518,113.81255065266066
ours,front_sum_fy,1.584,110.66967298629714
ours,front_sum_fy,1.65,109.82183388441763
ours,front_sum_fy,1.683,113.63505617320601
ours,front_sum_fy,1.716,114.70909447979722
ours,front_sum_fy,1.782,111.291514692882
ours,front_sum_fy,1.848,117.60871605499773
ours,front_sum_fy,1.881,115.50986787125873
ours,front_sum_fy,1.914,118.73124463255948
ours,front_sum_fy,1.98,116.07092671260165
ours,front_sum_fy,2.046,116.71115954441461
ours,front_sum_fy,2.112,118.75237981902035
ours,front_sum_fy,2.178,115.66077230936321
ours,front_sum_fy,2.244,121.95495143148423
ours,front_sum_fy,2.31,121.78697049868947
ours,front_sum_fy,2.376,118.14546514645644
ours,front_sum_fy,2.442,123.19779812468505
ours,front_sum_fy,2.508,121.15154695602882
ours,front_sum_fy,2.574,126.88040018917081
ours,front_sum_fy,2.607,127.95490987249241
ours,front_sum_fy,2.64,128.6329124432459
ours,front_sum_fy,2.706,131.90383642761776
ours,front_sum_fy,2.772,120.7764312110047
ours,front_sum_fy,2.805,129.70083152824998
ours,front_sum_fy,2.904,129.19012549976992
ours,front_sum_fy,2.97,127.22418636616794
ours,front_sum_fy,3.003,128.0642176667685
ours,front_sum_fy,3.036,127.29440696092865
ours,front_sum_fy,3.102,127.54394424372242
ours,front_sum_fy,3.168,126.48844641749264
ours,front_sum_fy,3.201,125.65364933322883
ours,front_sum_fy,3.234,123.95264877094621
ours,front_sum_fy,3.3,123.14573249960529
ours,front_sum_fy,3.366,120.8037144490117
ours,front_sum_fy,3.432,107.59083280933106
ours,front_sum_fy,3.498,114.25576226219312
ours,front_sum_fy,3.564,114.14061276501434
ours,front_sum_fy,3.63,109.41562674860802
ours,front_sum_fy,3.696,111.45418274211596
ours,front_sum_fy,3.762,111.23228139639514
ours,front_sum_fy,3.828,110.97411032551321
ours,front_sum_fy,3.894,107.42508283910581
ours,front_sum_fy,3.96,106.69459582440476
ours,front_sum_fy,4.026,105.49093602614931
ours,front_sum_fy,4.092,106.4465276657009
ours,front_sum_fy,4.125,107.25184717646812
ours,front_sum_fy,4.158,106.53814286654989
ours,front_sum_fy,4.224,106.40521462229526
ours,front_sum_fy,4.29,108.72605363506636
ours,front_sum_fy,4.323,108.6948011120719
ours,front_sum_fy,4.356,109.73654780631091
ours,front_sum_fy,4.422,110.52743822745202
ours,front_sum_fy,4.488,110.5352998401334
ours,front_sum_fy,4.521,110.89708490842452
ours,front_sum_fy,4.554,116.70409022287623
ours,front_sum_fy,4.62,114.30943457581475
ours,front_sum_fy,4.686,114.75399495254902
ours,front_sum_fy,4.752,116.90384943110195
ours,front_sum_fy,4.818,115.92977105715465
ours,front_sum_fy,4.884,115.28918238209616
ours,front_sum_fy,4.95,120.19593348932051
ours,front_sum_fy,5.016,118.36223233554415
ours,front_sum_fy,5.082,118.00490416236107
ours,front_sum_fy,5.148,118.147786569436
ours,front_sum_fy,5.214,118.83716082867556
ours,front_sum_fy,5.247,120.6721137893096
ours,front_sum_fy,5.28,119.12506428686271
ours,front_sum_fy,5.346,116.64642465943678
ours,front_sum_fy,5.412,118.17192443964143
ours,front_sum_fy,5.478,118.60050786627596
ours,front_sum_fy,5.544,118.2464133736284
ours,front_sum_fy,5.61,121.51557753247823
ours,front_sum_fy,5.643,118.38123723204308
ours,front_sum_fy,5.676,118.67548756886288
ours,front_sum_fy,5.742,113.70043185206885
ours,front_sum_fy,5.808,114.25792335435631
ours,front_sum_fy,5.841,113.87711358098466
ours,front_sum_fy,5.874,114.41584263156398
ours,front_sum_fy,5.94,113.62884076778704
ours,front_sum_fy,6.006,113.47096417649584
ours,front_sum_fy,6.072,112.46298983958968
ours,front_sum_fy,6.138,112.88475680985295
ours,front_sum_fy,6.204,113.3460668522971
ours,front_sum_fy,6.27,111.35185647007239
ours,front_sum_fy,6.336,111.19351227679363
ours,front_sum_fy,6.402,114.2706487260615
ours,front_sum_fy,6.468,115.85171318070832
ours,front_sum_fy,6.534,116.00709493565091
ours,front_sum_fy,6.6,113.50062987442959
ours,front_sum_fy,6.732,115.76243308304106
ours,front_sum_fy,6.765,116.02861313246058
ours,front_sum_fy,6.798,118.51859213532953
ours,front_sum_fy,6.864,118.59317333877061
ours,front_sum_fy,6.93,124.14636357971085
ours,front_sum_fy,6.963,122.95122387739661
ours,front_sum_fy,6.996,123.7194567975148
ours,front_sum_fy,7.062,127.04953474581907
ours,front_sum_fy,7.128,135.48398054778954
ours,front_sum_fy,7.161,126.11864080744544
ours,front_sum_fy,7.194,129.60325763716946
ours,front_sum_fy,7.26,127.13790263252554
ours,front_sum_fy,7.326,130.3794791241844
ours,front_sum_fy,7.392,131.28548792939728
ours,front_sum_fy,7.458,129.05850809880337
ours,front_sum_fy,7.524,122.27131051332742
ours,front_sum_fy,7.59,124.36056200363612
ours,front_sum_fy,7.656,124.60858120673288
ours,front_sum_fy,7.722,121.62657923388804
ours,front_sum_fy,7.788,116.6636979532168
ours,front_sum_fy,7.854,118.29198815923303
ours,front_sum_fy,7.887,117.619160469191
ours,front_sum_fy,7.92,116.20464893935502
