scenario,e_y_m
ours,0.0
ours,0.0
ours,0.0
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.65084227798675
ours,2.650851305821511
ours,2.650905472830077
ours,2.6509260088461026
ours,2.6508255164829917
ours,2.651001929377018
ours,2.6517545682260835
ours,2.65460004827339
ours,2.6599129785004054
ours,2.6663168135860698
ours,2.6755480103983507
ours,2.688415407538497
ours,2.6950346530290052
ours,2.707432907626618
ours,2.7111182740828843
ours,2.705268355168772
ours,2.688654642022939
ours,2.65969302674322
ours,2.6280133527698415
ours,2.5703275588981036
ours,2.513593685286707
ours,2.393508810327121
ours,2.267441390808561
ours,2.0766474710580916
ours,1.8995437233783679
ours,1.648265597741974
ours,1.3727314410276286
ours,1.082380429204886
ours,0.7903901155153148
ours,0.5108186491645855
ours,0.3055671836985401
ours,0.1261178537346346
ours,-0.05565860372913273
ours,-0.18145571745888422
ours,-0.248795849439407
ours,-0.26397559138624577
ours,-0.2420698993987747
ours,-0.18942802627754374
ours,-0.1492583695708059
ours,-0.06500593563913615
ours,-0.0062397569884690696
ours,0.03156237153956598
ours,0.04413065452074422
ours,0.04009282606423897
ours,0.023523843125178745
ours,0.0024523591556644547
ours,-0.026074281574862135
ours,-0.03827565693179741
ours,-0.0377866062253977
ours,-0.026446896777582857
ours,-0.008960921235927288
ours,0.006634463721958611
ours,0.014785009897243684
ours,0.014659621531351807
ours,0.008050389924885437
ours,-0.0018435256773732533
ours,-0.01053175776301542
ours,-0.015160437565980123
ours,-0.014802773865230934
ours,-0.010627893598725957
ours,-0.0073191217962153
ours,-0.0019129854082645462
ours,-0.0002706606216301699
ours,-0.000681208645209902
ours,-0.003652717008990225
ours,-0.006287211504242718
ours,-0.00757031662625289
ours,-0.007108605577500565
ours,-0.005287147693553429
ours,-0.001986761623091471
ours,-0.0004970546641157036
ours,-0.001049456475343935
ours,-0.004010966725909337
ours,-0.007871784488190287
ours,-0.011169940241845783
ours,-0.009368416384936906
