scenario,signal,series,t_s,value
ours,front_mu,plant_mu,0.0,1.0499999523162842
ours,front_mu,plant_mu,0.033,1.0499999523162842
ours,front_mu,plant_mu,0.099,1.0499999523162842
ours,front_mu,plant_mu,0.132,1.0499999523162842
ours,front_mu,plant_mu,0.165,1.0499999523162842
ours,front_mu,plant_mu,0.231,1.0499999523162842
ours,front_mu,plant_mu,0.297,1.0499999523162842
ours,front_mu,plant_mu,0.33,1.0499999523162842
ours,front_mu,plant_mu,0.429,1.0499999523162842
ours,front_mu,plant_mu,0.495,1.0499999523162842
ours,front_mu,plant_mu,0.528,1.0499999523162842
ours,front_mu,plant_mu,0.561,1.0499999523162842
ours,front_mu,plant_mu,0.627,1.0499999523162842
ours,front_mu,plant_mu,0.693,1.0499999523162842
ours,front_mu,plant_mu,0.726,1.0499999523162842
ours,front_mu,plant_mu,0.759,1.0499999523162842
ours,front_mu,plant_mu,0.825,1.0499999523162842
ours,front_mu,plant_mu,0.891,1.0499999523162842
ours,front_mu,plant_mu,0.957,1.0499999523162842
ours,front_mu,plant_mu,1.023,1.0499999523162842
ours,front_mu,plant_mu,1.089,1.0499999523162842
ours,front_mu,plant_mu,1.155,1.0499999523162842
ours,front_mu,plant_mu,1.221,1.0499999523162842
ours,front_mu,plant_mu,1.287,1.0499999523162842
ours,front_mu,plant_mu,1.353,1.0499999523162842
ours,front_mu,plant_mu,1.419,1.0499999523162842
ours,front_mu,plant_mu,1.452,1.0499999523162842
ours,front_mu,plant_mu,1.485,1.0499999523162842
ours,front_mu,plant_mu,1.551,1.0499999523162842
ours,front_mu,plant_mu,1.617,1.0499999523162842
ours,front_mu,plant_mu,1.65,1.0499999523162842
ours,front_mu,plant_mu,1.683,1.0499999523162842
ours,front_mu,plant_mu,1.749,1.0499999523162842
ours,front_mu,plant_mu,1.815,1.0499999523162842
ours,front_mu,plant_mu,1.848,1.0499999523162842
ours,front_mu,plant_mu,1.881,1.0499999523162842
ours,front_mu,plant_mu,1.947,1.0499999523162842
ours,front_mu,plant_mu,2.013,1.0499999523162842
ours,front_mu,plant_mu,2.046,1.0499999523162842
ours,front_mu,plant_mu,2.079,1.0499999523162842
ours,front_mu,plant_mu,2.145,1.0499999523162842
ours,front_mu,plant_mu,2.211,1.0499999523162842
ours,front_mu,plant_mu,2.277,1.0499999523162842
ours,front_mu,plant_mu,2.343,1.0499999523162842
ours,front_mu,plant_mu,2.409,1.0499999523162842
ours,front_mu,plant_mu,2.475,1.0499999523162842
ours,front_mu,plant_mu,2.541,1.0499999523162842
ours,front_mu,plant_mu,2.607,1.0499999523162842
ours,front_mu,plant_mu,2.673,1.0499999523162842
ours,front_mu,plant_mu,2.739,1.0499999523162842
ours,front_mu,plant_mu,2.772,1.0499999523162842
ours,front_mu,plant_mu,2.805,1.0499999523162842
ours,front_mu,plant_mu,2.871,1.0499999523162842
ours,front_mu,plant_mu,2.937,1.0499999523162842
