scenario,signal,error_gt_minus_est
ours,omega,0.12172160082150968
ours,omega,0.05197141437877184
ours,omega,0.12496854137835917
ours,omega,0.052031503436090865
ours,omega,0.11934990022802777
ours,omega,0.06468115704999172
ours,omega,0.11038527896703504
ours,omega,0.06433286311695008
ours,omega,0.11413020963136272
ours,omega,0.06890999603499587
ours,omega,0.12273517548846441
ours,omega,0.07448346556669683
ours,omega,0.12955760300264985
ours,omega,0.15511252564812172
ours,omega,0.13096701922227
ours,omega,0.12699434237263119
ours,omega,0.15853654835205266
ours,omega,0.09432860085252287
ours,omega,0.0939566603793775
ours,omega,0.14201960299198274
ours,omega,0.089452531570903
ours,omega,0.08041925639467801
ours,omega,0.13964880302506288
ours,omega,0.12453791645758394
ours,omega,0.12164531994323352
ours,omega,0.12611846826214257
ours,omega,0.07396568915899865
ours,omega,0.12418929389302402
ours,omega,0.17583929949877442
ours,omega,0.096447365642498
ours,omega,0.11847768208548981
ours,omega,0.10998123053906339
ours,omega,0.10786471169787415
ours,omega,0.12182723529521378
ours,omega,0.12485012614873858
ours,omega,0.10752959172966653
ours,omega,0.11962984766856827
ours,omega,0.1847547978602037
ours,omega,0.11293957452631243
ours,omega,0.05779971003967699
ours,omega,0.10363628782756162
ours,omega,0.11753604622092301
ours,omega,0.09274002908435885
ours,omega,0.10812667992640618
ours,omega,0.09964029521083667
ours,omega,0.06285456682624269
ours,omega,0.10309398414491211
ours,omega,0.053308300149759624
ours,omega,0.07869233052781982
ours,omega,0.04093037744260625
ours,omega,0.03173440873169869
ours,omega,0.03821237291663915
ours,omega,0.022441960267418293
ours,omega,0.036804754966803216
ours,omega,0.062207940631334224
ours,omega,0.037581241749510996
ours,omega,0.11251812258191674
ours,omega,0.03869449050163609
ours,omega,0.03867296582137281
ours,omega,0.039491455342937826
ours,omega,0.03416375592345758
ours,omega,0.06823717905576054
ours,omega,0.03143198408476863
ours,omega,0.05222264267481577
ours,omega,0.023126326978486766
ours,omega,0.0123787911612257
ours,omega,0.020541938375491425
ours,omega,0.008359529474793542
ours,omega,0.01487529129913856
ours,omega,0.008196683690594148
ours,omega,-0.01848036440375897
ours,omega,0.0045003891593666245
ours,omega,-0.0182818721551615
ours,omega,-0.0039893594593581605
ours,omega,-0.006580517718342546
ours,omega,-0.0026792397916948346
ours,omega,-0.016326817577541883
ours,omega,-0.0034109715544745622
ours,omega,-0.013736949209283963
ours,omega,-0.002337888637148025
ours,omega,-0.009007345645881959
ours,omega,8.476700847986907e-05
ours,omega,-0.01626398763523844
ours,omega,-0.004816320672179103
ours,omega,-0.00364802986286758
ours,omega,-0.0027438522223924844
ours,omega,-0.0317830297741496
ours,omega,-0.009469362239563343
ours,omega,-0.006838765445574477
ours,omega,-0.009955143865920824
ours,omega,-0.007993795492760119
ours,omega,-0.04230947280934867
ours,omega,-0.008913309599149584
ours,omega,-0.018927365713578885
ours,omega,-0.015055282714688728
ours,omega,-0.011443132582358101
ours,omega,-0.005871238394434865
ours,omega,-0.005961450503963828
ours,omega,-0.0052084384759876114
ours,omega,-0.00623496114301354
ours,omega,-0.008443040957446746
ours,omega,-0.005385143704948095
ours,omega,-0.0023278697933998976
ours,omega,-0.0023614025384459704
ours,omega,-0.0023270274409953606
ours,omega,-0.0003541092469172523
