scenario,signal,error_gt_minus_est
ours,v_y,-0.024775663203600917
ours,v_y,-0.014554816031944418
ours,v_y,-0.02084045543030194
ours,v_y,-0.013868848818076818
ours,v_y,-0.027895491308681297
ours,v_y,-0.011362919266897059
ours,v_y,-0.027393628754877275
ours,v_y,-0.011506111642158035
ours,v_y,-0.025844855645771103
ours,v_y,-0.010126208276186432
ours,v_y,-0.02346641414296302
ours,v_y,-0.008842588699193077
ours,v_y,-0.023156729100078044
ours,v_y,-0.018255905550232376
ours,v_y,-0.03156656685446074
ours,v_y,-0.021335188926758564
ours,v_y,-0.016123299541116742
ours,v_y,-0.03392002789189541
ours,v_y,-0.03893322728333648
ours,v_y,-0.01584885772070732
ours,v_y,-0.032813376088187574
ours,v_y,-0.03233537534908715
ours,v_y,-0.019385378071773762
ours,v_y,-0.027883210223736077
ours,v_y,-0.023784680423129145
ours,v_y,-0.023742976212241862
ours,v_y,-0.007954145526464729
ours,v_y,-0.024604536612484407
ours,v_y,-0.04230038780169754
ours,v_y,-0.02698835609072653
ours,v_y,-0.026671689193192516
ours,v_y,-0.01963515515948372
ours,v_y,-0.020554716066221446
ours,v_y,-0.02385556751460552
ours,v_y,-0.023511963254284174
ours,v_y,-0.030070603105170735
ours,v_y,-0.0246683074894134
ours,v_y,-0.036409396958781814
ours,v_y,-0.02609679832891676
ours,v_y,-0.01551983534914736
ours,v_y,-0.02658857592816133
ours,v_y,-0.026099081803699686
ours,v_y,-0.030501121377908336
ours,v_y,-0.027402586838121468
ours,v_y,-0.027694799216945787
ours,v_y,-0.020017224279156753
ours,v_y,-0.027162805672029666
ours,v_y,-0.017971556862466764
ours,v_y,-0.03788658610319462
ours,v_y,-0.01648375498875121
ours,v_y,-0.020073949511248634
ours,v_y,-0.01751739739647712
ours,v_y,-0.01864592254472086
ours,v_y,-0.01740560224402815
ours,v_y,-0.03564639750905979
ours,v_y,-0.017888562064394126
ours,v_y,-0.046464540158840884
ours,v_y,-0.01687853821983154
ours,v_y,-0.015536871962743115
ours,v_y,-0.015872865757471766
ours,v_y,-0.016551239724404365
ours,v_y,-0.03426331793880083
ours,v_y,-0.01772894553566262
ours,v_y,-0.03583937347114968
ours,v_y,-0.020699381536272737
ours,v_y,-0.02408234863307257
ours,v_y,-0.017715024171290228
ours,v_y,-0.016888788068616212
ours,v_y,-0.015201289578088029
ours,v_y,-0.02014463874654654
ours,v_y,-0.04328492060887662
ours,v_y,-0.017485017041508538
ours,v_y,-0.04752299136373439
ours,v_y,-0.03862128823199598
ours,v_y,-0.01743822317534699
ours,v_y,-0.01567010874647551
ours,v_y,-0.0432532599419391
ours,v_y,-0.015019593790873309
ours,v_y,-0.02911690797563013
ours,v_y,-0.012641144302004192
ours,v_y,-0.0480730376934356
ours,v_y,-0.010238194556343422
ours,v_y,-0.02298115381634086
ours,v_y,-0.010808763493056206
ours,v_y,-0.009446784618023951
ours,v_y,-0.0088840382861948
ours,v_y,-0.0326108763803338
ours,v_y,-0.00959496274041649
ours,v_y,-0.008582453393741057
ours,v_y,-0.008326265237379754
ours,v_y,-0.0071780024137108045
ours,v_y,-0.033553787809334906
ours,v_y,-0.004797844003567614
ours,v_y,-0.006580318247743286
ours,v_y,-0.006520292194116935
ours,v_y,-0.00310868200094961
ours,v_y,-0.000389319860486622
ours,v_y,0.00010671612695474855
ours,v_y,0.0016791811521388207
ours,v_y,-0.0006501544210110524
ours,v_y,0.005551524665120475
ours,v_y,-0.0005623315911926705
ours,v_y,0.000409025481680661
ours,v_y,0.0008115959400884776
ours,v_y,-0.00010177382036216653
ours,v_y,0.00010173650880439256
ours,v_y,-0.0006095337578402721
ours,v_y,-0.0070735187140376354
ours,v_y,-0.0033469666592707836
ours,v_y,-0.003432857510907744
ours,v_y,-0.008456194215673729
ours,v_y,-0.003523884773298014
ours,v_y,-0.007647033302166151
ours,v_y,-0.004094505186936825
ours,v_y,-0.007852895593859738
ours,v_y,-0.004062999112529608
ours,v_y,-0.012621621017353368
ours,v_y,-0.005225762245194027
ours,v_y,-0.009478107145146464
ours,v_y,-0.004773915727611655
ours,v_y,-0.014035306693316346
ours,v_y,-0.005361767568966586
ours,v_y,-0.013746767128079262
ours,v_y,-0.0053807930015176975
ours,v_y,-0.009884867112408185
ours,v_y,-0.0046835736036894005
ours,v_y,-0.004507614555152001
ours,v_y,-0.0043895034085564
ours,v_y,-0.008510494785029465
ours,v_y,-0.014201361804262957
ours,v_y,-0.005706705435672171
ours,v_y,-0.01281092542166734
ours,v_y,-0.0058647720555305705
ours,v_y,-0.012934662420676812
ours,v_y,-0.00628847992244802
ours,v_y,-0.011689826191245978
ours,v_y,-0.013976101220633752
ours,v_y,-0.029161566779785986
ours,v_y,-0.01575108133665748
ours,v_y,-0.027896524161019176
ours,v_y,-0.027819499648202906
ours,v_y,-0.03808348325918187
ours,v_y,-0.017859170785574863
ours,v_y,-0.025473324877863635
ours,v_y,-0.009449922717862325
ours,v_y,-0.01929380118930818
ours,v_y,-0.007521341135437565
ours,v_y,-0.011504530038583094
ours,v_y,-0.006101596328836806
ours,v_y,-0.009495125636436341
ours,v_y,-0.010040146207223766
ours,v_y,-0.005089976564402465
ours,v_y,-0.010075508837676883
ours,v_y,-0.011500634494272854
ours,v_y,-0.012217276064165394
ours,v_y,-0.022563968252548694
ours,v_y,-0.017078468717070472
ours,v_y,-0.01123858818468082
ours,v_y,-0.004770431974012224
ours,v_y,-0.01293111273300629
ours,v_y,-0.03768093754109181
ours,v_y,-0.012429483916108097
ours,v_y,-0.009188548077208036
ours,v_y,-0.013217046403957156
ours,v_y,-0.007852645949146808
ours,v_y,-0.01224096788047313
ours,v_y,-0.00656623522809241
ours,v_y,-0.011270897843330407
ours,v_y,-0.0216202912618908
ours,v_y,-0.018403402258473867
ours,v_y,-0.00858584718353611
ours,v_y,-0.009638193617429236
ours,v_y,-0.008916671104115592
ours,v_y,-0.0097358993421095
ours,v_y,-0.011724287520400334
ours,v_y,-0.010107330660854452
ours,v_y,-0.007624174638511061
ours,v_y,-0.0168059600552819
ours,v_y,-0.015645750385355872
ours,v_y,-0.028720473100684596
ours,v_y,-0.014496214305528832
ours,v_y,-0.013876926379027155
ours,v_y,-0.03349593750080582
ours,v_y,-0.014575782363914547
ours,v_y,-0.025465068840833105
ours,v_y,-0.012042695574364326
ours,v_y,-0.022711005817424912
ours,v_y,-0.01776107579384567
ours,v_y,-0.011087212541526392
ours,v_y,-0.008932534086549204
ours,v_y,-0.03184975245764926
ours,v_y,-0.012300283149912106
ours,v_y,-0.027134314014770677
ours,v_y,-0.012012989197323909
ours,v_y,-0.009783267556302655
ours,v_y,-0.010996777561775861
ours,v_y,-0.010134805954188142
ours,v_y,-0.02957850096397363
ours,v_y,-0.007351212473621471
ours,v_y,-0.006429760378811766
ours,v_y,-0.01162567972927947
ours,v_y,0.0009062358901850143
ours,v_y,-0.008333369499969101
ours,v_y,-0.007299959717529114
ours,v_y,-0.0320119689237649
ours,v_y,-0.016301476370713053
ours,v_y,-0.01728147522493373
ours,v_y,-0.014009867792269592
ours,v_y,-0.014652988560358793
ours,v_y,-0.015051320297081394
ours,v_y,-0.009674707161811402
ours,v_y,-0.007785048531019134
ours,v_y,-0.011572580434950186
ours,v_y,-0.004013701810284376
ours,v_y,-0.005144480963765408
ours,v_y,-0.0017643180532122271
ours,v_y,-0.0021675098304016482
ours,v_y,-0.001997185754209929
ours,v_y,-0.0026445348447464434
ours,v_y,-0.003795816216053488
