scenario,signal,series,t_s,value
ours,v_y,ground_truth,0.0,0.23296382405714322
ours,v_y,ground_truth,0.099,0.2357465533085037
ours,v_y,ground_truth,0.198,0.24407846742698247
ours,v_y,ground_truth,0.297,0.2470530902197905
ours,v_y,ground_truth,0.396,0.23953186690986294
ours,v_y,ground_truth,0.495,0.2384358485405742
ours,v_y,ground_truth,0.594,0.24413647304338726
ours,v_y,ground_truth,0.66,0.24646300933213627
ours,v_y,ground_truth,0.792,0.2445896154747187
ours,v_y,ground_truth,0.858,0.24340882041833822
ours,v_y,ground_truth,0.99,0.23813896791757827
ours,v_y,ground_truth,1.056,0.2385128848153859
ours,v_y,ground_truth,1.188,0.23569006569193895
ours,v_y,ground_truth,1.32,0.2346865068032351
ours,v_y,ground_truth,1.452,0.23934554376105144
ours,v_y,ground_truth,1.584,0.24640026615077681
ours,v_y,ground_truth,1.716,0.25824512995623283
ours,v_y,ground_truth,1.848,0.2809980531761911
ours,v_y,ground_truth,1.98,0.2876344077548073
ours,v_y,ground_truth,2.112,0.29184562116256507
ours,v_y,ground_truth,2.244,0.305980821995654
ours,v_y,ground_truth,2.376,0.32074776699437246
ours,v_y,ground_truth,2.508,0.335191943321983
ours,v_y,ground_truth,2.706,0.35916623479316145
ours,v_y,ground_truth,2.838,0.38380802509391687
ours,v_y,ground_truth,2.97,0.3849614354590001
ours,v_y,ground_truth,3.069,0.38044651362963355
ours,v_y,ground_truth,3.234,0.3861365029926609
ours,v_y,ground_truth,3.366,0.37600534682220177
ours,v_y,ground_truth,3.498,0.3631277788418843
ours,v_y,ground_truth,3.63,0.32962790458694435
ours,v_y,ground_truth,3.762,0.287268169135122
ours,v_y,ground_truth,3.96,0.24807160229041791
ours,v_y,ground_truth,4.158,0.21543027835884132
ours,v_y,ground_truth,4.356,0.21280384329328061
ours,v_y,ground_truth,4.488,0.21999241078067922
ours,v_y,ground_truth,4.62,0.23214550281388213
ours,v_y,ground_truth,4.785,0.2526963678676255
ours,v_y,ground_truth,4.884,0.2677936397201588
ours,v_y,ground_truth,5.016,0.27952214740690007
ours,v_y,ground_truth,5.148,0.29982225903818005
ours,v_y,ground_truth,5.28,0.3195801998952339
ours,v_y,ground_truth,5.412,0.3491902414667605
ours,v_y,ground_truth,5.61,0.39006442660011764
ours,v_y,ground_truth,5.808,0.4312030460792382
ours,v_y,ground_truth,5.907,0.4351435371605641
ours,v_y,ground_truth,6.006,0.43310836899293026
ours,v_y,ground_truth,6.105,0.4304768088013393
ours,v_y,ground_truth,6.204,0.4269849578868179
ours,v_y,ground_truth,6.303,0.4155727907330018
ours,v_y,ground_truth,6.369,0.39768575025658137
ours,v_y,ground_truth,6.501,0.35320197142422316
ours,v_y,ground_truth,6.567,0.3290071236592773
ours,v_y,ground_truth,6.699,0.2790687699175276
ours,v_y,ground_truth,6.798,0.24603183781140636
ours,v_y,ground_truth,6.897,0.2211164558965919
ours,v_y,ground_truth,7.029,0.20585925191157983
ours,v_y,ground_truth,7.095,0.2014552195640329
ours,v_y,ground_truth,7.227,0.20136087103256717
ours,v_y,ground_truth,7.293,0.20470230999906214
ours,v_y,ground_truth,7.425,0.2139143219615267
ours,v_y,ground_truth,7.524,0.21977130671281664
ours,v_y,ground_truth,7.623,0.20755408109639006
ours,v_y,ground_truth,7.722,0.222823707427505
ours,v_y,ground_truth,7.821,0.22904802066693186
ours,v_y,ground_truth,7.92,0.2308223449950635
ours,v_y,ground_truth,8.019,0.23394138114404583
ours,v_y,ground_truth,8.118,0.23977009313010633
ours,v_y,ground_truth,8.217,0.237308734961994
ours,v_y,ground_truth,8.316,0.22664876403242928
ours,v_y,ground_truth,8.448,0.21330127814216127
ours,v_y,ground_truth,8.547,0.2101639803112576
ours,v_y,ground_truth,8.646,0.19411624635333347
ours,v_y,ground_truth,8.745,0.1941456206107528
ours,v_y,ground_truth,8.844,0.1881804526663835
ours,v_y,ground_truth,8.91,0.18700282031258375
ours,v_y,ground_truth,9.009,0.17241265754749158
ours,v_y,ground_truth,9.075,0.17401603288539214
ours,v_y,ground_truth,9.174,0.17330532410555577
ours,v_y,ground_truth,9.273,0.16751192696750294
ours,v_y,ground_truth,9.372,0.14665049056800328
