scenario,signal,t_s,error_est_minus_gt
ours,front_sum_fy,0.0,37.29813925175955
ours,front_sum_fy,0.033,32.40392427132133
ours,front_sum_fy,0.099,36.97581650330875
ours,front_sum_fy,0.132,36.41103722669618
ours,front_sum_fy,0.165,38.84642160108086
ours,front_sum_fy,0.231,41.10882915417233
ours,front_sum_fy,0.297,35.500408604357176
ours,front_sum_fy,0.33,36.51313502344442
ours,front_sum_fy,0.429,34.29663707466307
ours,front_sum_fy,0.495,35.903344621448866
ours,front_sum_fy,0.528,36.870712357437014
ours,front_sum_fy,0.561,37.61068897877158
ours,front_sum_fy,0.627,37.358742827416904
ours,front_sum_fy,0.693,36.819010578243706
ours,front_sum_fy,0.726,37.158840850478896
ours,front_sum_fy,0.759,34.42536954611387
ours,front_sum_fy,0.825,37.409923153587954
ours,front_sum_fy,0.891,36.29204443198785
ours,front_sum_fy,0.957,42.71843356849649
ours,front_sum_fy,1.023,35.66987510545863
ours,front_sum_fy,1.089,36.635072753563065
ours,front_sum_fy,1.155,37.56563360818336
ours,front_sum_fy,1.221,35.19901944515698
ours,front_sum_fy,1.287,37.11855200138848
ours,front_sum_fy,1.353,32.4306945664938
ours,front_sum_fy,1.419,35.799654512903544
ours,front_sum_fy,1.452,19.68268022606094
ours,front_sum_fy,1.485,29.18620132251408
ours,front_sum_fy,1.551,29.82746096763674
ours,front_sum_fy,1.617,35.3655042245224
ours,front_sum_fy,1.65,34.70430494683524
ours,front_sum_fy,1.683,31.81866196749536
ours,front_sum_fy,1.749,29.705170995267736
ours,front_sum_fy,1.815,27.970367302087652
ours,front_sum_fy,1.848,31.984111179714773
ours,front_sum_fy,1.881,30.227391740910207
ours,front_sum_fy,1.947,31.410940388569998
ours,front_sum_fy,2.013,26.83764130686859
ours,front_sum_fy,2.046,23.473790571133122
ours,front_sum_fy,2.079,28.20732373072235
ours,front_sum_fy,2.145,25.630344356150545
ours,front_sum_fy,2.211,29.693094733482894
ours,front_sum_fy,2.277,26.005590317409315
ours,front_sum_fy,2.343,22.063528048301578
ours,front_sum_fy,2.409,25.884551405252978
ours,front_sum_fy,2.475,24.619915890310153
ours,front_sum_fy,2.541,15.667801823004538
ours,front_sum_fy,2.607,18.75996588389944
ours,front_sum_fy,2.673,20.285411169226563
ours,front_sum_fy,2.739,25.170170095566505
ours,front_sum_fy,2.772,25.603581009926984
ours,front_sum_fy,2.805,27.262043245686527
ours,front_sum_fy,2.871,13.737946658776082
ours,front_sum_fy,2.937,24.480851288691724
ours,front_sum_fy,2.97,23.4957149758701
ours,front_sum_fy,3.003,10.898361146437765
ours,front_sum_fy,3.069,24.74255679046746
ours,front_sum_fy,3.135,25.912844587796258
ours,front_sum_fy,3.168,21.861204748625823
ours,front_sum_fy,3.201,26.02635704768295
ours,front_sum_fy,3.267,20.333495940656007
ours,front_sum_fy,3.333,24.18375123914143
ours,front_sum_fy,3.366,31.208634157049346
ours,front_sum_fy,3.399,23.028322280422117
ours,front_sum_fy,3.465,24.682218003434173
ours,front_sum_fy,3.531,25.967727939608267
ours,front_sum_fy,3.597,25.653352974848985
ours,front_sum_fy,3.663,15.576470701534845
ours,front_sum_fy,3.729,28.232607876896054
ours,front_sum_fy,3.795,31.06124610267426
ours,front_sum_fy,3.861,36.87135080844615
ours,front_sum_fy,3.927,34.86326871943828
ours,front_sum_fy,3.993,37.33972245472444
ours,front_sum_fy,4.059,40.094585308100136
ours,front_sum_fy,4.092,37.76729655005363
ours,front_sum_fy,4.125,39.03991051664559
ours,front_sum_fy,4.191,36.140222607359874
ours,front_sum_fy,4.257,39.81450925620982
ours,front_sum_fy,4.29,39.55654824823267
