scenario,signal,series,t_s,value
ours,front_sum_fy,ground_truth,0.0,-511.5380401611328
ours,front_sum_fy,ground_truth,0.033,-508.1581573486328
ours,front_sum_fy,ground_truth,0.099,-520.1386871337891
ours,front_sum_fy,ground_truth,0.132,-521.4071044921875
ours,front_sum_fy,ground_truth,0.165,-515.667724609375
ours,front_sum_fy,ground_truth,0.231,-508.097900390625
ours,front_sum_fy,ground_truth,0.297,-530.4964294433594
ours,front_sum_fy,ground_truth,0.33,-531.9925842285156
ours,front_sum_fy,ground_truth,0.429,-530.1257019042969
ours,front_sum_fy,ground_truth,0.495,-533.9738159179688
ours,front_sum_fy,ground_truth,0.528,-531.7673950195312
ours,front_sum_fy,ground_truth,0.561,-530.7384643554688
ours,front_sum_fy,ground_truth,0.627,-522.8504943847656
ours,front_sum_fy,ground_truth,0.693,-528.6145324707031
ours,front_sum_fy,ground_truth,0.726,-528.9247131347656
ours,front_sum_fy,ground_truth,0.759,-539.7608337402344
ours,front_sum_fy,ground_truth,0.825,-529.1054077148438
ours,front_sum_fy,ground_truth,0.891,-529.9607543945312
ours,front_sum_fy,ground_truth,0.957,-539.2086486816406
ours,front_sum_fy,ground_truth,1.023,-530.5363464355469
ours,front_sum_fy,ground_truth,1.089,-533.6754455566406
ours,front_sum_fy,ground_truth,1.155,-546.4351501464844
ours,front_sum_fy,ground_truth,1.221,-540.73095703125
ours,front_sum_fy,ground_truth,1.287,-544.5235595703125
ours,front_sum_fy,ground_truth,1.353,-560.5115661621094
ours,front_sum_fy,ground_truth,1.419,-539.2137756347656
ours,front_sum_fy,ground_truth,1.452,-603.6573791503906
ours,front_sum_fy,ground_truth,1.485,-564.5106201171875
ours,front_sum_fy,ground_truth,1.551,-573.4338073730469
ours,front_sum_fy,ground_truth,1.617,-544.6532592773438
ours,front_sum_fy,ground_truth,1.65,-550.9661254882812
ours,front_sum_fy,ground_truth,1.683,-558.6199645996094
ours,front_sum_fy,ground_truth,1.749,-585.4910583496094
ours,front_sum_fy,ground_truth,1.815,-586.2452087402344
ours,front_sum_fy,ground_truth,1.848,-550.9308776855469
ours,front_sum_fy,ground_truth,1.881,-559.2633056640625
