t_s,other_actor_id,impulse_x,impulse_y,impulse_z,impulse_magnitude,impulse_horizontal,over_threshold
1789761915.143,0,-0.5153,-3.2015,237.0193,237.0415,3.2427,0
1789761915.209,0,-0.0182,-0.1141,8.6177,8.6184,0.1155,0
1789761915.242,0,-0.0025,-0.0157,1.1883,1.1884,0.0159,0
1789761915.275,0,-0.0084,-0.0526,3.9718,3.9722,0.0532,0
1789761915.308,0,-0.0102,-0.0635,4.7955,4.7960,0.0643,0
1789761915.341,0,-0.0056,-0.0351,2.6491,2.6493,0.0355,0
1789761915.374,0,-0.0133,-0.0830,6.2674,6.2679,0.0840,0
1789761915.407,0,-0.0156,-0.0976,7.3738,7.3744,0.0988,0
1789761915.440,0,-0.0158,-0.0990,7.4772,7.4779,0.1002,0
1789761915.473,0,-0.0173,-0.1079,8.1546,8.1554,0.1093,0
1789761915.506,0,-0.0156,-0.0974,7.3580,7.3587,0.0986,0
1789761915.539,0,-0.0152,-0.0951,7.1889,7.1895,0.0964,0
1789761915.572,0,-0.0165,-0.1034,7.8145,7.8152,0.1047,0
1789761915.605,0,-0.0157,-0.0980,7.4014,7.4021,0.0992,0
1789761915.638,0,-0.0141,-0.0880,6.6502,6.6508,0.0891,0
1789761915.671,0,-0.0145,-0.0906,6.8437,6.8444,0.0917,0
1789761915.704,0,-0.0149,-0.0929,7.0161,7.0167,0.0940,0
1789761915.737,0,-0.0084,-0.0525,3.9677,3.9681,0.0532,0
1789761915.836,0,-0.7231,-4.4920,332.5652,332.5963,4.5499,0
1789762374.503,0,-0.7683,-415.9159,-416.2025,588.3971,415.9166,1
1789762374.569,0,-0.0154,-8.3162,-8.3219,11.7650,8.3162,0
1789762374.602,0,-0.0158,-8.5490,-8.5549,12.0943,8.5490,0
1789762374.701,0,-0.0000,-0.0048,-0.0048,0.0068,0.0048,0
