t_run_s,state,e_y_m,heading_error_rad,v_x_mps,steering_cmd_rad,speed_cmd_mps,mpc_solve_time_ms,pos_x_m,pos_y_m,lap_idx
0.0000,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0091,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0289,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0491,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0690,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0889,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.1091,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.1290,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.1516,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.1691,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.1892,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.2108,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.2290,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.2491,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.2886,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.2895,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.3089,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.3290,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.3493,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.3691,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.3891,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.4090,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.4291,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.4491,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.4689,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.4890,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.5090,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.5291,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.5490,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.5690,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.5899,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.6090,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.6290,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.6508,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.6691,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.6889,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.7091,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.7292,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.7492,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.7691,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.7890,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.8095,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.8291,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.8491,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.8690,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.8892,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.9090,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
0.9290,BOOTSTRAP_PP,2.68091,0.06113,0.0000,0.00000,0.0000,,-384.37109,-234.74744,0
