x_m,y_m,state
-317.8558044433594,-147.60386657714844,RUNNING_MPC
-317.31634521484375,-146.863525390625,RUNNING_MPC
-315.6968688964844,-144.64303588867188,RUNNING_MPC
-314.6180114746094,-143.16220092773438,RUNNING_MPC
-313.5412292480469,-141.67982482910156,RUNNING_MPC
-312.4670715332031,-140.1953125,RUNNING_MPC
-311.3961181640625,-138.70863342285156,RUNNING_MPC
-310.3282470703125,-137.22000122070312,RUNNING_MPC
-309.2633972167969,-135.73016357421875,RUNNING_MPC
-308.201171875,-134.23956298828125,RUNNING_MPC
-307.14105224609375,-132.74888610839844,RUNNING_MPC
-306.08270263671875,-131.25875854492188,RUNNING_MPC
-305.5540466308594,-130.51409912109375,RUNNING_MPC
-304.4975280761719,-129.02621459960938,RUNNING_MPC
-303.4419250488281,-127.54074096679688,RUNNING_MPC
-302.3873291015625,-126.05863189697266,RUNNING_MPC
-301.33367919921875,-124.58079528808594,RUNNING_MPC
-300.28131103515625,-123.10834503173828,RUNNING_MPC
-298.7060241699219,-120.91127014160156,RUNNING_MPC
-297.6587829589844,-119.45523071289062,RUNNING_MPC
-296.6144104003906,-118.00675201416016,RUNNING_MPC
-295.0550537109375,-115.84940338134766,RUNNING_MPC
-294.0214538574219,-114.42212677001953,RUNNING_MPC
-292.9932861328125,-113.00373840332031,RUNNING_MPC
-291.9713134765625,-111.5943832397461,RUNNING_MPC
-290.9561767578125,-110.19412231445312,RUNNING_MPC
-289.948486328125,-108.8028793334961,RUNNING_MPC
-288.4520568847656,-106.7325668334961,RUNNING_MPC
-287.4648132324219,-105.36325073242188,RUNNING_MPC
-286.486083984375,-104.00238800048828,RUNNING_MPC
-285.0340270996094,-101.97692108154297,RUNNING_MPC
-284.0762939453125,-100.6368637084961,RUNNING_MPC
-283.1262512207031,-99.30476379394531,RUNNING_MPC
-282.1835632324219,-97.98081970214844,RUNNING_MPC
-280.7825927734375,-96.01050567626953,RUNNING_MPC
-279.8564147949219,-94.70726013183594,RUNNING_MPC
-278.935791015625,-93.41246032714844,RUNNING_MPC
-278.02032470703125,-92.12608337402344,RUNNING_MPC
-277.10943603515625,-90.84835815429688,RUNNING_MPC
-276.2028503417969,-89.57959747314453,RUNNING_MPC
-274.8506164550781,-87.69339752197266,RUNNING_MPC
-273.95391845703125,-86.44729614257812,RUNNING_MPC
-273.0610046386719,-85.21013641357422,RUNNING_MPC
