section,key,metric,value
tracking,Overall,n,27733
tracking,Overall,rms_e_y_m,0.3186107020235694
tracking,Overall,max_abs_e_y_m,2.6280944317455415
tracking,Overall,itae_e_y,25501.910589003517
tracking,Overall,rms_heading_rad,0.02150455180243051
tracking,Overall,max_abs_heading_rad,0.31010211326279474
tracking,RUNNING_PP,n,3006
tracking,RUNNING_PP,rms_e_y_m,0.4434641413970792
tracking,RUNNING_PP,max_abs_e_y_m,2.6280944317455415
tracking,RUNNING_PP,itae_e_y,106.88424270938121
tracking,RUNNING_PP,rms_heading_rad,0.03615600965403329
tracking,RUNNING_PP,max_abs_heading_rad,0.31010211326279474
tracking,RUNNING_MPC,n,24532
tracking,RUNNING_MPC,rms_e_y_m,0.22388836105399942
tracking,RUNNING_MPC,max_abs_e_y_m,0.7760863104372162
tracking,RUNNING_MPC,itae_e_y,25384.244268506485
tracking,RUNNING_MPC,rms_heading_rad,0.01902409719955381
tracking,RUNNING_MPC,max_abs_heading_rad,0.07170328390777836
dwell,BOOTSTRAP_PP,n_intervals,1
dwell,BOOTSTRAP_PP,mean_dwell_s,2.8449671268463135
dwell,BOOTSTRAP_PP,max_dwell_s,2.8449671268463135
dwell,RUNNING_PP,n_intervals,1
dwell,RUNNING_PP,mean_dwell_s,60.11922812461853
dwell,RUNNING_PP,max_dwell_s,60.11922812461853
dwell,SWITCHING_TO_MPC,n_intervals,1
dwell,SWITCHING_TO_MPC,mean_dwell_s,1.0200674533843994
dwell,SWITCHING_TO_MPC,max_dwell_s,1.0200674533843994
dwell,RUNNING_MPC,n_intervals,1
dwell,RUNNING_MPC,mean_dwell_s,490.61746048927307
dwell,RUNNING_MPC,max_dwell_s,490.61746048927307
summary,,transitions,"{('BOOTSTRAP_PP', 'RUNNING_PP'): 1, ('RUNNING_PP', 'SWITCHING_TO_MPC'): 1, ('SWITCHING_TO_MPC', 'RUNNING_MPC'): 1}"
summary,,emergency_halts,0
summary,,emergency_halt_total_s,0.0
summary,,laps,3
summary,,best_lap_s,135.8192434310913
summary,,mean_lap_s,145.38595493634543
summary,,mpc_solve_time_rms_ms,0.3798744277351181
summary,,mpc_solve_time_max_ms,2.567818
