t_run_s,state,e_y_m,heading_error_rad,v_x_mps,steering_cmd_rad,speed_cmd_mps,mpc_solve_time_ms,pos_x_m,pos_y_m,lap_idx
0.0000,BOOTSTRAP_PP,0.00000,0.00000,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0217,BOOTSTRAP_PP,0.00000,0.00000,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0400,BOOTSTRAP_PP,0.00000,0.00000,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.0589,BOOTSTRAP_PP,0.00000,0.00000,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.0801,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.1160,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.1190,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.1387,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.1590,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.1790,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.1992,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.2190,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.2391,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.2592,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.2789,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.2990,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.3188,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.3388,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.3589,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.3792,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.3993,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.4188,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
0.4396,BOOTSTRAP_PP,2.63050,0.00273,0.0000,0.00000,0.0000,,-384.32401,-234.76848,0
