section,key,metric,value
tracking,Overall,n,65401
tracking,Overall,rms_e_y_m,51.27020251910532
tracking,Overall,max_abs_e_y_m,53.74643122120669
tracking,Overall,itae_e_y,45374330.53294857
tracking,Overall,rms_heading_rad,1.4413965868701295
tracking,Overall,max_abs_heading_rad,3.1318340846390424
tracking,RUNNING_PP,n,2622
tracking,RUNNING_PP,rms_e_y_m,0.4937741615112936
tracking,RUNNING_PP,max_abs_e_y_m,2.628100979233799
tracking,RUNNING_PP,itae_e_y,105.9759467604477
tracking,RUNNING_PP,rms_heading_rad,0.03909789091323914
tracking,RUNNING_PP,max_abs_heading_rad,0.308915874734246
tracking,RUNNING_MPC,n,62551
tracking,RUNNING_MPC,rms_e_y_m,52.424916501129985
tracking,RUNNING_MPC,max_abs_e_y_m,53.74643122120669
tracking,RUNNING_MPC,itae_e_y,45374208.11215828
tracking,RUNNING_MPC,rms_heading_rad,1.4738460323502571
tracking,RUNNING_MPC,max_abs_heading_rad,3.1318340846390424
dwell,BOOTSTRAP_PP,n_intervals,1
dwell,BOOTSTRAP_PP,mean_dwell_s,3.5176327228546143
dwell,BOOTSTRAP_PP,max_dwell_s,3.5176327228546143
dwell,RUNNING_PP,n_intervals,1
dwell,RUNNING_PP,mean_dwell_s,52.43982267379761
dwell,RUNNING_PP,max_dwell_s,52.43982267379761
dwell,SWITCHING_TO_MPC,n_intervals,1
dwell,SWITCHING_TO_MPC,mean_dwell_s,1.0195863246917725
dwell,SWITCHING_TO_MPC,max_dwell_s,1.0195863246917725
dwell,RUNNING_MPC,n_intervals,1
dwell,RUNNING_MPC,mean_dwell_s,1251.3039870262146
dwell,RUNNING_MPC,max_dwell_s,1251.3039870262146
summary,,transitions,"{('BOOTSTRAP_PP', 'RUNNING_PP'): 1, ('RUNNING_PP', 'SWITCHING_TO_MPC'): 1, ('SWITCHING_TO_MPC', 'RUNNING_MPC'): 1}"
summary,,emergency_halts,0
summary,,emergency_halt_total_s,0.0
summary,,laps,0
summary,,best_lap_s,
summary,,mean_lap_s,
summary,,mpc_solve_time_rms_ms,0.8986133263573398
summary,,mpc_solve_time_max_ms,13.374312
