t_run_s,state,e_y_m,heading_error_rad,v_x_mps,steering_cmd_rad,speed_cmd_mps,mpc_solve_time_ms,pos_x_m,pos_y_m,lap_idx
0.0000,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0010,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0019,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0038,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0241,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0443,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0639,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0840,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.1041,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.1240,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.1439,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.1640,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.1839,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.2041,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.2240,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.2440,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.2641,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.2841,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.3041,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.3239,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.3438,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.3638,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.3842,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.4044,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
