t_run_s,state,e_y_m,heading_error_rad,v_x_mps,steering_cmd_rad,speed_cmd_mps,mpc_solve_time_ms,pos_x_m,pos_y_m,lap_idx
0.0000,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0009,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0015,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0168,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0377,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0573,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0775,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0970,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.1170,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.1385,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.1572,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.1770,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.1970,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.2169,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.2369,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.2570,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.2773,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.2970,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.3169,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.3368,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.3569,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.3771,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.3971,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.4170,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.4371,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.4569,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.4770,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.4975,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.5169,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
0.5377,BOOTSTRAP_PP,2.62797,0.01080,0.0000,0.00000,0.0000,,-384.32117,-234.76888,0
