x_m,y_m,state
-318.3138122558594,-148.23687744140625,RUNNING_MPC
-315.0783996582031,-143.79515075683594,RUNNING_MPC
-312.9195251464844,-140.8349609375,RUNNING_MPC
-310.7674255371094,-137.86941528320312,RUNNING_MPC
-308.09149169921875,-134.1554718017578,RUNNING_MPC
-306.4934997558594,-131.92501831054688,RUNNING_MPC
-304.3708190917969,-128.95166015625,RUNNING_MPC
-302.25726318359375,-125.9835205078125,RUNNING_MPC
-300.67852783203125,-123.7649154663086,RUNNING_MPC
-298.5837707519531,-120.82321166992188,RUNNING_MPC
-296.503173828125,-117.90642547607422,RUNNING_MPC
-294.9543762207031,-115.73917388916016,RUNNING_MPC
-292.9079895019531,-112.88114929199219,RUNNING_MPC
-290.88616943359375,-110.06233215332031,RUNNING_MPC
-288.8919372558594,-107.28472137451172,RUNNING_MPC
-287.4154968261719,-105.22880554199219,RUNNING_MPC
-285.4728088378906,-102.52330780029297,RUNNING_MPC
-283.55926513671875,-99.85709381103516,RUNNING_MPC
-282.1419982910156,-97.88191223144531,RUNNING_MPC
-280.2752380371094,-95.28016662597656,RUNNING_MPC
-278.43280029296875,-92.71300506591797,RUNNING_MPC
-277.0656433105469,-90.80946350097656,RUNNING_MPC
-275.2616271972656,-88.30046081542969,RUNNING_MPC
-273.4784851074219,-85.824462890625,RUNNING_MPC
-272.1549377441406,-83.9891128540039,RUNNING_MPC
-270.40887451171875,-81.571044921875,RUNNING_MPC
-268.6846008300781,-79.18645477294922,RUNNING_MPC
-266.98223876953125,-76.83537292480469,RUNNING_MPC
-265.72003173828125,-75.09385681152344,RUNNING_MPC
-264.0562744140625,-72.80072784423828,RUNNING_MPC
-262.41375732421875,-70.5398941040039,RUNNING_MPC
-261.19549560546875,-68.86481475830078,RUNNING_MPC
-259.5882873535156,-66.6572265625,RUNNING_MPC
-257.9994201660156,-64.47643280029297,RUNNING_MPC
-256.8185729980469,-62.85655975341797,RUNNING_MPC
-255.25648498535156,-60.71452331542969,RUNNING_MPC
-253.70614624023438,-58.58921432495117,RUNNING_MPC
-252.16470336914062,-56.476600646972656,RUNNING_MPC
-251.0127410888672,-54.89817428588867,RUNNING_MPC
-249.47987365722656,-52.79845428466797,RUNNING_MPC
-247.94821166992188,-50.70207595825195,RUNNING_MPC
-246.7987060546875,-49.13130187988281,RUNNING_MPC
-245.26199340820312,-47.03816223144531,RUNNING_MPC
-243.71755981445312,-44.94719314575195,RUNNING_MPC
-242.55245971679688,-43.38174057006836,RUNNING_MPC
-240.988037109375,-41.299888610839844,RUNNING_MPC
-239.40928649902344,-39.226531982421875,RUNNING_MPC
-237.814697265625,-37.164737701416016,RUNNING_MPC
-236.6074981689453,-35.6275520324707,RUNNING_MPC
-234.9812774658203,-33.59284210205078,RUNNING_MPC
-233.33547973632812,-31.57868766784668,RUNNING_MPC
-232.0872344970703,-30.0830078125,RUNNING_MPC
-230.4029998779297,-28.109804153442383,RUNNING_MPC
-228.6951141357422,-26.163808822631836,RUNNING_MPC
-226.96185302734375,-24.24711036682129,RUNNING_MPC
-225.2020721435547,-22.364633560180664,RUNNING_MPC
-223.41859436035156,-20.519725799560547,RUNNING_MPC
-221.6077880859375,-18.716224670410156,RUNNING_MPC
-219.77186584472656,-16.960206985473633,RUNNING_MPC
-217.91165161132812,-15.260577201843262,RUNNING_MPC
-216.03216552734375,-13.622900009155273,RUNNING_MPC
-214.13780212402344,-12.05007266998291,RUNNING_MPC
-212.23171997070312,-10.543757438659668,RUNNING_MPC
-210.31504821777344,-9.109301567077637,RUNNING_MPC
-208.38986206054688,-7.748176097869873,RUNNING_MPC
