section,key,metric,value
tracking,Overall,n,29573
tracking,Overall,rms_e_y_m,0.27911710769522935
tracking,Overall,max_abs_e_y_m,2.6508808696722976
tracking,Overall,itae_e_y,10361.565406271151
tracking,Overall,rms_heading_rad,0.019472235723426493
tracking,Overall,max_abs_heading_rad,0.3105734261967115
tracking,RUNNING_PP,n,3862
tracking,RUNNING_PP,rms_e_y_m,0.4049058539455805
tracking,RUNNING_PP,max_abs_e_y_m,2.6508808696722976
tracking,RUNNING_PP,itae_e_y,210.5019740280415
tracking,RUNNING_PP,rms_heading_rad,0.034899197607550475
tracking,RUNNING_PP,max_abs_heading_rad,0.3105734261967115
tracking,RUNNING_MPC,n,25453
tracking,RUNNING_MPC,rms_e_y_m,0.09212695159997263
tracking,RUNNING_MPC,max_abs_e_y_m,0.49422658605976927
tracking,RUNNING_MPC,itae_e_y,10124.578110228882
tracking,RUNNING_MPC,rms_heading_rad,0.01585995971521143
tracking,RUNNING_MPC,max_abs_heading_rad,0.06392814075109099
dwell,BOOTSTRAP_PP,n_intervals,1
dwell,BOOTSTRAP_PP,mean_dwell_s,4.11184287071228
dwell,BOOTSTRAP_PP,max_dwell_s,4.11184287071228
dwell,RUNNING_PP,n_intervals,1
dwell,RUNNING_PP,mean_dwell_s,77.23954606056213
dwell,RUNNING_PP,max_dwell_s,77.23954606056213
dwell,SWITCHING_TO_MPC,n_intervals,1
dwell,SWITCHING_TO_MPC,mean_dwell_s,1.0196609497070312
dwell,SWITCHING_TO_MPC,max_dwell_s,1.0196609497070312
dwell,RUNNING_MPC,n_intervals,1
dwell,RUNNING_MPC,mean_dwell_s,509.0343191623688
dwell,RUNNING_MPC,max_dwell_s,509.0343191623688
summary,,transitions,"{('BOOTSTRAP_PP', 'RUNNING_PP'): 1, ('RUNNING_PP', 'SWITCHING_TO_MPC'): 1, ('SWITCHING_TO_MPC', 'RUNNING_MPC'): 1}"
summary,,emergency_halts,0
summary,,emergency_halt_total_s,0.0
summary,,laps,3
summary,,best_lap_s,148.59807085990906
summary,,mean_lap_s,156.85167479515076
summary,,mpc_solve_time_rms_ms,0.4128173661690782
summary,,mpc_solve_time_max_ms,3.813831
