t_s,other_actor_id,impulse_x,impulse_y,impulse_z,impulse_magnitude,impulse_horizontal,over_threshold
1789312740.758,0,-0.5815,-3.6126,267.4555,267.4806,3.6591,0
1789312740.824,0,-0.0132,-0.0826,6.2372,6.2378,0.0836,0
1789312740.857,0,-0.0026,-0.0165,1.2503,1.2504,0.0168,0
1789312740.890,0,-0.0016,-0.0100,0.7547,0.7547,0.0101,0
1789312740.923,0,-0.0053,-0.0329,2.4875,2.4877,0.0333,0
1789312740.956,0,-0.0068,-0.0423,3.1929,3.1932,0.0428,0
1789312740.989,0,-0.0151,-0.0945,7.1398,7.1405,0.0957,0
1789312741.022,0,-0.0160,-0.1002,7.5679,7.5685,0.1014,0
1789312741.055,0,-0.0161,-0.1006,7.6025,7.6032,0.1019,0
1789312741.088,0,-0.0164,-0.1025,7.7442,7.7449,0.1038,0
1789312741.121,0,-0.0144,-0.0898,6.7881,6.7887,0.0910,0
1789312741.154,0,-0.0160,-0.1000,7.5548,7.5555,0.1013,0
1789312741.187,0,-0.0134,-0.0837,6.3277,6.3282,0.0848,0
1789312741.220,0,-0.0152,-0.0950,7.1745,7.1751,0.0962,0
1789312741.253,0,-0.0150,-0.0938,7.0845,7.0852,0.0950,0
1789312741.286,0,-0.0123,-0.0767,5.7913,5.7918,0.0776,0
1789312741.319,0,-0.0118,-0.0737,5.5675,5.5680,0.0746,0
1789312741.352,0,-0.0114,-0.0712,5.3793,5.3798,0.0721,0
1789312741.451,0,-0.1787,-1.1104,82.2087,82.2164,1.1247,0
