t_run_s,state,e_y_m,heading_error_rad,v_x_mps,steering_cmd_rad,speed_cmd_mps,mpc_solve_time_ms,pos_x_m,pos_y_m,lap_idx
0.0000,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.0005,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.0118,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.0319,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.0519,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.0720,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.0919,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.1135,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.1319,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.1534,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.1720,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.1918,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.2125,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.2319,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.2520,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.2720,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
0.2928,BOOTSTRAP_PP,2.65079,0.02195,0.0000,0.00000,0.0000,,-384.34055,-234.75671,0
