section,key,metric,value
tracking,Overall,n,30440
tracking,Overall,rms_e_y_m,0.23562581665981008
tracking,Overall,max_abs_e_y_m,2.628177269053641
tracking,Overall,itae_e_y,11546.179180066903
tracking,Overall,rms_heading_rad,0.020124430527275503
tracking,Overall,max_abs_heading_rad,0.3098108300185669
tracking,RUNNING_PP,n,4147
tracking,RUNNING_PP,rms_e_y_m,0.3856985546247724
tracking,RUNNING_PP,max_abs_e_y_m,2.628177269053641
tracking,RUNNING_PP,itae_e_y,154.28828998430433
tracking,RUNNING_PP,rms_heading_rad,0.03139414448250632
tracking,RUNNING_PP,max_abs_heading_rad,0.3098108300185669
tracking,RUNNING_MPC,n,26124
tracking,RUNNING_MPC,rms_e_y_m,0.09941883051712049
tracking,RUNNING_MPC,max_abs_e_y_m,0.5746484917558574
tracking,RUNNING_MPC,itae_e_y,11380.156262192731
tracking,RUNNING_MPC,rms_heading_rad,0.017745861811188417
tracking,RUNNING_MPC,max_abs_heading_rad,0.07456134403545045
dwell,BOOTSTRAP_PP,n_intervals,1
dwell,BOOTSTRAP_PP,mean_dwell_s,2.9565019607543945
dwell,BOOTSTRAP_PP,max_dwell_s,2.9565019607543945
dwell,RUNNING_PP,n_intervals,1
dwell,RUNNING_PP,mean_dwell_s,82.93760633468628
dwell,RUNNING_PP,max_dwell_s,82.93760633468628
dwell,SWITCHING_TO_MPC,n_intervals,1
dwell,SWITCHING_TO_MPC,mean_dwell_s,1.0193829536437988
dwell,SWITCHING_TO_MPC,max_dwell_s,1.0193829536437988
dwell,RUNNING_MPC,n_intervals,1
dwell,RUNNING_MPC,mean_dwell_s,522.4541780948639
dwell,RUNNING_MPC,max_dwell_s,522.4541780948639
summary,,transitions,"{('BOOTSTRAP_PP', 'RUNNING_PP'): 1, ('RUNNING_PP', 'SWITCHING_TO_MPC'): 1, ('SWITCHING_TO_MPC', 'RUNNING_MPC'): 1}"
summary,,emergency_halts,0
summary,,emergency_halt_total_s,0.0
summary,,laps,3
summary,,best_lap_s,150.319100856781
summary,,mean_lap_s,162.88481044769287
summary,,mpc_solve_time_rms_ms,0.4340575694224939
summary,,mpc_solve_time_max_ms,2.925282
