t_run_s,state,e_y_m,heading_error_rad,v_x_mps,steering_cmd_rad,speed_cmd_mps,mpc_solve_time_ms,pos_x_m,pos_y_m,lap_idx
0.0000,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0105,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0320,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0503,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0704,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.0901,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.1141,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.1301,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.4733,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.4748,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.4754,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.4761,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.4767,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.4774,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.4781,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.4788,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.4793,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.4799,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.4805,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.4900,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.5099,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.5299,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,0.00000,0.00000,0
0.5499,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.5722,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.5898,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.6100,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.6300,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.6498,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.6699,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.6900,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.7098,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.7300,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.7499,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.7699,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.7900,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.8099,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.8301,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.8498,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.8699,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.8897,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
0.9099,BOOTSTRAP_PP,2.62786,0.01079,0.0000,0.00000,0.0000,,-384.32071,-234.76845,0
