signal,unit,controller,abs_error
|e_y|,m,RUNNING_PP,2.6278807369945225
|e_y|,m,RUNNING_PP,2.6279373843495923
|e_y|,m,RUNNING_PP,2.6280014727441725
|e_y|,m,RUNNING_PP,2.6280384776344694
|e_y|,m,RUNNING_PP,2.6281181413520684
|e_y|,m,RUNNING_PP,2.628177269053641
|e_y|,m,RUNNING_PP,2.627885312735811
|e_y|,m,RUNNING_PP,2.6271167919259684
|e_y|,m,RUNNING_PP,2.625217574382918
|e_y|,m,RUNNING_PP,2.622879798774428
|e_y|,m,RUNNING_PP,2.61675389441757
|e_y|,m,RUNNING_PP,2.611940798958807
|e_y|,m,RUNNING_PP,2.597452628567509
|e_y|,m,RUNNING_PP,2.590624169565606
|e_y|,m,RUNNING_PP,2.561765904444065
|e_y|,m,RUNNING_PP,2.5262896314154233
|e_y|,m,RUNNING_PP,2.4878219067661984
|e_y|,m,RUNNING_PP,2.407586096482389
|e_y|,m,RUNNING_PP,2.337483100485236
|e_y|,m,RUNNING_PP,2.2270205360254085
|e_y|,m,RUNNING_PP,2.147323496989902
|e_y|,m,RUNNING_PP,1.9572626051214086
|e_y|,m,RUNNING_PP,1.7680685412259334
|e_y|,m,RUNNING_PP,1.6853124666539792
|e_y|,m,RUNNING_PP,1.3670472095537116
|e_y|,m,RUNNING_PP,1.222967510352243
|e_y|,m,RUNNING_PP,0.9198917728993153
|e_y|,m,RUNNING_PP,0.7676897197072834
|e_y|,m,RUNNING_PP,0.5217873451056888
|e_y|,m,RUNNING_PP,0.25268080727617986
|e_y|,m,RUNNING_PP,0.1349919350425188
|e_y|,m,RUNNING_PP,0.05749159762472561
|e_y|,m,RUNNING_PP,0.14825110069467412
|e_y|,m,RUNNING_PP,0.21882367333052827
|e_y|,m,RUNNING_PP,0.23940028664764323
|e_y|,m,RUNNING_PP,0.23695862729185801
|e_y|,m,RUNNING_PP,0.19655747710603488
|e_y|,m,RUNNING_PP,0.15181546802644685
|e_y|,m,RUNNING_PP,0.10225241116526779
|e_y|,m,RUNNING_PP,0.055103136581547696
|e_y|,m,RUNNING_PP,0.024546244911211323
|e_y|,m,RUNNING_PP,0.006927995951197197
|e_y|,m,RUNNING_PP,0.030238814916303675
|e_y|,m,RUNNING_PP,0.037016305993283226
|e_y|,m,RUNNING_PP,0.0323966885107096
|e_y|,m,RUNNING_PP,0.026141919805627245
|e_y|,m,RUNNING_PP,0.013516126657309446
|e_y|,m,RUNNING_PP,0.0006072793664844145
|e_y|,m,RUNNING_PP,0.006124483588924593
|e_y|,m,RUNNING_PP,0.012092273630947586
|e_y|,m,RUNNING_PP,0.014350364544534838
|e_y|,m,RUNNING_PP,0.013798828965796373
|e_y|,m,RUNNING_PP,0.01250079229758888
|e_y|,m,RUNNING_PP,0.00900780184408878
|e_y|,m,RUNNING_PP,0.005983052535636829
|e_y|,m,RUNNING_PP,0.003541640676665514
|e_y|,m,RUNNING_PP,0.0023963531912061242
|e_y|,m,RUNNING_PP,0.0010989319110348839
|e_y|,m,RUNNING_PP,0.0008691658416607462
|e_y|,m,RUNNING_PP,0.0012241766780891061
|e_y|,m,RUNNING_PP,0.0018048287815057296
