signal_key,Signal,N,RMSE,MAE,NRMSE,MaxAE,Bias,Std,R2
fl_fy,FL Fy,2597,82.669,22.041,1.752,1113.259,-4.403,82.552,0.715
fr_fy,FR Fy,2597,89.239,23.540,1.835,1486.661,-4.830,89.108,0.698
rl_fy,RL Fy,2597,86.278,28.012,1.902,1036.726,8.241,85.883,0.652
rr_fy,RR Fy,2597,92.228,29.255,1.973,1082.971,7.407,91.930,0.641
front_sum_fy,Front axle Fy sum,2597,171.429,45.523,1.789,2507.362,-9.233,171.181,0.708
rear_sum_fy,Rear axle Fy sum,2597,178.341,57.228,1.936,2069.441,15.647,177.653,0.647
total_sum_fy,Vehicle total Fy sum,2597,331.404,80.698,1.763,4167.021,6.414,331.342,0.711
v_y,Lateral velocity v_y,7949,0.055,0.016,0.903,1.281,-0.001,0.055,0.998
omega,Yaw rate omega,7949,0.105,0.037,3.650,4.170,-0.005,0.104,0.684
v_y_persistence,v_y persistence baseline,7949,0.083,0.018,1.362,2.828,0.003,0.083,0.996
omega_persistence,omega persistence baseline,7949,0.010,0.005,0.365,0.284,-0.000,0.010,0.997
front_mu,Front axle peak friction $\mu_f$,2597,1.408,1.407,2.374,1.475,-1.407,0.037,-1448.875
rear_mu,Rear axle peak friction $\mu_r$,2597,1.408,1.407,2.374,1.475,-1.407,0.037,-1448.875
