axle,fz_N,nominal_source,mu,B,C,D,E,alpha_rad,fy_identified_N,fy_nominal_N
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.2,-2371.049349308706,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.19798994974874373,-2358.6841177373053,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.19597989949748745,-2346.000653053545,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.19396984924623117,-2332.9947792599787,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.1919597989949749,-2319.6625006826403,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.18994974874371862,-2306.000017588738,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.1879396984924623,-2292.003742024466,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.18592964824120603,-2277.670313813883,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.18391959798994975,-2262.996616654361,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.18190954773869347,-2247.9797942387704,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.1798994974874372,-2232.6172663293187,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.17788944723618091,-2216.9067447029506,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.17587939698492464,-2200.846248883447,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.17386934673366836,-2184.434121570919,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.17185929648241208,-2167.669043675431,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.1698492462311558,-2150.5500488579064,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.1678391959798995,-2133.0765374785856,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.1658291457286432,-2115.248289850951,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.16381909547738693,-2097.065478697501,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.16180904522613065,-2078.5286807029343,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.15979899497487438,-2059.63888706039,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.1577889447236181,-2040.397512907401,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.15577889447236182,-2020.8064055501452,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.15376884422110554,-2000.8678513775953,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.15175879396984926,-1980.5845813711785,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.14974874371859298,-1959.9597751206443,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.1477386934673367,-1938.997063263031,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.14572864321608042,-1917.7005282688258,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.14371859296482414,-1896.0747035077084,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.14170854271356784,-1874.1245705355348,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.13969849246231156,-1851.8555545544393,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.13768844221105528,-1829.2735180090458,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.135678391959799,-1806.3847522936298,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.13366834170854272,-1783.1959675576852,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.13165829145728644,-1759.7142806104341,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.12964824120603013,-1735.9472009384274,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.12763819095477386,-1711.902614864216,-900.4645225881209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.12562814070351758,-1687.5887678880893,-900.4048377207675
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.12361809045226131,-1663.0142452688808,-900.2862139307755
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.12160804020100503,-1638.1879509136268,-900.0896040465233
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.11959798994974874,-1613.1190846593747,-899.7953042787865
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.11758793969849246,-1587.8171180433872,-899.3836658892671
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.11557788944723618,-1562.2917686703208,-898.8350934622931
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.1135678391959799,-1536.5529732964542,-898.1300431858209
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.11155778894472362,-1510.6108597615982,-897.2490211415129
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.10954773869346734,-1484.475717908799,-896.1725816036401
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.10753768844221105,-1458.1579696402027,-894.8813253465919
front,1372.8686,carla_physx,0.6559000015258789,4.0,1.2035000324249268,2.0,-3.0,-0.10552763819095477,-1431.668138264449,-893.355897960756
