signal,unit,error_gt_minus_est
v_y,m/s,0.007857769464565609
v_y,m/s,0.00870452436818514
v_y,m/s,0.008268163840337711
v_y,m/s,0.008117493818557295
v_y,m/s,0.008049899721566542
v_y,m/s,0.007861706751378525
v_y,m/s,0.008451383477785776
v_y,m/s,0.007973337374752684
v_y,m/s,0.01598558013377263
v_y,m/s,0.012660931859538677
v_y,m/s,0.011497018711534218
v_y,m/s,0.008805753604234842
v_y,m/s,0.017145751703900203
v_y,m/s,0.0069435929217546155
v_y,m/s,0.0069970053540073796
v_y,m/s,0.006812264891517511
v_y,m/s,0.015310982014857172
v_y,m/s,0.006730101531808891
v_y,m/s,0.008008344767746117
v_y,m/s,0.008337305192469488
v_y,m/s,0.008569732792162846
v_y,m/s,0.009083896718750858
v_y,m/s,0.025448727590223708
v_y,m/s,0.007008537894074074
v_y,m/s,0.006787594616985457
v_y,m/s,0.012059811362871778
v_y,m/s,0.00912383395613564
v_y,m/s,0.007326994295037248
v_y,m/s,0.00657417310532904
v_y,m/s,0.0143212042861523
v_y,m/s,0.008910331539507571
v_y,m/s,0.00782938462373424
v_y,m/s,0.0073457629136546715
v_y,m/s,0.007151316365295271
v_y,m/s,0.006741116421398324
v_y,m/s,0.008622793548624698
v_y,m/s,0.00822668947539032
v_y,m/s,0.0452538889585425
v_y,m/s,0.005315526776685961
v_y,m/s,0.005832238899877317
v_y,m/s,0.005384256557355022
v_y,m/s,0.004719416369579354
v_y,m/s,0.003859774758803081
v_y,m/s,0.0029398330893361754
v_y,m/s,0.0003802508205332268
v_y,m/s,0.0021225956921858413
v_y,m/s,0.0022418831451305934
v_y,m/s,0.0026609636775658703
v_y,m/s,0.004004038600950541
v_y,m/s,0.0018297404606540703
v_y,m/s,0.0033030060953246516
v_y,m/s,0.003180029132267708
v_y,m/s,0.003278790657357644
v_y,m/s,0.0034478081159575076
v_y,m/s,0.0009406949229202981
v_y,m/s,0.0014713693989074454
v_y,m/s,0.004407447903176098
v_y,m/s,0.005173011353585888
v_y,m/s,0.002510345059380189
v_y,m/s,0.002724011124312451
v_y,m/s,0.003306037682295905
v_y,m/s,0.0036104878825326883
v_y,m/s,0.009899750397115487
v_y,m/s,0.002964548819717477
v_y,m/s,0.0035272179058989453
v_y,m/s,0.003789272491135207
v_y,m/s,0.0036872902834184443
