signal,unit,ground_truth,estimate
v_y,m/s,-0.08567320753953744,-0.09353097700410305
v_y,m/s,-0.08674420346950296,-0.0954487278376881
v_y,m/s,-0.08793620413171244,-0.09620436797205015
v_y,m/s,-0.08842837989526675,-0.09654587371382405
v_y,m/s,-0.08911765179908215,-0.0971675515206487
v_y,m/s,-0.08905146715925749,-0.09691317391063602
v_y,m/s,-0.08887835122393373,-0.0973297347017195
v_y,m/s,-0.08871075934737682,-0.0966840967221295
v_y,m/s,-0.08861142243929088,-0.10459700257306351
v_y,m/s,-0.08277455498223851,-0.09543548684177719
v_y,m/s,-0.07483714507737993,-0.08633416378891415
v_y,m/s,-0.0766033517818272,-0.08540910538606204
v_y,m/s,-0.08478801925580814,-0.10193377095970835
v_y,m/s,-0.08919804792465058,-0.0961416408464052
v_y,m/s,-0.09163522744888564,-0.09863223280289302
v_y,m/s,-0.09275922887084853,-0.09957149376236604
v_y,m/s,-0.09366778059909642,-0.10897876261395359
v_y,m/s,-0.0934582189467319,-0.10018832047854079
v_y,m/s,-0.09102635761433664,-0.09903470238208276
v_y,m/s,-0.08892915167388171,-0.0972664568663512
v_y,m/s,-0.08650805003779904,-0.09507778282996189
v_y,m/s,-0.08412316939531284,-0.0932070661140637
v_y,m/s,-0.07971032172905002,-0.10515904931927372
v_y,m/s,-0.07769478905123162,-0.08470332694530569
v_y,m/s,-0.07563158560380234,-0.0824191802207878
v_y,m/s,-0.07041359890717569,-0.08247341027004747
v_y,m/s,-0.06623431263500823,-0.07535814659114387
v_y,m/s,-0.06597393868807977,-0.07330093298311702
v_y,m/s,-0.06561625438523944,-0.07219042749056848
v_y,m/s,-0.062461886330135385,-0.07678309061628769
v_y,m/s,-0.06048848983320809,-0.06939882137271566
v_y,m/s,-0.05945492948241782,-0.06728431410615206
v_y,m/s,-0.05644270157345321,-0.06378846448710788
v_y,m/s,-0.0530911020038074,-0.06024241836910267
v_y,m/s,-0.049498820236309804,-0.05623993665770813
v_y,m/s,-0.04601148058115001,-0.05463427412977471
v_y,m/s,-0.042356751191762854,-0.05058344066715317
v_y,m/s,-0.013095724541168252,-0.058349613499710754
v_y,m/s,-0.009004227198611048,-0.014319753975297009
v_y,m/s,-0.007589691358599104,-0.013421930258476421
v_y,m/s,-0.006004942865831531,-0.011389199423186553
v_y,m/s,-0.0047838881854369575,-0.009503304555016311
v_y,m/s,-0.0015949888461967987,-0.00545476360499988
v_y,m/s,0.0028772466670901053,-6.258642224607003e-05
v_y,m/s,0.006723112463946634,0.006342861643413408
v_y,m/s,0.012084774330119785,0.009962178637933944
v_y,m/s,0.01642999082706531,0.014188107681934717
v_y,m/s,0.02029078895111791,0.01762982527355204
v_y,m/s,0.02563033144679938,0.02162629284584884
v_y,m/s,0.027869975160409233,0.026040234699755162
v_y,m/s,0.03133489964253844,0.028031893547213787
v_y,m/s,0.031924208787352804,0.028744179655085095
v_y,m/s,0.0319819849777474,0.028703194320389758
v_y,m/s,0.030510877477917475,0.027063069361959968
v_y,m/s,0.030261034422805366,0.029320339499885068
v_y,m/s,0.02939303767780377,0.027921668278896323
v_y,m/s,0.02815820135626801,0.02375075345309191
v_y,m/s,0.026255852927099532,0.021082841573513644
v_y,m/s,0.025387841408401002,0.022877496349020813
v_y,m/s,0.02425193110608248,0.02152791998177003
v_y,m/s,0.02286091397468759,0.019554876292391686
v_y,m/s,0.02150870317936171,0.017898215296829022
v_y,m/s,0.01689008784719004,0.0069903374500745515
v_y,m/s,0.015591822191733051,0.012627273372015574
v_y,m/s,0.014541433747396582,0.011014215841497636
