signal_key,Signal,N,RMSE,MAE,NRMSE,MaxAE,Bias,Std,R2
fl_fy,FL Fy,16215,32.591,19.322,0.991,187.605,7.146,31.798,0.951
fr_fy,FR Fy,16215,33.679,19.902,0.981,257.415,5.896,33.159,0.952
rl_fy,RL Fy,16215,25.693,16.761,0.794,121.206,6.239,24.924,0.965
rr_fy,RR Fy,16215,26.418,17.276,0.780,124.535,5.032,25.935,0.967
front_sum_fy,Front axle Fy sum,16215,66.113,39.215,0.984,371.202,13.042,64.814,0.952
rear_sum_fy,Rear axle Fy sum,16215,51.981,34.032,0.784,231.076,11.271,50.744,0.966
total_sum_fy,Vehicle total Fy sum,16215,116.073,73.210,0.870,591.274,24.313,113.498,0.961
v_y,Lateral velocity v_y,13693,0.036,0.021,0.546,0.424,0.005,0.036,0.978
omega,Yaw rate omega,13693,0.111,0.062,4.337,1.211,0.006,0.111,0.448
v_y_persistence,v_y persistence baseline,13693,0.012,0.007,0.178,0.163,-0.000,0.012,0.998
omega_persistence,omega persistence baseline,13693,0.006,0.004,0.250,0.052,0.000,0.006,0.998
front_mu,Front axle peak friction $\mu_f$,16215,0.739,0.707,0.704,0.950,-0.707,0.214,N/A
rear_mu,Rear axle peak friction $\mu_r$,16215,0.754,0.725,0.718,0.950,-0.725,0.207,N/A
