stamp_sec,fl_fy_gt,fl_fy_est,fr_fy_gt,fr_fy_est,rl_fy_gt,rl_fy_est,rr_fy_gt,rr_fy_est,front_sum_gt,front_sum_est,rear_sum_gt,rear_sum_est,total_sum_gt,total_sum_est
1789402238.135355,17.14669418334961,13.683949810620836,17.711383819580078,14.32360481364203,4.320675849914551,4.551891572923744,4.506688594818115,4.854070147959675,34.85807800292969,28.007554624262866,8.827364444732666,9.405961720883418,43.68544244766235,37.413516345146284
1789402238.300355,14.023974418640137,11.174837132713298,14.520590782165527,11.746869651199772,0.2992982566356659,0.3149943392258699,0.3086738884449005,0.3300671948869145,28.544565200805664,22.92170678391307,0.6079721450805664,0.6450615341127843,29.15253734588623,23.566768318025854
1789402238.4653552,9.784221649169922,7.748766122581614,10.12627124786377,8.1413390038629,-2.7803075313568115,-2.931202556808521,-2.908015489578247,-3.121640997301744,19.91049289703369,15.890105126444514,-5.688323020935059,-6.0528435541102645,14.222169876098633,9.83726157233425
1789402238.6303551,4.200615406036377,3.344931417221025,4.357606410980225,3.5088270998295696,-6.9015984535217285,-7.24502750986618,-7.1944122314453125,-7.664908386329104,8.558221817016602,6.853758517050595,-14.096010684967041,-14.909935896195284,-5.5377888679504395,-8.056177379144689
1789402238.795355,2.641296148300171,2.11133874664762,2.7421090602874756,2.2231361432234054,-9.897567749023438,-10.418242584637651,-10.304499626159668,-11.007223527919544,5.3834052085876465,4.334474889871025,-20.202067375183105,-21.425466112557196,-14.818662166595459,-17.09099122268617
1789402238.960355,0.8886454701423645,0.7059825094951027,0.9267047047615051,0.746237395791763,-11.86816120147705,-12.563296246527544,-12.366418838500977,-13.285819681609333,1.8153501749038696,1.4522199052868656,-24.234580039978027,-25.849115928136875,-22.419229865074158,-24.396896022850008
1789402239.125355,0.2583523690700531,0.20667651456248637,0.2749943137168884,0.22306329223557822,-13.058009147644043,-13.869188131103389,-13.588252067565918,-14.64147929130572,0.5333466827869415,0.42973980679806456,-26.64626121520996,-28.510667422409107,-26.11291453242302,-28.080927615611042
1789402239.290355,0.03935059905052185,0.03140292651342982,0.04709763824939728,0.03812100196673157,-13.864310264587402,-14.687206132099497,-14.35886001586914,-15.368558673372489,0.08644823729991913,0.0695239284801614,-28.223170280456543,-30.055764805471988,-28.136722043156624,-29.986240876991825
1789402239.455355,1.1331202983856201,0.9039794681027276,1.1882448196411133,0.9637799619083394,-13.173179626464844,-13.922774280364985,-13.687853813171387,-14.671951036078262,2.3213651180267334,1.867759430011067,-26.86103343963623,-28.594725316443245,-24.539668321609497,-26.72696588643218
1789402239.6203551,1.1656994819641113,0.93338336888866,1.210119605064392,0.9829964243436535,-12.885581970214844,-13.649765660341775,-13.363953590393066,-14.37639339205367,2.3758190870285034,1.9163797932323137,-26.24953556060791,-28.026159052395442,-23.873716473579407,-26.10977925916313
1789402239.785355,1.567149043083191,1.240786560283391,1.6264358758926392,1.3097475646192047,-12.59897232055664,-13.325155096071354,-13.100899696350098,-14.114845646560262,3.19358491897583,2.5505341249025957,-25.69987201690674,-27.440000742631618,-22.506287097930908,-24.88946661772902
1789402239.950355,2.909513473510742,2.3135889757185377,3.0223324298858643,2.4387467914957988,-11.107260704040527,-11.662611347224864,-11.558538436889648,-12.322665196833006,5.9318459033966064,4.752335767214337,-22.665799140930176,-23.985276544057868,-16.73395323753357,-19.23294077684353
1789402240.115355,2.171729564666748,1.7288623303377957,2.253584861755371,1.8193724121352637,-11.436356544494629,-12.06082021584634,-11.885510444641113,-12.713154523013632,4.425314426422119,3.5482347424730594,-23.321866989135742,-24.77397473885997,-18.896552562713623,-21.22573999638691
1789402240.280355,1.0082077980041504,0.7950647313604946,1.049330711364746,0.8548287774509327,-12.528319358825684,-13.048044975432811,-12.807050704956055,-13.765895094617584,2.0575385093688965,1.6498935088114273,-25.33537006378174,-26.813940070050393,-23.277831554412842,-25.164046561238965
1789402240.445355,0.601890504360199,0.45753946084597247,0.5862468481063843,0.4815783757722924,-12.390467643737793,-12.427524072877667,-12.065622329711914,-13.182353507645953,1.1881373524665833,0.9391178366182649,-24.456089973449707,-25.60987758052362,-23.267952620983124,-24.670759743905354
1789402240.6103551,-2.596534490585327,-1.8869008470801663,-2.4805572032928467,-1.993542777230729,-12.590831756591797,-12.275859039136812,-12.082758903503418,-12.97641927509399,-5.077091693878174,-3.880443624310895,-24.673590660095215,-25.2522783142308,-29.75068235397339,-29.132721938541696
