signal,unit,t_s,ground_truth,estimate
fl_fy,N,0.000000,11.885424613952637,13.110446521023443
fl_fy,N,0.165000,5.934990882873535,6.5200205236791
fl_fy,N,0.330000,2.864455223083496,3.17013069554754
fl_fy,N,0.495000,-0.5857526659965515,-0.6460449797858933
fl_fy,N,0.660000,-1.222283959388733,-1.3520966610912764
fl_fy,N,0.825000,-0.05137826129794121,-0.05649412028864063
fl_fy,N,0.990000,0.35745349526405334,0.39391000768824413
fl_fy,N,1.155000,0.544434666633606,0.603334984599061
fl_fy,N,1.320000,1.0909663438796997,1.203468499540086
fl_fy,N,1.485000,0.8080738186836243,0.8852993734387519
fl_fy,N,1.650000,4.0333027839660645,4.470486863856698
fl_fy,N,1.815000,1.6188843250274658,1.7686717013599231
fl_fy,N,1.980000,0.3368532061576843,0.357558164589176
fl_fy,N,2.145000,-1.5411343574523926,-1.563444432476053
fl_fy,N,2.310000,-3.5324645042419434,-3.6876094227303
fl_fy,N,2.475000,-3.153512954711914,-3.3752561972602746
fl_fy,N,2.640000,-4.531280040740967,-4.882014190504691
fl_fy,N,2.805000,-4.586219310760498,-5.002526809366352
fl_fy,N,2.970000,-4.359830379486084,-4.787081533953442
fl_fy,N,3.135000,-4.461978912353516,-4.933124868388686
fl_fy,N,3.300000,-3.112927198410034,-3.4669778057141056
fl_fy,N,3.465000,-1.8964245319366455,-2.1217847556974565
fl_fy,N,3.630000,-3.2291862964630127,-3.644346514337538
fl_fy,N,3.795000,-3.3401753902435303,-3.7894188427575815
fl_fy,N,3.960000,-2.7444846630096436,-3.1388548926465725
fl_fy,N,4.125000,-3.1189215183258057,-3.5713799927259253
fl_fy,N,4.290000,-2.172100067138672,-2.4930822095356007
fl_fy,N,4.455000,-1.7262535095214844,-1.9825423486824727
fl_fy,N,4.620000,-1.1045321226119995,-1.27640929394358
fl_fy,N,4.785000,-0.5518354177474976,-0.6405599759935667
fl_fy,N,4.950000,0.09787740558385849,0.11479356513051503
fl_fy,N,5.115000,-0.6169420480728149,-0.7226591841531795
fl_fy,N,5.280000,-49.209312438964844,-55.96908705794478
fl_fy,N,5.445000,-0.5870406627655029,-0.6937828475545222
fl_fy,N,5.610000,-1.4069050550460815,-1.6527567451846719
fl_fy,N,5.775000,-0.39618414640426636,-0.4657499788137762
fl_fy,N,5.940000,1.427828073501587,1.6746128849514126
fl_fy,N,6.105000,-2.278785467147827,-2.671279297333944
fl_fy,N,6.270000,1.079307198524475,1.273768407599165
fl_fy,N,6.435000,2.1718692779541016,2.5555541197149645
fl_fy,N,6.600000,1.4495669603347778,1.714280891750687
fl_fy,N,6.765000,0.7827901244163513,0.9239997295833867
fl_fy,N,6.930000,2.2005014419555664,2.5836989205363707
fl_fy,N,7.095000,-5.654114246368408,-6.792898641235349
fl_fy,N,7.260000,1.7265995740890503,2.054883274554011
fl_fy,N,7.425000,1.9677456617355347,2.361917298719858
fl_fy,N,7.590000,-2.719705820083618,-3.1802537205312387
fl_fy,N,7.656000,2.476430654525757,2.9022605513140816
fl_fy,N,7.722000,3.8656625747680664,4.497748301973709
fl_fy,N,7.755000,2.395634651184082,2.7773272349413016
fl_fy,N,7.821000,2.675074577331543,3.1086200951358083
fl_fy,N,7.887000,3.2924530506134033,3.7967224750394815
fl_fy,N,7.920000,2.7512733936309814,3.1214834375283744
fl_fy,N,8.085000,3.230473041534424,3.627065200172563
fl_fy,N,8.118000,3.2682814598083496,3.6629075001307347
fl_fy,N,8.151000,0.9308357834815979,1.03887092634718
fl_fy,N,8.217000,1.0589550733566284,1.1688169770173704
fl_fy,N,8.283000,2.739556074142456,3.0512416907054156
fl_fy,N,8.316000,1.923394799232483,2.1800657312056897
fl_fy,N,8.349000,0.0813494473695755,0.09165110925497849
fl_fy,N,8.382000,-0.5432166457176208,-0.6087554959744347
fl_fy,N,8.415000,-0.9761335849761963,-1.0780061511425545
fl_fy,N,8.481000,-0.7582032680511475,-0.8303603107320301
fl_fy,N,8.514000,0.022043542936444283,0.024148979499705035
fl_fy,N,8.547000,-1.8746545314788818,-2.0209539931942944
fl_fy,N,8.613000,-2.307058095932007,-2.4930271196457996
fl_fy,N,8.646000,-2.9496030807495117,-3.1706428842807077
fl_fy,N,8.679000,-2.666809320449829,-2.8772964900827023
fl_fy,N,8.712000,-3.010854721069336,-3.245650181565205
fl_fy,N,8.745000,-4.023387432098389,-4.336964069174111
fl_fy,N,8.811000,-4.096085071563721,-4.469695511809148
fl_fy,N,8.844000,-4.464795112609863,-4.859764235086636
fl_fy,N,8.877000,-4.896624565124512,-5.299584867166252
fl_fy,N,8.910000,-4.777202606201172,-5.170981695269639
fl_fy,N,8.943000,-6.064335823059082,-6.5497175679368524
fl_fy,N,9.009000,-6.026774883270264,-6.44956994045648
fl_fy,N,9.042000,-5.886467456817627,-6.290378503029531
fl_fy,N,9.075000,-6.1226067543029785,-6.54654224275545
fl_fy,N,9.141000,-5.504332065582275,-5.860209434049304
fl_fy,N,9.207000,-5.9684977531433105,-6.3434558160162835
fl_fy,N,9.240000,-5.833461284637451,-6.25706574444528
