signal,unit,error_gt_minus_est
v_y,m/s,0.002442149486754591
v_y,m/s,0.002432200351559284
v_y,m/s,0.0022358594393094774
v_y,m/s,0.00454544774724446
v_y,m/s,0.002523078863050565
v_y,m/s,0.007736925214436174
v_y,m/s,0.002765486604417564
v_y,m/s,0.008324414388622952
v_y,m/s,0.002972568308759655
v_y,m/s,0.005731498958369073
v_y,m/s,0.006051223988703881
v_y,m/s,0.004672274748929665
v_y,m/s,0.002672005996245567
v_y,m/s,0.006926124518618154
v_y,m/s,0.0025979553218436376
v_y,m/s,0.0038036694037524507
v_y,m/s,0.002380978221533006
v_y,m/s,0.0016510718273632027
v_y,m/s,0.0020389602257120214
v_y,m/s,0.0010839256272408256
v_y,m/s,-0.014419386944806808
v_y,m/s,0.0062407753996305965
v_y,m/s,-0.002767830864420222
v_y,m/s,0.004785815142720126
v_y,m/s,-0.00037777954359191623
v_y,m/s,0.025622993767218577
v_y,m/s,0.003020467945186789
v_y,m/s,-0.0008482317144010709
v_y,m/s,0.00238070137882615
v_y,m/s,-0.010555071665032334
v_y,m/s,-0.0022719304254585904
v_y,m/s,-0.015506041709902219
v_y,m/s,-0.006097304777614998
v_y,m/s,-0.002755262794870761
v_y,m/s,-0.016074945531246054
v_y,m/s,-0.003110203662938682
v_y,m/s,-0.011795086935399879
v_y,m/s,-0.04169847812955929
v_y,m/s,-0.030386457152919377
v_y,m/s,-0.009174090347919606
v_y,m/s,-0.016756774136097607
v_y,m/s,-0.0334737995021378
v_y,m/s,-0.014691803534066461
v_y,m/s,-0.03021901099437796
v_y,m/s,-0.049114112191512294
v_y,m/s,-0.036890879049204156
v_y,m/s,-0.03518806233355021
v_y,m/s,-0.03040105236720525
v_y,m/s,-0.04035664847070669
v_y,m/s,-0.06554722614654657
v_y,m/s,-0.02211843488784221
v_y,m/s,-0.04670987402217602
v_y,m/s,-0.030060541658155304
v_y,m/s,-0.031401588993853646
v_y,m/s,-0.08286924768182108
v_y,m/s,-0.09580452725638927
v_y,m/s,-0.05283061963750452
v_y,m/s,-0.04838361065322283
v_y,m/s,-0.05321552151613257
v_y,m/s,-0.07232874014833046
v_y,m/s,-0.021903678326905096
v_y,m/s,-0.0473815278993579
v_y,m/s,-0.06146442029186727
v_y,m/s,-0.10184314330169927
v_y,m/s,-0.017031421044636424
v_y,m/s,-0.016664606636431045
v_y,m/s,-0.040677517440519395
v_y,m/s,-0.02072428764987977
v_y,m/s,-0.021207804533096453
v_y,m/s,-0.024182681908250486
v_y,m/s,-0.025465326773488034
v_y,m/s,-0.026889652180218312
v_y,m/s,-0.10390947478594824
v_y,m/s,-0.027261285283332132
v_y,m/s,-0.04540256972732489
v_y,m/s,-0.02360425488128884
v_y,m/s,-0.06010485655849698
v_y,m/s,-0.05960889534091562
v_y,m/s,-0.024691013956842908
v_y,m/s,-0.1250853622193516
v_y,m/s,-0.030368420559341636
v_y,m/s,-0.03441372670073066
v_y,m/s,-0.06566827895773661
v_y,m/s,-0.03188913745038047
v_y,m/s,-0.05825259225924462
v_y,m/s,-0.02979900715961628
v_y,m/s,-0.036339694345320334
v_y,m/s,-0.03430575696331575
v_y,m/s,-0.01825541415336962
v_y,m/s,-0.01462263090016383
v_y,m/s,-0.018334703950822234
v_y,m/s,-0.025211249244577377
v_y,m/s,-0.006390304753976783
v_y,m/s,-0.02007720058516954
v_y,m/s,-0.014972474384595258
v_y,m/s,-0.01593505908708756
v_y,m/s,-0.02279462248850006
v_y,m/s,-0.013309808658612976
v_y,m/s,-0.03465950105832649
v_y,m/s,-0.015157100376656518
v_y,m/s,-0.012527768443546972
v_y,m/s,-0.006816723850796957
v_y,m/s,-0.012858001535836883
v_y,m/s,-0.008103022280377292
v_y,m/s,-0.0016206823488424948
v_y,m/s,-0.004680301614430615
v_y,m/s,0.004715935341026517
v_y,m/s,-0.0032682704320668443
v_y,m/s,0.009715662752122267
v_y,m/s,-0.0017570619067901194
v_y,m/s,0.009793219577773057
v_y,m/s,-0.0005662265506415423
v_y,m/s,0.005031917644864645
v_y,m/s,-0.0033595625179506303
v_y,m/s,-0.00021014385399210217
v_y,m/s,-0.008044749991924047
v_y,m/s,-0.0006704148938472404
v_y,m/s,-0.0033107768867404463
v_y,m/s,0.0026540100311898407
v_y,m/s,0.0011571609433752017
v_y,m/s,0.0023809033788624867
v_y,m/s,0.018784839263971398
v_y,m/s,0.01622842984575723
v_y,m/s,0.04238514603848942
v_y,m/s,0.0218021104758101
v_y,m/s,0.05468603407428979
v_y,m/s,0.020528096520707473
v_y,m/s,0.0481755792529171
v_y,m/s,0.017432983865496687
v_y,m/s,0.05285218180182888
v_y,m/s,0.021734086457756985
v_y,m/s,0.05580131975899
v_y,m/s,0.022734489896201637
v_y,m/s,0.0508584276627127
v_y,m/s,0.04105429215473455
v_y,m/s,0.03911594166806137
v_y,m/s,0.031863478711497834
v_y,m/s,0.021585076955285
v_y,m/s,0.01155186780125983
v_y,m/s,0.05645466404810251
v_y,m/s,0.015454611753523584
v_y,m/s,0.027797521261355873
v_y,m/s,0.02813794762249372
v_y,m/s,0.047838884483462935
v_y,m/s,0.06409622452022895
v_y,m/s,0.016699134754681877
v_y,m/s,0.01619540507506309
v_y,m/s,0.02938461097572445
v_y,m/s,0.013361746383884765
v_y,m/s,0.031030492042132485
v_y,m/s,0.01880993602925818
v_y,m/s,0.03947339856680421
v_y,m/s,0.047706647224182774
v_y,m/s,0.037600393237038454
v_y,m/s,0.04529185330013291
v_y,m/s,0.037524833900298094
