signal,unit,ground_truth,estimate
v_y,m/s,0.00978205028624668,0.008551120594711196
v_y,m/s,0.0074538183309273975,0.0062274771585564825
v_y,m/s,0.005807240679838621,0.004124430627835953
v_y,m/s,0.00496541268710704,0.0025371751336248543
v_y,m/s,0.00451882959476535,0.002280770846156582
v_y,m/s,0.005733803412434568,-0.00287850833038016
v_y,m/s,0.006000534923092715,0.002943205022036654
v_y,m/s,0.007903638090650311,0.0027331010945302573
v_y,m/s,0.009944208652447273,0.007820154078142714
v_y,m/s,0.013929120304989162,0.007370100023604522
v_y,m/s,0.017837565493016072,0.013912764432012548
v_y,m/s,0.022482969046060397,0.016434975467815978
v_y,m/s,0.02625667194938064,0.023508886878761334
v_y,m/s,0.030353474250412127,0.017219225440750843
v_y,m/s,0.03500104816345306,0.0257272406619818
v_y,m/s,0.03089155854431258,0.021787374898229555
v_y,m/s,0.038634138823569586,0.03669213093968562
v_y,m/s,0.03094228619992645,0.02509308820203908
v_y,m/s,0.0247677277242202,0.02114525231946642
v_y,m/s,-0.003573089712521238,-0.007998446530144098
v_y,m/s,-0.07312074707420635,-0.07148410924691723
v_y,m/s,-0.12954954298275823,-0.1323005660758937
v_y,m/s,-0.1598406176287419,-0.15063668484560583
v_y,m/s,-0.1879805635299574,-0.18800997602510883
v_y,m/s,-0.2217096311164024,-0.22373211532254983
v_y,m/s,-0.23651515591386651,-0.23151888235361873
v_y,m/s,-0.23852870665529569,-0.23639455646740223
v_y,m/s,-0.2512334367746396,-0.24742007432487664
v_y,m/s,-0.25839530147195333,-0.2539713882413243
v_y,m/s,-0.2654197396884914,-0.2572450585651361
v_y,m/s,-0.2727728594784109,-0.26195498704199843
v_y,m/s,-0.2862418944990557,-0.2837186744163704
v_y,m/s,-0.3023787818073922,-0.2614446617938494
v_y,m/s,-0.30737350440835964,-0.29878892073243446
v_y,m/s,-0.3214299529845457,-0.32038718654081466
v_y,m/s,-0.3203913279047974,-0.30490274112954047
v_y,m/s,-0.3128277809829205,-0.30330436411520184
v_y,m/s,-0.30271611474914994,-0.28181488717400127
v_y,m/s,-0.2851049638553489,-0.23083026429325765
v_y,m/s,-0.2611562973750674,-0.2103202367074518
v_y,m/s,-0.2587336164535823,-0.21792084354115465
v_y,m/s,-0.24177082035156117,-0.2032481536426119
v_y,m/s,-0.23530123705328432,-0.19505384120389277
v_y,m/s,-0.23843383981267108,-0.21006363901585856
v_y,m/s,-0.2472018866923742,-0.21236489885289753
v_y,m/s,-0.2619773767319522,-0.2079882050584406
v_y,m/s,-0.27673105869699466,-0.2560938489798086
v_y,m/s,-0.31484900012382466,-0.27018487388892654
v_y,m/s,-0.35347411275881147,-0.3131750359621502
v_y,m/s,-0.4021440114102357,-0.3617298466600398
v_y,m/s,-0.48083278247248384,-0.3920301062918036
v_y,m/s,-0.45149165304375305,-0.4219728793289074
v_y,m/s,-0.47677094397252034,-0.43177174550003294
v_y,m/s,-0.48354621239274265,-0.44303653199426096
v_y,m/s,-0.4871576155306059,-0.4375181987233822
v_y,m/s,-0.4773564774579815,-0.3957372721331628
v_y,m/s,-0.4927713316795301,-0.4385689653302623
v_y,m/s,-0.5184842740605436,-0.46090600646678165
v_y,m/s,-0.54336030410716,-0.46413721722827067
v_y,m/s,-0.48580631401626984,-0.4209491722516815
v_y,m/s,-0.4259378032435581,-0.36075727750342357
v_y,m/s,-0.3882742267311228,-0.2915093337511252
v_y,m/s,-0.36460976138890766,-0.3274219694077203
v_y,m/s,-0.3366509188486342,-0.2790884221055227
v_y,m/s,-0.30918347323213213,-0.21296915184842458
v_y,m/s,-0.27541413892870104,-0.14533327195854204
v_y,m/s,-0.24456040177702798,-0.10894978669771391
v_y,m/s,-0.2167798899125657,-0.08505489324119048
v_y,m/s,-0.20356466832903974,-0.17450192229148404
v_y,m/s,-0.17064121176738478,-0.14202167688634593
v_y,m/s,-0.15347036795357294,-0.08854890774549874
v_y,m/s,-0.13230061966212148,-0.06775562350394951
v_y,m/s,-0.11560896081516159,-0.004492945576106258
v_y,m/s,-0.10728156000274591,-0.04478315910506066
v_y,m/s,-0.10080784502297568,-0.06365189925094271
v_y,m/s,-0.09428888555695636,-0.014846897946008505
v_y,m/s,-0.10848323612610322,0.028328551883799097
v_y,m/s,-0.11760761593157287,-0.046603637356296315
v_y,m/s,-0.12314802142159209,-0.09086935969043336
v_y,m/s,-0.13262930969733855,-0.10261110645976713
v_y,m/s,-0.14186135933492494,-0.08634741062067734
v_y,m/s,-0.14672993014284952,-0.12101394884193598
v_y,m/s,-0.15332708110985838,-0.11171728864903344
v_y,m/s,-0.15436311144971882,-0.1312354542013077
v_y,m/s,-0.14889554009597372,-0.11936453302276208
v_y,m/s,-0.14506542661241806,-0.11839550098484623
v_y,m/s,-0.13916180151197377,-0.11260832415850677
v_y,m/s,-0.13142450938134065,-0.11711609289436783
v_y,m/s,-0.13835109150529767,-0.11518088937044575
v_y,m/s,-0.13710746566191023,-0.12874224673010523
v_y,m/s,-0.13924122089196622,-0.1189103195681005
v_y,m/s,-0.15114338822466422,-0.12160227651549038
v_y,m/s,-0.14971129377569792,-0.13777040298852283
v_y,m/s,-0.17864529632465675,-0.14176706571981568
v_y,m/s,-0.19951379680249914,-0.1730514697495936
v_y,m/s,-0.22608508805165783,-0.20710445030010932
v_y,m/s,-0.23122340837948663,-0.22276115613205136
v_y,m/s,-0.19626283669630773,-0.1896665171133072
v_y,m/s,-0.18858202899154364,-0.18078415482144916
v_y,m/s,-0.15199130035840014,-0.14457526306030255
v_y,m/s,-0.094743572558043,-0.10327654683934179
v_y,m/s,-0.032298055987222796,-0.03679398605025664
v_y,m/s,-0.0076913499934381235,-0.00706794766302743
v_y,m/s,0.02747626634097422,0.030595055785842793
v_y,m/s,0.06263499067140721,0.06518685252009307
v_y,m/s,0.10277232967516348,0.09772260378728284
v_y,m/s,0.13158822385786628,0.13617671243494295
v_y,m/s,0.16422095609885012,0.1651295094966656
v_y,m/s,0.19238687223372253,0.18361321075622455
v_y,m/s,0.2069641639580304,0.20664373714309725
v_y,m/s,0.23614059991315628,0.21869444510934305
v_y,m/s,0.2722541390185462,0.20173060602312134
v_y,m/s,0.329276825627689,0.2563786677582271
v_y,m/s,0.3668907240152066,0.3181279339249979
v_y,m/s,0.4017027628215608,0.34422772985864886
v_y,m/s,0.40000008989025737,0.31889518437427006
v_y,m/s,0.4072373090091137,0.37534667545503275
v_y,m/s,0.4214111230975002,0.3453989578775838
v_y,m/s,0.41477091575385305,0.3133677696194693
v_y,m/s,0.4050790561092965,0.3703666360983629
v_y,m/s,0.37646062602526875,0.3103936712705925
v_y,m/s,0.33826652216314024,0.2430322370648468
v_y,m/s,0.2823007058673097,0.1607751613478247
v_y,m/s,0.22341530170047097,0.14125335551899598
v_y,m/s,0.1898808134667176,0.1100838906343651
v_y,m/s,0.185829258544139,0.16694799682728204
v_y,m/s,0.18387815543177766,0.17146908579956233
v_y,m/s,0.1849663813376532,0.1606032628133179
v_y,m/s,0.19170682529720562,0.1395806894281752
v_y,m/s,0.20518369039738094,0.13773371790342748
v_y,m/s,0.21801110664484113,0.1832539378548968
v_y,m/s,0.2364515290367386,0.21133076660260855
v_y,m/s,0.24761589020556496,0.2091727873414844
v_y,m/s,0.26389512879410093,0.22075584284974772
v_y,m/s,0.277476013138485,0.21704683694949264
v_y,m/s,0.29658975794553344,0.2574781038327497
v_y,m/s,0.3076829938600594,0.25850771196098754
v_y,m/s,0.3136481247259706,0.2737325327866449
v_y,m/s,0.2828778289892797,0.23585735055236426
v_y,m/s,0.2711757419416898,0.21871863465195465
v_y,m/s,0.2469286930322767,0.19128037378669652
v_y,m/s,0.22706574353693598,0.12578924975875877
v_y,m/s,0.22191148415456563,0.2003837210953428
v_y,m/s,0.19702749810332854,0.1523470926437711
v_y,m/s,0.18489446332533288,0.1243194004309532
v_y,m/s,0.17667260780301647,0.10718125669794522
v_y,m/s,0.16460355185375874,0.11253259717578543
v_y,m/s,0.16399090224086366,0.1143545433576198
v_y,m/s,0.16872350109606926,0.12357573787671938
v_y,m/s,0.17501650984549189,0.16081034533891933
v_y,m/s,0.19968975874527528,0.18310106452211558
v_y,m/s,0.2081426714181398,0.15676317085402583
v_y,m/s,0.22455650118475567,0.2074814277616741
v_y,m/s,0.2549657939853365,0.23935015014127203
v_y,m/s,0.2901456652167069,0.23717288027846004
v_y,m/s,0.3468733623013809,0.24620047096770412
v_y,m/s,0.38993758939334366,0.3499695106253687
v_y,m/s,0.42110113919135106,0.36693444299839717
v_y,m/s,0.44874430079814065,0.42059811100845157
v_y,m/s,0.49662092546306713,0.40749265794586403
v_y,m/s,0.5115522694002603,0.4792990995684631
v_y,m/s,0.5378922868944542,0.5079271296716077
v_y,m/s,0.5254916498679139,0.46175512843891897
v_y,m/s,0.5255863880169951,0.4937260963847422
v_y,m/s,0.5334303685790749,0.47326299989119314
v_y,m/s,0.5171941622785656,0.38000908326678084
v_y,m/s,0.4979397220110302,0.37175691645073744
v_y,m/s,0.4799762661568927,0.4152334706225438
v_y,m/s,0.46220411501449377,0.4331096298649504
v_y,m/s,0.4382864455131701,0.3742623328926282
v_y,m/s,0.4161694442848338,0.3860908420039465
v_y,m/s,0.3894345334686964,0.3249518788461312
v_y,m/s,0.37683652906444287,0.3521423007047347
v_y,m/s,0.3373098587119898,0.2858238162549425
v_y,m/s,0.2966960339165343,0.20981797624652068
v_y,m/s,0.2614167998046675,0.221714302574351
v_y,m/s,0.23657832575709659,0.21013770395557094
v_y,m/s,0.21344546557226263,0.1811457090912354
v_y,m/s,0.19682839214267212,0.17167181205072804
v_y,m/s,0.18885932520000104,0.17115065067833551
v_y,m/s,0.19009257671607305,0.17280422244126914
v_y,m/s,0.19421725598635042,0.1863080257826307
v_y,m/s,0.19479883564096667,0.19052344015424444
v_y,m/s,0.1970576998443443,0.1881881779011802
v_y,m/s,0.1986962075351979,0.1965292872124225
v_y,m/s,0.1808930525175425,0.18578464020950403
v_y,m/s,0.1893724182777703,0.18626896096801013
v_y,m/s,0.19592757070761202,0.19950541661667243
v_y,m/s,0.19648065188054886,0.20131693367027895
v_y,m/s,0.20067712815101402,0.19956975813480074
v_y,m/s,0.19950696926609623,0.20164171316461146
v_y,m/s,0.1980190346024422,0.2015163848848966
v_y,m/s,0.18907506448604217,0.19089002561794788
v_y,m/s,0.18833039580365707,0.19129698659210329
v_y,m/s,0.18841228774456553,0.1926709738986481
v_y,m/s,0.17939442415125129,0.1830902542249464
v_y,m/s,0.18787822868149462,0.19326447135895816
v_y,m/s,0.18988834311885228,0.19136852684832137
v_y,m/s,0.19052181408535063,0.19274882891594283
v_y,m/s,0.18901778492260313,0.2147564035941441
v_y,m/s,0.19113870834550006,0.19201601645016605
v_y,m/s,0.17118719501301172,0.20118857421455644
v_y,m/s,0.16925851970034422,0.17288434677849127
v_y,m/s,0.17158324566833016,0.1762878364000759
v_y,m/s,0.17147918402558737,0.1769883100437363
v_y,m/s,0.161326656586402,0.1745202754756548
v_y,m/s,0.15116263650799588,0.15683261768475046
v_y,m/s,0.14556490516972254,0.15828828907715958
v_y,m/s,0.1342115494042151,0.1386013563415541
v_y,m/s,0.0977049708573432,0.10699955731483424
v_y,m/s,0.058682680205365045,0.06331132434903405
v_y,m/s,0.03680339223040896,0.039697330686268864
v_y,m/s,0.03255004488316793,0.03271964859299447
v_y,m/s,0.03385575283128617,0.031121261564012032
v_y,m/s,0.05560941150664789,0.047397097825356505
v_y,m/s,0.06265718634124973,0.05988333836038658
v_y,m/s,0.07869102273728146,0.06881701980315649
v_y,m/s,0.08549411453282296,0.08089099367964549
v_y,m/s,0.10624624586546538,0.10766258855139856
v_y,m/s,0.11954011761778283,0.11453959950427645
v_y,m/s,0.14094403485431073,0.13362521077874723
v_y,m/s,0.14848323234217453,0.1454586160265324
v_y,m/s,0.1588785046452248,0.15276478049438885
v_y,m/s,0.16437696446371675,0.15992819281613413
v_y,m/s,0.16825335362990756,0.16111646461953177
v_y,m/s,0.16936540678841716,0.1645734158503904
v_y,m/s,0.1683957560771514,0.16280850304833125
v_y,m/s,0.16676586613395372,0.16266690083398774
v_y,m/s,0.16505307346781528,0.16147390999874636
v_y,m/s,0.16651336551562324,0.16424634668777774
v_y,m/s,0.16891732796054093,0.1515890591846424
v_y,m/s,0.16960581876388225,0.16416910875077637
v_y,m/s,0.18485705220695436,0.17956694061837516
v_y,m/s,0.20257490657086485,0.19132627793580745
