signal,unit,t_s,ground_truth,estimate
v_y,m/s,0.000000,0.009025482260811568,-0.010685537959665228
v_y,m/s,0.132000,0.009972666854379142,-0.00899964024104248
v_y,m/s,0.330000,0.012148884406767202,-0.005660774896975137
v_y,m/s,0.528000,0.012294365537960594,0.0003834287848906298
v_y,m/s,0.660000,0.012696902182514513,0.003421366418180718
v_y,m/s,0.792000,0.012414297128328311,0.0050401220300753365
v_y,m/s,0.957000,0.0117147318723414,0.002842222038230882
v_y,m/s,1.056000,0.012132761719453988,0.005654167741331873
v_y,m/s,1.188000,0.012893666662553649,0.009716955702627443
v_y,m/s,1.320000,0.013172745719046475,0.007117606957728815
v_y,m/s,1.452000,0.01304438181604528,0.007202316805802712
v_y,m/s,1.584000,0.014417683347502042,0.007848064469535055
v_y,m/s,1.782000,0.015688642805315567,0.008734669612402532
v_y,m/s,1.914000,0.015895561001063818,0.012675026863316676
v_y,m/s,2.079000,0.01841516541556487,0.007506975625382044
v_y,m/s,2.178000,0.019198278139603175,0.010650210699518539
v_y,m/s,2.277000,0.01999124834775845,0.01623842044262723
v_y,m/s,2.376000,0.01996103514421499,0.012225563501400829
v_y,m/s,2.475000,0.020171202686753986,0.016013236280307305
v_y,m/s,2.640000,0.020465842480164476,0.004144451986869135
v_y,m/s,2.838000,0.022054779128497515,0.004625846988891739
v_y,m/s,2.970000,0.011650054867668125,0.00945301495859723
v_y,m/s,3.102000,0.02163676888750654,0.017711243651281305
v_y,m/s,3.234000,0.026389822538028795,0.017629476364453858
v_y,m/s,3.399000,0.028316279362177177,0.02467041171578346
v_y,m/s,3.564000,0.025924788230726747,0.007195534974914371
v_y,m/s,3.630000,0.026089702628631528,0.021390504818404703
v_y,m/s,3.762000,0.02729979905151847,0.018661988177125104
v_y,m/s,3.828000,0.028028812874604014,0.0229005515863246
v_y,m/s,3.960000,0.029805826538153113,0.02132856803821534
v_y,m/s,4.026000,0.02945097239960326,0.024691055868176305
v_y,m/s,4.158000,0.029359787582544428,0.022246809479569748
v_y,m/s,4.356000,0.03284718443434098,0.023684567543114855
v_y,m/s,4.521000,0.038088980451963295,0.035024448085324095
v_y,m/s,4.620000,0.03831476369821729,0.03281024972538632
v_y,m/s,4.719000,0.03716648478003304,0.03298097440915909
v_y,m/s,4.818000,0.035793485305966044,0.02821796394895023
v_y,m/s,4.917000,0.034719373906967554,0.030368253322831166
v_y,m/s,5.082000,0.03146584792185614,0.02264726536605357
v_y,m/s,5.214000,0.02932750951568952,0.018380412849234286
v_y,m/s,5.346000,0.028326045621754226,0.021700726251279365
v_y,m/s,5.478000,0.030179657690592165,0.020893420681682637
v_y,m/s,5.610000,0.027509758018107178,0.021489928388552394
v_y,m/s,5.808000,0.02866605976944747,0.02175157641147382
v_y,m/s,6.006000,0.029528198127966476,0.02269281577400583
v_y,m/s,6.138000,0.028660841787395697,0.019087482658651
v_y,m/s,6.270000,0.02827530354556984,0.02060322249532273
v_y,m/s,6.402000,0.02972462892147476,0.02276693936800881
v_y,m/s,6.534000,0.032952182053124446,0.027048926257329277
v_y,m/s,6.732000,0.035391728305118164,0.03106517502094387
v_y,m/s,6.930000,0.03240881217666569,0.028484704281374257
v_y,m/s,7.062000,0.02841248014829567,0.023454473699572972
v_y,m/s,7.194000,0.025201303853709334,0.020465298029668948
v_y,m/s,7.359000,0.020048153893887033,0.011332625798616065
v_y,m/s,7.458000,0.0177448957931734,0.01283193195814801
v_y,m/s,7.590000,0.017424406135985393,0.014405896896410775
v_y,m/s,7.722000,0.02086371620413985,0.01410992600117476
v_y,m/s,7.854000,0.02285487927427532,0.016636635882270344
v_y,m/s,7.953000,0.02266022594269579,0.0196548822000729
v_y,m/s,8.052000,0.023761310610234787,0.017168925033125147
v_y,m/s,8.184000,0.02687642477808616,0.021159224957363984
v_y,m/s,8.382000,0.019384408237909767,0.01505377380451389
v_y,m/s,8.514000,0.007955682135708741,0.005927453075998362
v_y,m/s,8.646000,-0.007788543623144406,-0.010871378223617952
v_y,m/s,8.712000,-0.016366432480930726,-0.01942958796661226
v_y,m/s,8.844000,-0.019406782915680765,-0.024775524964100154
v_y,m/s,8.910000,-0.01641416655058414,-0.020437245422801367
v_y,m/s,9.075000,0.0024107424023505075,-0.0007304530914723417
v_y,m/s,9.240000,0.026650450991779095,0.016512948164111616
v_y,m/s,9.372000,0.04041361250220987,0.035609678408380835
v_y,m/s,9.504000,0.0484187590978582,0.0429672751904886
v_y,m/s,9.636000,0.04820144758644851,0.04434409301629226
v_y,m/s,9.834000,0.04243575765067753,0.03796750741538399
v_y,m/s,9.966000,0.038210939112616416,0.03262515063837199
v_y,m/s,10.098000,0.03455225707664411,0.027939621867482677
v_y,m/s,10.230000,0.02984458112278432,0.023856302980678673
v_y,m/s,10.362000,0.026456092950830623,0.021019243743280958
v_y,m/s,10.494000,0.02134903465081628,0.016920366637886982
v_y,m/s,10.626000,0.018725277093055936,0.013280114952301525
v_y,m/s,10.758000,0.016180338996541366,0.012089610254822263
v_y,m/s,10.890000,0.014029090317118076,0.00993272894424057
v_y,m/s,11.022000,0.015448040611978797,0.010119887516740558
v_y,m/s,11.154000,0.013877470157915184,0.010943947329006228
v_y,m/s,11.286000,0.013654019289122132,0.009689876587517026
v_y,m/s,11.352000,0.013915857872998316,0.012324092694661839
v_y,m/s,11.484000,0.014971058165548001,0.011498723050470155
v_y,m/s,11.550000,0.015480548878636924,0.013426494592949523
v_y,m/s,11.682000,0.01672323517534835,0.01146234731849672
v_y,m/s,11.748000,0.016095480361803638,0.014033483449224945
v_y,m/s,11.880000,0.01359627204899816,0.009281029260272081
v_y,m/s,12.012000,0.0110342533262493,0.007373677116802107
v_y,m/s,12.210000,0.004209915997376967,-0.002681530912639526
v_y,m/s,12.342000,0.0006153828665329542,-0.003228251885763086
v_y,m/s,12.540000,-0.005072903545322305,-0.015409878592182473
v_y,m/s,12.639000,-0.0071710774769861985,-0.010220596548542434
v_y,m/s,12.804000,-0.0054961818133012486,-0.012569016200869322
v_y,m/s,12.936000,-0.0017931720210153657,-0.008582500926284743
v_y,m/s,13.068000,0.0026962008370361445,-0.001740139560159934
v_y,m/s,13.200000,0.00774925919617786,0.0016146372944435684
v_y,m/s,13.398000,0.015357721593826312,0.0026069790770634274
v_y,m/s,13.530000,0.016918050937837492,0.01051605186790805
v_y,m/s,13.662000,0.015797193673293464,0.008903309171769118
v_y,m/s,13.794000,0.009460089328152677,0.004763292170562318
v_y,m/s,13.992000,-0.0019753998567271225,-0.006085940037465652
v_y,m/s,14.124000,-0.009413473259337835,-0.016047739948277802
v_y,m/s,14.256000,-0.01103242525397885,-0.018259706723296156
v_y,m/s,14.388000,-0.009390161715033152,-0.01697502633673881
v_y,m/s,14.520000,-0.0058707070407795214,-0.01381388826945422
v_y,m/s,14.652000,-0.0019833361220422674,-0.008132121162460492
v_y,m/s,14.784000,0.001224418022468754,-0.005684367915987697
v_y,m/s,14.916000,0.004180154931071378,-0.005238706348050763
v_y,m/s,15.048000,0.00704769224364199,-0.001252124540129399
v_y,m/s,15.180000,0.008230157331113652,-0.0017952985306670527
v_y,m/s,15.279000,0.00863636942346524,0.003646772886188609
v_y,m/s,15.378000,0.007729832510632306,-0.0018862296723419648
v_y,m/s,15.477000,0.007381496702516976,0.0024727888630948786
v_y,m/s,15.576000,0.006915595984465561,-0.0029375883826157616
v_y,m/s,15.675000,0.007154023839206047,0.0025717129083329265
v_y,m/s,15.774000,0.00785212596485696,-0.0014503869408313119
v_y,m/s,15.873000,0.010817351760596061,0.007396136976853381
v_y,m/s,15.972000,0.014200043718824773,0.006450407270595906
v_y,m/s,16.071000,0.01583117620090224,0.015082257999277777
v_y,m/s,16.170000,0.014126040593077427,0.012405696309463858
v_y,m/s,16.269000,0.011876767844501757,0.014709140291908816
