signal_key,Signal,N,RMSE,MAE,NRMSE,MaxAE,Bias,Std,R2
fl_fy,FL Fy,977,174.442,140.243,15.941,401.797,-8.618,174.229,0.378
fr_fy,FR Fy,977,186.928,152.418,12.927,507.711,-11.432,186.578,0.369
rl_fy,RL Fy,977,170.829,137.351,12.021,389.933,-10.977,170.476,0.385
rr_fy,RR Fy,977,180.379,144.861,14.213,410.571,-9.479,180.130,0.387
front_sum_fy,Front axle Fy sum,977,360.483,292.607,14.190,765.991,-20.050,359.925,0.373
rear_sum_fy,Rear axle Fy sum,977,351.096,282.126,13.051,800.504,-20.456,350.499,0.386
total_sum_fy,Vehicle total Fy sum,977,661.323,516.641,12.643,1433.996,-40.507,660.082,0.398
v_y,Lateral velocity v_y,1778,0.194,0.138,1.867,1.270,-0.010,0.194,0.994
omega,Yaw rate omega,1778,0.083,0.063,0.796,0.422,0.006,0.083,0.967
v_y_persistence,v_y persistence baseline,1778,0.240,0.138,2.303,2.299,0.016,0.239,0.991
omega_persistence,omega persistence baseline,1778,0.099,0.070,0.948,0.617,-0.003,0.099,0.954
front_mu,Front axle peak friction $\mu_f$,977,0.285,0.276,0.408,0.300,0.267,0.101,N/A
rear_mu,Rear axle peak friction $\mu_r$,977,0.290,0.288,0.415,0.300,0.254,0.141,N/A
