stamp_sec,fl_fy_gt,fl_fy_est,fr_fy_gt,fr_fy_est,rl_fy_gt,rl_fy_est,rr_fy_gt,rr_fy_est,front_sum_gt,front_sum_est,rear_sum_gt,rear_sum_est,total_sum_gt,total_sum_est
1788714226.8494935,-0.6401726007461548,-0.72414120535586,-0.6423513293266296,-0.7582482292740658,-14.335698127746582,-14.856898526881533,-14.457457542419434,-15.658221550153328,-1.2825239300727844,-1.4823894346299258,-28.793155670166016,-30.51512007703486,-30.0756796002388,-31.997509511664788
1788714227.0144935,-1.7406216859817505,-1.8835952000569898,-1.674685001373291,-1.9796438741362652,-13.934386253356934,-13.755065513233978,-13.420245170593262,-14.50326672641597,-3.4153066873550415,-3.863239074193255,-27.354631423950195,-28.258332239649945,-30.769938111305237,-32.1215713138432
1788714227.1794934,-3.332493305206299,-3.549044081234391,-3.2258522510528564,-3.7322891079920186,-11.641517639160156,-11.40588162082741,-11.370235443115234,-12.012048231677467,-6.558345556259155,-7.28133318922641,-23.01175308227539,-23.417929852504876,-29.570098638534546,-30.699263041731285
1788714227.3444934,-4.821978569030762,-5.361017626995874,-5.009408950805664,-5.620969580668561,-8.634124755859375,-8.824901022175016,-9.026744842529297,-9.339453859205994,-9.831387519836426,-10.981987207664435,-17.660869598388672,-18.16435488138101,-27.492257118225098,-29.146342089045444
1788714227.5094936,-5.521657943725586,-6.188498145047239,-5.821538925170898,-6.514929578299909,-9.16968822479248,-9.499195072437857,-9.693791389465332,-10.031969261075,-11.343196868896484,-12.703427723347147,-18.863479614257812,-19.531164333512855,-30.206676483154297,-32.23459205686
1788714227.6744936,-4.203409194946289,-4.7690737112524415,-4.434929370880127,-5.017988969253867,-8.837959289550781,-9.22071616850799,-9.346399307250977,-9.724739041797896,-8.638338565826416,-9.78706268050631,-18.184358596801758,-18.945455210305887,-26.822697162628174,-28.732517890812197
1788714227.8394935,-4.315866947174072,-4.92548122551667,-4.554380416870117,-5.179335087698162,-8.833106994628906,-9.328609960345185,-9.324188232421875,-9.758083344974947,-8.87024736404419,-10.104816313214831,-18.15729522705078,-19.086693305320132,-27.02754259109497,-29.191509618534965
1788714228.0044935,-5.683314323425293,-6.5052878402133665,-6.074033260345459,-6.921961016181765,-10.340082168579102,-10.974454628928383,-10.98962688446045,-11.67113234884196,-11.757347583770752,-13.427248856395131,-21.32970905303955,-22.645586977770343,-33.0870566368103,-36.072835834165474
1788714228.1694934,-2.7056984901428223,-3.1366216374918525,-2.863335371017456,-3.3083848510807115,-7.983231067657471,-8.507023712860015,-8.461204528808594,-8.984723572572745,-5.569033861160278,-6.445006488572564,-16.444435596466064,-17.49174728543276,-22.013469457626343,-23.93675377400532
1788714228.3344934,-2.3382272720336914,-2.7363940341689004,-2.4729700088500977,-2.8808699768958723,-7.893810272216797,-8.54493434285371,-8.365001678466797,-9.0233847405113,-4.811197280883789,-5.617264011064773,-16.258811950683594,-17.56831908336501,-21.070009231567383,-23.185583094429784
1788714228.4994936,-1.4748849868774414,-1.7451477543972855,-1.5602432489395142,-1.834479434989909,-7.323545455932617,-8.004060989384696,-7.744965076446533,-8.406014157236147,-3.0351282358169556,-3.5796271893871943,-15.06851053237915,-16.41007514662084,-18.103638768196106,-19.989702336008037
1788714228.6644936,-2.214052438735962,-2.617249465610701,-2.3448898792266846,-2.7561669444951016,-8.185938835144043,-8.94678300462827,-8.676636695861816,-9.430084971368002,-4.5589423179626465,-5.373416410105802,-16.86257553100586,-18.37686797599627,-21.421517848968506,-23.750284386102074
1788714228.8294935,-1.922393798828125,-2.2978429415048773,-2.034111976623535,-2.4143972041655095,-8.081116676330566,-8.961613059370457,-8.55743408203125,-9.421110136016186,-3.95650577545166,-4.712240145670387,-16.638550758361816,-18.382723195386642,-20.595056533813477,-23.09496334105703
1788714228.9944935,-2.1915957927703857,-2.645104041324514,-2.3235201835632324,-2.7883349490010416,-8.70565414428711,-9.687546342373352,-9.258011817932129,-10.254003586318609,-4.515115976333618,-5.4334389903255556,-17.96366596221924,-19.941549928691963,-22.478781938552856,-25.374988919017518
1788714229.0604935,-1.9281843900680542,-2.3220005078110977,-2.0464344024658203,-2.450492691254985,-8.621755599975586,-9.593253956879472,-9.151200294494629,-10.122135192024691,-3.9746187925338745,-4.772493199066083,-17.772955894470215,-19.715389148904165,-21.74757468700409,-24.48788234797025
1788714229.0934935,-2.0083048343658447,-2.4176697111739713,-2.130336284637451,-2.549087506122527,-8.478758811950684,-9.519335154428743,-8.991519927978516,-10.028850197170339,-4.138641119003296,-4.966757217296498,-17.4702787399292,-19.54818535159908,-21.608919858932495,-24.514942568895577
1788714229.1594934,-2.4303462505340576,-2.909047127736459,-2.583544969558716,-3.0765514987610776,-8.861062049865723,-9.944604087032983,-9.422242164611816,-10.528176532461698,-5.013891220092773,-5.985598626497536,-18.28330421447754,-20.47278061949468,-23.297195434570312,-26.45837924599222
1788714229.1924934,-1.6650340557098389,-1.996312016842631,-1.7688053846359253,-2.1078078563720313,-8.35654067993164,-9.373753372353008,-8.874372482299805,-9.898543878631376,-3.433839440345764,-4.104119873214662,-17.230913162231445,-19.272297250984384,-20.66475260257721,-23.376417124199044
1788714229.2254934,-1.5652559995651245,-1.87760554836242,-1.665002465248108,-1.9865416798767233,-8.752852439880371,-9.804891613027712,-9.261107444763184,-10.251672629385709,-3.2302584648132324,-3.864147228239143,-18.013959884643555,-20.056564242413423,-21.244218349456787,-23.920711470652567
1788714229.2584934,-11.853107452392578,-13.994272361370676,-13.194862365722656,-16.103388608376957,-16.603557586669922,-17.805347257070476,-18.6325626373291,-20.578975052297963,-25.047969818115234,-30.097660969747633,-35.23612022399902,-38.38432230936844,-60.28409004211426,-68.48198327911608
1788714229.3574934,3.6264517307281494,4.339561714219325,3.852226972579956,4.595071269028244,-3.6596879959106445,-4.048837302688761,-3.906881809234619,-4.308179734690526,7.4786787033081055,8.93463298324757,-7.566569805145264,-8.357017037379286,-0.0878911018371582,0.577615945868283
1788714229.3904934,3.187514543533325,3.8223534009527427,3.3750150203704834,4.026013550496763,-4.248307704925537,-4.717153982716066,-4.522103309631348,-4.994966277002234,6.562529563903809,7.848366951449505,-8.770411014556885,-9.7121202597183,-2.207881450653076,-1.8637533082687954
1788714229.4234934,2.4233109951019287,2.9248962839892894,2.5617568492889404,3.075777898020219,-5.426770210266113,-6.041113303869034,-5.679201602935791,-6.250592361085238,4.985067844390869,6.000674182009508,-11.105971813201904,-12.291705664954272,-6.120903968811035,-6.2910314829447636
1788714229.4894936,1.1180773973464966,1.3509415323756087,1.1778160333633423,1.4147596423769189,-6.364931106567383,-7.09641166848627,-6.768096446990967,-7.498781273353768,2.295893430709839,2.7657011747525275,-13.13302755355835,-14.595192941840038,-10.83713412284851,-11.82949176708751
1788714229.5224936,0.7300857305526733,0.883039318197724,0.768220841884613,0.9230492242912326,-6.761005401611328,-7.602478530632809,-7.184386730194092,-8.026334831283227,1.4983065724372864,1.8060885424889566,-13.94539213180542,-15.628813361916038,-12.447085559368134,-13.822724819427082
