signal,unit,ground_truth,estimate
fl_fy,N,-0.6401726007461548,-0.72414120535586
fl_fy,N,-1.7406216859817505,-1.8835952000569898
fl_fy,N,-3.332493305206299,-3.549044081234391
fl_fy,N,-4.821978569030762,-5.361017626995874
fl_fy,N,-5.521657943725586,-6.188498145047239
fl_fy,N,-4.203409194946289,-4.7690737112524415
fl_fy,N,-4.315866947174072,-4.92548122551667
fl_fy,N,-5.683314323425293,-6.5052878402133665
fl_fy,N,-2.7056984901428223,-3.1366216374918525
fl_fy,N,-2.3382272720336914,-2.7363940341689004
fl_fy,N,-1.4748849868774414,-1.7451477543972855
fl_fy,N,-2.214052438735962,-2.617249465610701
fl_fy,N,-1.922393798828125,-2.2978429415048773
fl_fy,N,-2.1915957927703857,-2.645104041324514
fl_fy,N,-1.9281843900680542,-2.3220005078110977
fl_fy,N,-2.0083048343658447,-2.4176697111739713
fl_fy,N,-2.4303462505340576,-2.909047127736459
fl_fy,N,-1.6650340557098389,-1.996312016842631
fl_fy,N,-1.5652559995651245,-1.87760554836242
fl_fy,N,-11.853107452392578,-13.994272361370676
fl_fy,N,3.6264517307281494,4.339561714219325
fl_fy,N,3.187514543533325,3.8223534009527427
fl_fy,N,2.4233109951019287,2.9248962839892894
fl_fy,N,1.1180773973464966,1.3509415323756087
fl_fy,N,0.7300857305526733,0.883039318197724
fl_fy,N,0.3693402409553528,0.44700616378727714
fl_fy,N,0.15239708125591278,0.18488461051974478
fl_fy,N,0.5577387809753418,0.673914737820088
fl_fy,N,-0.2988477051258087,-0.3619818274876481
fl_fy,N,0.3147770166397095,0.38168441368419526
fl_fy,N,0.22938655316829681,0.2803821277375968
fl_fy,N,-0.4290781021118164,-0.5183474254229558
fl_fy,N,0.8957008123397827,1.0867449952711692
fl_fy,N,-1.7102186679840088,-2.078561320528113
fl_fy,N,-2.037254810333252,-2.4773599888868825
fl_fy,N,-1.6255813837051392,-1.9736293467027426
fl_fy,N,-1.4589109420776367,-1.7871532527248044
fl_fy,N,0.19196675717830658,0.23496598941000266
fl_fy,N,-1.9019845724105835,-2.330758010706553
fl_fy,N,-1.5662317276000977,-1.9215736458254973
fl_fy,N,-1.4536110162734985,-1.7671824157158784
fl_fy,N,1.422324776649475,1.7319506804133953
fl_fy,N,1.0172382593154907,1.2400435386579634
fl_fy,N,-0.1016085147857666,-0.12479314673064058
fl_fy,N,-0.6410093903541565,-0.7869304548784981
fl_fy,N,-0.32466191053390503,-0.3970895812283756
fl_fy,N,-0.27415475249290466,-0.3358276638897517
fl_fy,N,0.9014718532562256,1.1050618646018326
fl_fy,N,-0.5878816843032837,-0.7201455017883883
fl_fy,N,-0.338565468788147,-0.4170023522418557
fl_fy,N,-0.2322711944580078,-0.28608807380256046
fl_fy,N,0.47696956992149353,0.585920478109033
fl_fy,N,0.9351818561553955,1.1435494169775586
fl_fy,N,0.29888850450515747,0.3678681138177435
fl_fy,N,0.34708380699157715,0.4267217764205108
fl_fy,N,0.8799781799316406,1.0826079551088346
fl_fy,N,2.0025887489318848,2.456211616838893
fl_fy,N,1.8940443992614746,2.318609445422724
fl_fy,N,0.731351912021637,0.8956085400678063
fl_fy,N,0.5434187054634094,0.6623586900294189
fl_fy,N,7.146145820617676,9.002448814983548
fl_fy,N,3.831425189971924,4.696934580952076
fl_fy,N,1.7150224447250366,2.107493753331093
fl_fy,N,1.7233730554580688,2.134324108064165
fl_fy,N,2.927619695663452,3.610191599251639
fl_fy,N,3.0210864543914795,3.724181263234231
fl_fy,N,2.9557886123657227,3.648052623620056
fl_fy,N,1.6071903705596924,1.9880015858048945
fl_fy,N,2.276001453399658,2.7895526319591504
fl_fy,N,2.8880960941314697,3.5999516013862913
fl_fy,N,2.2509474754333496,2.7919911348872777
fl_fy,N,0.5873280167579651,0.7283250116429005
fl_fy,N,6.783638954162598,8.409092940647163
fl_fy,N,3.12087345123291,3.844740016043096
fl_fy,N,2.4464240074157715,3.0144531745449257
fl_fy,N,1.67946195602417,2.0650335792950587
fl_fy,N,1.6806671619415283,2.0656582361337277
fl_fy,N,1.793235182762146,2.208215768782497
fl_fy,N,1.6267554759979248,2.015521151644425
fl_fy,N,0.4131738245487213,0.5115885686927627
fl_fy,N,-0.6562910676002502,-0.8077710918988517
fl_fy,N,0.8056758642196655,0.9897123542552578
fl_fy,N,0.1263742744922638,0.15563529959038128
fl_fy,N,0.7725712060928345,0.9518600439597324
fl_fy,N,-0.2697342038154602,-0.33333159727393175
fl_fy,N,-0.20974396169185638,-0.2581635648443803
fl_fy,N,0.6740275621414185,0.8303044939757651
fl_fy,N,0.0955791249871254,0.11788023757510371
fl_fy,N,-1.7733491659164429,-2.176172984350215
fl_fy,N,-1.2909237146377563,-1.5851568696335938
fl_fy,N,-1.5273476839065552,-1.8923160463295805
fl_fy,N,-0.8585429191589355,-1.074595585400002
fl_fy,N,-3.7870614528656006,-4.679921105816685
fl_fy,N,-3.9588840007781982,-4.869473376221689
fl_fy,N,-3.72499942779541,-4.571514497690988
fl_fy,N,-1.7818713188171387,-2.1807058735892784
fl_fy,N,-2.29707670211792,-2.781317480774139
fl_fy,N,-2.761199712753296,-3.326862744530405
fl_fy,N,-2.5590407848358154,-3.0816103385670686
fl_fy,N,-3.3021717071533203,-3.955565110001888
fl_fy,N,-2.632211208343506,-3.1732200546991036
fl_fy,N,-2.224839925765991,-2.670045252802892
fl_fy,N,-2.3692362308502197,-2.83098810617593
fl_fy,N,-2.378286838531494,-2.8118207516025353
fl_fy,N,-2.8570077419281006,-3.3548573592907442
fl_fy,N,-2.5519330501556396,-2.9541307621453905
fl_fy,N,-1.402400016784668,-1.6211558757269984
fl_fy,N,-1.0870237350463867,-1.2297372076812065
fl_fy,N,-1.7845855951309204,-2.0317013216453494
fl_fy,N,-1.8011369705200195,-2.061495366972185
fl_fy,N,-0.7175261974334717,-0.823989492699791
fl_fy,N,-0.6477611660957336,-0.7422339660629718
fl_fy,N,0.2891315519809723,0.3453484380996875
fl_fy,N,-1.479977011680603,-1.6827854185252364
fl_fy,N,-2.0388269424438477,-2.2661276950217726
fl_fy,N,-0.5822438597679138,-0.6577318944136505
fl_fy,N,-2.2598936557769775,-2.542425230279939
fl_fy,N,-2.811943769454956,-3.115156661343703
fl_fy,N,-3.565139055252075,-3.940016820046085
fl_fy,N,-3.348085403442383,-3.6656791672589333
fl_fy,N,-1.678593635559082,-1.835511777924226
fl_fy,N,-1.9845086336135864,-2.124207350129912
fl_fy,N,-0.6467452049255371,-0.7028010587445473
fl_fy,N,0.6574656963348389,0.7132492304346308
fl_fy,N,0.7800998091697693,0.859559210613716
fl_fy,N,1.3555054664611816,1.4471447524995316
fl_fy,N,3.2402448654174805,3.4431073577917006
fl_fy,N,0.7922526597976685,0.8354685857064251
fl_fy,N,1.9271725416183472,2.016287081981649
fl_fy,N,3.7346646785736084,3.9528726852481353
fl_fy,N,0.3053867220878601,0.3277244672004857
fl_fy,N,0.08037052303552628,0.08629904899884663
fl_fy,N,0.7872531414031982,0.8478406917648877
fl_fy,N,0.05164239555597305,0.056569058598493524
fl_fy,N,-1.0227255821228027,-1.1229831051386103
fl_fy,N,-0.09279629588127136,-0.1014465155622723
fl_fy,N,-0.07873398810625076,-0.08620808553684566
fl_fy,N,-0.9718382358551025,-1.0620614209024404
fl_fy,N,-2.076019525527954,-2.2856012610851137
fl_fy,N,-2.5882012844085693,-2.850309627918693
fl_fy,N,-2.013235092163086,-2.179489701663728
fl_fy,N,-5.416462421417236,-5.836033908905283
fl_fy,N,-6.771060943603516,-7.219145867945054
fl_fy,N,-8.86008071899414,-9.412898049936748
fl_fy,N,-9.967480659484863,-10.598939862917575
fl_fy,N,-10.23853874206543,-10.623995388467868
fl_fy,N,-11.509055137634277,-12.178734154184673
fl_fy,N,-13.960984230041504,-14.960368899149568
fl_fy,N,-15.100907325744629,-16.253009640448166
fl_fy,N,-13.829728126525879,-14.952925101160512
fl_fy,N,-15.279688835144043,-16.903955673205914
fl_fy,N,-16.087722778320312,-17.848222746934862
fl_fy,N,-16.864730834960938,-18.67131599971495
fl_fy,N,-15.987652778625488,-17.862680814412148
fl_fy,N,-15.556595802307129,-17.414283076717776
fl_fy,N,-14.511109352111816,-16.157084523254785
fl_fy,N,-14.60589599609375,-16.32406828818413
fl_fy,N,-13.56047248840332,-15.19683837709384
fl_fy,N,-13.624995231628418,-15.34170229545901
fl_fy,N,-13.920372009277344,-15.67481679326657
fl_fy,N,-12.81367301940918,-14.45216011145967
fl_fy,N,-12.128413200378418,-13.756771103397785
fl_fy,N,-11.526139259338379,-13.106463434416677
fl_fy,N,-9.442584991455078,-10.919622099003256
fl_fy,N,-9.391495704650879,-10.861605710860575
fl_fy,N,-9.114429473876953,-10.544943103715529
fl_fy,N,-8.863210678100586,-10.263955280801186
fl_fy,N,-8.144927024841309,-9.305531628651678
fl_fy,N,-6.962305068969727,-8.020754241816572
fl_fy,N,-7.079563617706299,-8.215312594683525
fl_fy,N,-6.8506340980529785,-7.9170729408199705
fl_fy,N,-7.114819526672363,-8.236950344548585
fl_fy,N,-6.392439365386963,-7.419888493201768
fl_fy,N,-5.822222709655762,-6.789796913197478
fl_fy,N,-6.085468769073486,-7.088116796217739
fl_fy,N,-5.8174943923950195,-6.769491313165645
fl_fy,N,-6.154935836791992,-7.19444180395532
fl_fy,N,-5.901120185852051,-6.866803444729119
fl_fy,N,-5.612241744995117,-6.48874269244558
fl_fy,N,-4.596537113189697,-5.281543354197157
fl_fy,N,-4.31641960144043,-4.937378560894885
fl_fy,N,-2.9674322605133057,-3.338589979507182
fl_fy,N,-3.172966241836548,-3.517975125564631
fl_fy,N,-2.881086826324463,-3.175728649642142
fl_fy,N,-3.792529344558716,-4.2137943465133
fl_fy,N,-2.5552377700805664,-2.796522606433837
fl_fy,N,-3.098721981048584,-3.3793299323199424
fl_fy,N,-1.5671212673187256,-1.6952361784248862
fl_fy,N,-1.2554031610488892,-1.346629319412113
fl_fy,N,0.5778291821479797,0.6076675915171824
fl_fy,N,1.2936806678771973,1.3653519630983
fl_fy,N,0.10621630400419235,0.1118187769666803
fl_fy,N,0.875948429107666,0.9420794264607758
fl_fy,N,0.7850803136825562,0.8559264246927678
fl_fy,N,1.2635619640350342,1.3843336103389183
fl_fy,N,1.2002602815628052,1.3211080571251246
fl_fy,N,1.708726406097412,1.8925390415578143
