signal,unit,t_s,ground_truth,estimate
v_y,m/s,0.000000,0.012529801394217444,0.01017371335640841
v_y,m/s,0.099000,0.013618697967744176,0.008424091503365077
v_y,m/s,0.198000,0.014190935286649164,0.008848080857325798
v_y,m/s,0.297000,0.015070411890875768,0.008669599020384175
v_y,m/s,0.363000,0.015080835744400112,0.012157673607792473
v_y,m/s,0.462000,0.015922906817475102,0.012692483194106416
v_y,m/s,0.561000,0.016390697841541346,0.013166297874884374
v_y,m/s,0.660000,0.01708004911191985,0.013800150816675193
v_y,m/s,0.792000,0.017108959018934833,0.008332654634531405
v_y,m/s,0.858000,0.017125321891117373,0.014055432593486948
v_y,m/s,0.957000,0.01652380362144168,0.01092185052359253
v_y,m/s,1.023000,0.016374869219942134,0.01437278904563448
v_y,m/s,1.089000,0.0026295015444848246,0.003440844806523115
v_y,m/s,1.221000,0.014318221264845832,0.011752492901322242
v_y,m/s,1.287000,0.01683902879101762,0.01404108699676561
v_y,m/s,1.419000,0.019357953463986277,0.01649977107822564
v_y,m/s,1.485000,0.01953069156361753,0.01646912676833472
v_y,m/s,1.617000,0.020912234827883402,0.01484995396435694
v_y,m/s,1.683000,0.02106597838057933,0.017427704528522416
v_y,m/s,1.815000,0.021356984791863987,0.017007492401233254
v_y,m/s,1.914000,0.02088765793717151,0.013508323332555396
v_y,m/s,1.980000,0.021424047361406018,0.019668048672613948
v_y,m/s,2.112000,0.022147107933133015,0.013809043388235886
v_y,m/s,2.178000,0.022297524846992545,0.019685100706387543
v_y,m/s,2.310000,0.02117826040905335,0.012489920302616257
v_y,m/s,2.376000,0.020754010092528752,0.018325571297138188
v_y,m/s,2.508000,0.019329091925391673,0.011400773512827374
v_y,m/s,2.607000,0.01895684896301386,0.014802438661487543
v_y,m/s,2.739000,0.017928499764597206,0.015831994677891266
v_y,m/s,2.937000,0.017898288202069068,0.013590239082063357
v_y,m/s,3.135000,0.016981460904693435,0.0065539478262085
v_y,m/s,3.333000,0.015446011863134324,0.0053758206862201605
v_y,m/s,3.432000,0.01729913398239269,0.017652430930158863
v_y,m/s,3.597000,0.018804928027347678,0.015441641002292074
v_y,m/s,3.729000,0.01965133124259122,0.012045727368446692
v_y,m/s,3.828000,0.020047933873699186,0.018531548347469014
v_y,m/s,3.993000,0.022178414085495035,0.018091933102617853
v_y,m/s,4.125000,0.02406059487010559,0.019305494465084318
v_y,m/s,4.257000,0.02930612345532424,0.025126837323888943
v_y,m/s,4.422000,0.03130621879583462,0.02635243491694012
v_y,m/s,4.521000,0.0333283134165514,0.029826871175281395
v_y,m/s,4.719000,0.028812245781255186,0.02429023512352941
v_y,m/s,4.851000,0.026334257309020614,0.022334018892925744
v_y,m/s,4.983000,0.023371884471199422,0.020004254915225943
v_y,m/s,5.115000,0.02237637513279722,0.01887100825135386
v_y,m/s,5.247000,0.02201281885287365,0.019224341072741943
v_y,m/s,5.445000,0.022909716384900136,0.016213844149396472
v_y,m/s,5.643000,0.021023215224273528,0.014806396173688752
v_y,m/s,5.775000,0.016558566327351087,0.012811689428997226
v_y,m/s,5.907000,0.00929710676737372,0.0030524240733691282
v_y,m/s,6.072000,0.0036241959412190994,-0.006134353617585353
v_y,m/s,6.171000,-0.0003663334005921115,-0.008689447631593888
v_y,m/s,6.303000,-0.0035432561068891033,-0.007973167297939695
v_y,m/s,6.435000,-0.0054457066940187815,-0.01141076593820111
v_y,m/s,6.501000,-0.006865362658016849,-0.010461159456178521
v_y,m/s,6.633000,-0.004668329407115479,-0.011414340600801428
v_y,m/s,6.699000,-0.0027726472122218127,-0.006019957649613857
v_y,m/s,6.864000,0.006280466934089901,0.001831603361863217
v_y,m/s,7.029000,0.021572652051750296,0.006414057353702787
v_y,m/s,7.095000,0.028720681073993504,0.024813657521637476
v_y,m/s,7.260000,0.04316460062563898,0.039452537349296796
v_y,m/s,7.359000,0.04737322512137787,0.03877634062170672
