signal,unit,error_gt_minus_est
v_y,m/s,0.002148912056334676
v_y,m/s,0.0015604233143133965
v_y,m/s,0.00387630209594462
v_y,m/s,0.0021924549865865867
v_y,m/s,0.001466909399530621
v_y,m/s,0.0036087720314650733
v_y,m/s,0.001748432365569907
v_y,m/s,0.0014106610064484708
v_y,m/s,0.0019135863995846762
v_y,m/s,0.0027886883288426555
v_y,m/s,0.0013463791826446234
v_y,m/s,0.002268596659675961
v_y,m/s,0.0025172927692799774
v_y,m/s,0.0019360017848460802
v_y,m/s,0.0022106141097844364
v_y,m/s,0.005464315074811061
v_y,m/s,0.0028880676480918313
v_y,m/s,0.0022064482224849954
v_y,m/s,0.002592585711495579
v_y,m/s,0.002598832163360834
v_y,m/s,0.0017771915562475732
v_y,m/s,0.0008211088740528935
v_y,m/s,0.0009551553153260145
v_y,m/s,0.0005597383736216724
v_y,m/s,0.001453048312144073
v_y,m/s,0.008168419818070302
v_y,m/s,0.013448409214236484
v_y,m/s,0.012459640127537017
v_y,m/s,0.010802734528610997
v_y,m/s,0.008192200665785116
v_y,m/s,0.00591352719832753
v_y,m/s,0.00212201050767314
v_y,m/s,0.0014006904841592088
v_y,m/s,0.0010147199732440382
v_y,m/s,8.02380795809493e-05
v_y,m/s,-0.0014276586925600406
v_y,m/s,-0.005119561474040302
v_y,m/s,0.00036625076769829235
v_y,m/s,0.0016718210440005987
v_y,m/s,0.002130521536066632
v_y,m/s,0.0031756537091865433
v_y,m/s,0.004851677985862127
v_y,m/s,0.004970620819472402
v_y,m/s,0.008093741116088071
v_y,m/s,0.004035813470958369
v_y,m/s,0.0029265837924953436
v_y,m/s,0.005329357391784861
v_y,m/s,0.0028321921965044905
v_y,m/s,4.915374345243473e-05
v_y,m/s,-0.0009058510611771597
v_y,m/s,-0.001272720124918969
v_y,m/s,-0.011201336744648682
v_y,m/s,-0.010690616104958528
v_y,m/s,-0.015463243804159255
v_y,m/s,-0.011087212413083358
v_y,m/s,-0.017390403777092223
v_y,m/s,-0.03283453043370754
v_y,m/s,-0.03427943457902494
v_y,m/s,-0.014694129703194725
v_y,m/s,-0.024425934819463757
v_y,m/s,-0.05809959357817929
v_y,m/s,-0.06519058878677453
v_y,m/s,-0.02602076302332401
v_y,m/s,-0.05627762539485681
v_y,m/s,-0.03471738375396394
v_y,m/s,-0.02259791190517335
v_y,m/s,-0.021723796350891278
v_y,m/s,-0.07354580669713884
v_y,m/s,-0.04189341813240316
v_y,m/s,-0.08007856070641495
v_y,m/s,-0.031874776206993416
v_y,m/s,-0.03918803021121342
v_y,m/s,-0.06110773273975696
v_y,m/s,-0.03300643610996777
v_y,m/s,-0.030032063551417257
v_y,m/s,-0.027087626133658962
v_y,m/s,-0.014204366234856158
v_y,m/s,-0.03586697176912888
v_y,m/s,-0.04526384579350086
v_y,m/s,-0.02449347855254433
v_y,m/s,-0.029901153465862446
v_y,m/s,-0.034575227978259016
v_y,m/s,-0.02974920594342967
v_y,m/s,-0.039906373008503526
v_y,m/s,-0.036316993149347554
v_y,m/s,-0.030664828308453074
v_y,m/s,-0.04500559731379167
v_y,m/s,-0.030325332733784682
v_y,m/s,-0.00520965677547669
v_y,m/s,-0.0002730035019131716
v_y,m/s,-0.0031409497774836925
v_y,m/s,0.0030699655019197913
v_y,m/s,0.0032439118131988576
v_y,m/s,0.0038274539263747354
v_y,m/s,0.0025230266083828
v_y,m/s,0.0005031725791912814
v_y,m/s,-0.00034030855948466096
v_y,m/s,-0.003132005396026095
v_y,m/s,-0.005730247672238153
v_y,m/s,-0.005834827431715489
v_y,m/s,-0.006818228793397933
v_y,m/s,-0.007436404668529621
v_y,m/s,-0.0039707834434887235
v_y,m/s,-0.002034424504805607
v_y,m/s,-0.006481679166049331
v_y,m/s,-0.01121010219580676
v_y,m/s,0.006118565601979209
v_y,m/s,0.0069590749169178845
v_y,m/s,0.01588994239745084
v_y,m/s,0.06079473384259507
v_y,m/s,0.013173046262275834
v_y,m/s,0.01560032035988912
v_y,m/s,0.018150814177174235
v_y,m/s,0.06653783123571533
v_y,m/s,0.027395345456619036
v_y,m/s,0.025466700473920523
v_y,m/s,0.026473936066093606
v_y,m/s,0.02327406795760112
v_y,m/s,0.02151370468855046
v_y,m/s,0.018235714139083647
v_y,m/s,0.05614325675391291
v_y,m/s,0.021019418056822448
v_y,m/s,0.021819663338139395
v_y,m/s,0.0071307400681834
v_y,m/s,0.03602016552981757
v_y,m/s,0.010259557007220255
v_y,m/s,0.031910424841751356
v_y,m/s,0.020422668453834725
v_y,m/s,0.020939067486256346
v_y,m/s,0.023588357991138342
v_y,m/s,0.02634361019833148
v_y,m/s,0.08273759993695534
v_y,m/s,0.05487701492936681
v_y,m/s,0.04650077412292675
v_y,m/s,0.05194090011268088
v_y,m/s,0.04398096333606971
v_y,m/s,0.028998484711491745
v_y,m/s,0.034982940684434916
v_y,m/s,0.02301167855001285
v_y,m/s,0.014181471837781678
v_y,m/s,0.030203960523860096
v_y,m/s,0.02988164789751807
v_y,m/s,0.03575079104055651
v_y,m/s,0.022939586441132198
v_y,m/s,0.07818344268821592
v_y,m/s,0.02608144123385092
v_y,m/s,0.020952706151438516
v_y,m/s,0.05320003369240783
