signal,unit,ground_truth,estimate
v_y,m/s,0.014051700672212064,0.011902788615877388
v_y,m/s,0.013766904638230493,0.012206481323917096
v_y,m/s,0.015011845316264427,0.011135543220319807
v_y,m/s,0.016888598080782913,0.014696143094196326
v_y,m/s,0.01517120575724551,0.013704296357714888
v_y,m/s,0.0161434975323278,0.012534725500862726
v_y,m/s,0.016570576448528662,0.014822144082958755
v_y,m/s,0.017333690941701896,0.015923029935253425
v_y,m/s,0.014683699651109272,0.012770113251524596
v_y,m/s,0.021684727882592014,0.01889603955374936
v_y,m/s,0.020294641614897913,0.01894826243225329
v_y,m/s,0.019667466960064495,0.017398870300388534
v_y,m/s,0.016962042137833144,0.014444749368553167
v_y,m/s,0.016738244223489573,0.014802242438643493
v_y,m/s,0.01384360304689558,0.011632988937111144
v_y,m/s,0.01499910322463549,0.00953478814982443
v_y,m/s,0.016177254186788836,0.013289186538697005
v_y,m/s,0.019890312080938166,0.01768386385845317
v_y,m/s,0.027512803545313602,0.024920217833818023
v_y,m/s,0.03445023225711452,0.03185140009375369
v_y,m/s,0.040744795557356106,0.03896760400110853
v_y,m/s,0.05174791045580385,0.050926801581750954
v_y,m/s,0.05587838480606955,0.05492322949074353
v_y,m/s,0.03318426804914765,0.032624529675525975
v_y,m/s,-0.006363556801220582,-0.007816605113364655
v_y,m/s,-0.03972087725774642,-0.047889297075816725
v_y,m/s,-0.054356209568870995,-0.06780461878310748
v_y,m/s,-0.04362534408484109,-0.056084984212378106
v_y,m/s,-0.015223491814264634,-0.02602622634287563
v_y,m/s,0.013025903830537366,0.00483370316475225
v_y,m/s,0.036913570295185494,0.031000043096857964
v_y,m/s,0.04772716679260647,0.04560515628493333
v_y,m/s,0.04496777720024436,0.043567086716085154
v_y,m/s,0.036926470690481494,0.035911750717237456
v_y,m/s,0.02425430451844246,0.02417406643886151
v_y,m/s,0.0023121624122026674,0.003739821104762708
v_y,m/s,-0.0379400351670256,-0.0328204736929853
v_y,m/s,-0.0708020000612386,-0.0711682508289369
v_y,m/s,-0.11436367350496202,-0.11603549454896261
v_y,m/s,-0.12476981707857782,-0.12690033861464445
v_y,m/s,-0.1175375716324254,-0.12071322534161194
v_y,m/s,-0.098131278158748,-0.10298295614461013
v_y,m/s,-0.07931184249616052,-0.08428246331563292
v_y,m/s,-0.07661069253914121,-0.08470443365522928
v_y,m/s,-0.08396596058799144,-0.08800177405894981
v_y,m/s,-0.10389859205489937,-0.10682517584739472
v_y,m/s,-0.12255775095419885,-0.1278871083459837
v_y,m/s,-0.14997942575772072,-0.1528116179542252
v_y,m/s,-0.17072185422077446,-0.1707710079642269
v_y,m/s,-0.19000804018742645,-0.1891021891262493
v_y,m/s,-0.22426274160647441,-0.22299002148155544
v_y,m/s,-0.27787450693115456,-0.2666731701865059
v_y,m/s,-0.30944453458874577,-0.29875391848378724
v_y,m/s,-0.3757812687538573,-0.36031802494969806
v_y,m/s,-0.4397872165569021,-0.42870000414381876
v_y,m/s,-0.5233363924919185,-0.5059459887148263
v_y,m/s,-0.5994473026819702,-0.5666127722482627
v_y,m/s,-0.6472761450835289,-0.612996710504504
v_y,m/s,-0.6860706907923269,-0.6713765610891321
v_y,m/s,-0.749371689529696,-0.7249457547102323
v_y,m/s,-0.7823716690582092,-0.7242720754800299
v_y,m/s,-0.7702351115120487,-0.7050445227252742
v_y,m/s,-0.7225082335701591,-0.6964874705468351
v_y,m/s,-0.5797350356908313,-0.5234574102959745
v_y,m/s,-0.5049133108711462,-0.4701959271171823
