signal_key,Signal,N,RMSE,MAE,NRMSE,MaxAE,Bias,Std,R2
fl_fy,FL Fy,8186,34.248,26.548,0.878,68.445,-8.655,33.137,0.945
fr_fy,FR Fy,8186,36.467,28.198,0.892,72.666,-10.049,35.055,0.944
rl_fy,RL Fy,8186,19.640,15.399,0.517,41.081,-4.906,19.017,0.980
rr_fy,RR Fy,8186,21.224,16.570,0.532,45.507,-6.292,20.269,0.979
front_sum_fy,Front axle Fy sum,8186,70.683,54.746,0.885,138.463,-18.704,68.163,0.944
rear_sum_fy,Rear axle Fy sum,8186,40.788,31.967,0.524,84.927,-11.198,39.221,0.979
total_sum_fy,Vehicle total Fy sum,8186,111.357,86.637,0.706,212.475,-29.902,107.268,0.963
v_y,Lateral velocity v_y,20739,0.027,0.019,0.420,0.169,-0.005,0.026,0.988
omega,Yaw rate omega,20739,0.032,0.016,1.314,0.452,-0.001,0.032,0.950
v_y_persistence,v_y persistence baseline,20739,0.009,0.005,0.137,0.176,0.000,0.009,0.999
omega_persistence,omega persistence baseline,20739,0.005,0.003,0.207,0.062,0.000,0.005,0.999
front_mu,Front axle peak friction $\mu_f$,8186,0.041,0.041,0.039,0.041,0.041,0.000,N/A
rear_mu,Rear axle peak friction $\mu_r$,8186,0.048,0.048,0.046,0.048,0.048,0.000,N/A
