t_s,commanded_tire_friction,schedule
0.000,1.000000,constant
0.033,1.000000,constant
0.067,1.000000,constant
0.100,1.000000,constant
0.133,1.000000,constant
0.167,1.000000,constant
0.200,1.000000,constant
0.233,1.000000,constant
0.267,1.000000,constant
0.300,1.000000,constant
0.333,1.000000,constant
0.367,1.000000,constant
0.400,1.000000,constant
0.433,1.000000,constant
0.467,1.000000,constant
0.500,1.000000,constant
0.533,1.000000,constant
0.567,1.000000,constant
0.600,1.000000,constant
0.633,1.000000,constant
0.667,1.000000,constant
0.700,1.000000,constant
0.733,1.000000,constant
0.767,1.000000,constant
0.800,1.000000,constant
0.836,1.000000,constant
0.867,1.000000,constant
0.900,1.000000,constant
0.936,1.000000,constant
0.967,1.000000,constant
1.001,1.000000,constant
1.033,1.000000,constant
1.067,1.000000,constant
1.100,1.000000,constant
1.133,1.000000,constant
1.167,1.000000,constant
1.200,1.000000,constant
1.233,1.000000,constant
1.267,1.000000,constant
1.300,1.000000,constant
1.334,1.000000,constant
1.367,1.000000,constant
1.400,1.000000,constant
1.434,1.000000,constant
1.467,1.000000,constant
1.500,1.000000,constant
1.533,1.000000,constant
1.567,1.000000,constant
1.600,1.000000,constant
1.634,1.000000,constant
1.667,1.000000,constant
1.700,1.000000,constant
1.734,1.000000,constant
1.767,1.000000,constant
1.800,1.000000,constant
1.834,1.000000,constant
1.867,1.000000,constant
1.900,1.000000,constant
1.933,1.000000,constant
1.967,1.000000,constant
2.000,1.000000,constant
2.033,1.000000,constant
2.067,1.000000,constant
2.100,1.000000,constant
2.133,1.000000,constant
2.167,1.000000,constant
2.200,1.000000,constant
2.233,1.000000,constant
2.267,1.000000,constant
2.300,1.000000,constant
2.333,1.000000,constant
2.367,1.000000,constant
2.400,1.000000,constant
2.434,1.000000,constant
2.467,1.000000,constant
2.500,1.000000,constant
2.533,1.000000,constant
2.567,1.000000,constant
2.600,1.000000,constant
2.633,1.000000,constant
2.667,1.000000,constant
2.700,1.000000,constant
2.733,1.000000,constant
2.767,1.000000,constant
2.800,1.000000,constant
2.833,1.000000,constant
2.867,1.000000,constant
2.900,1.000000,constant
2.933,1.000000,constant
2.967,1.000000,constant
3.000,1.000000,constant
3.033,1.000000,constant
3.067,1.000000,constant
3.100,1.000000,constant
3.133,1.000000,constant
3.167,1.000000,constant
3.200,1.000000,constant
3.233,1.000000,constant
3.267,1.000000,constant
3.300,1.000000,constant
3.333,1.000000,constant
3.367,1.000000,constant
3.400,1.000000,constant
3.433,1.000000,constant
3.467,1.000000,constant
3.500,1.000000,constant
3.533,1.000000,constant
3.567,1.000000,constant
3.600,1.000000,constant
3.633,1.000000,constant
3.667,1.000000,constant
3.700,1.000000,constant
3.733,1.000000,constant
3.767,1.000000,constant
3.800,1.000000,constant
3.833,1.000000,constant
3.867,1.000000,constant
3.900,1.000000,constant
3.933,1.000000,constant
3.968,1.000000,constant
4.002,1.000000,constant
4.036,1.000000,constant
4.068,1.000000,constant
4.100,1.000000,constant
4.133,1.000000,constant
4.167,1.000000,constant
4.200,1.000000,constant
4.233,1.000000,constant
4.267,1.000000,constant
4.300,1.000000,constant
4.333,1.000000,constant
4.368,1.000000,constant
4.400,1.000000,constant
4.434,1.000000,constant
4.467,1.000000,constant
4.500,1.000000,constant
4.533,1.000000,constant
4.567,1.000000,constant
4.600,1.000000,constant
4.633,1.000000,constant
4.667,1.000000,constant
4.700,1.000000,constant
4.733,1.000000,constant
4.767,1.000000,constant
4.800,1.000000,constant
4.833,1.000000,constant
4.867,1.000000,constant
4.900,1.000000,constant
4.933,1.000000,constant
4.967,1.000000,constant
5.000,1.000000,constant
5.033,1.000000,constant
5.067,1.000000,constant
5.100,1.000000,constant
5.133,1.000000,constant
5.167,1.000000,constant
5.200,1.000000,constant
5.233,1.000000,constant
5.267,1.000000,constant
5.301,1.000000,constant
5.333,1.000000,constant
5.367,1.000000,constant
5.400,1.000000,constant
5.433,1.000000,constant
5.467,1.000000,constant
5.500,1.000000,constant
5.533,1.000000,constant
5.567,1.000000,constant
5.600,1.000000,constant
5.633,1.000000,constant
5.667,1.000000,constant
5.700,1.000000,constant
5.733,1.000000,constant
5.767,1.000000,constant
5.800,1.000000,constant
5.833,1.000000,constant
5.867,1.000000,constant
5.900,1.000000,constant
5.933,1.000000,constant
5.967,1.000000,constant
6.000,1.000000,constant
6.034,1.000000,constant
6.067,1.000000,constant
6.100,1.000000,constant
6.133,1.000000,constant
6.167,1.000000,constant
6.200,1.000000,constant
6.233,1.000000,constant
6.267,1.000000,constant
6.300,1.000000,constant
6.333,1.000000,constant
6.367,1.000000,constant
6.400,1.000000,constant
6.433,1.000000,constant
6.467,1.000000,constant
6.500,1.000000,constant
6.533,1.000000,constant
6.567,1.000000,constant
6.600,1.000000,constant
6.633,1.000000,constant
6.667,1.000000,constant
6.700,1.000000,constant
6.733,1.000000,constant
6.767,1.000000,constant
6.800,1.000000,constant
6.833,1.000000,constant
6.867,1.000000,constant
6.900,1.000000,constant
6.933,1.000000,constant
6.967,1.000000,constant
7.000,1.000000,constant
7.033,1.000000,constant
7.067,1.000000,constant
7.100,1.000000,constant
7.133,1.000000,constant
7.167,1.000000,constant
7.200,1.000000,constant
7.233,1.000000,constant
7.267,1.000000,constant
7.300,1.000000,constant
7.334,1.000000,constant
7.367,1.000000,constant
7.400,1.000000,constant
7.433,1.000000,constant
7.467,1.000000,constant
7.500,1.000000,constant
7.533,1.000000,constant
7.567,1.000000,constant
7.600,1.000000,constant
7.633,1.000000,constant
7.667,1.000000,constant
7.700,1.000000,constant
7.733,1.000000,constant
7.767,1.000000,constant
7.800,1.000000,constant
7.833,1.000000,constant
7.867,1.000000,constant
7.900,1.000000,constant
7.933,1.000000,constant
7.967,1.000000,constant
8.000,1.000000,constant
8.033,1.000000,constant
8.067,1.000000,constant
8.100,1.000000,constant
8.134,1.000000,constant
8.167,1.000000,constant
8.200,1.000000,constant
8.234,1.000000,constant
8.267,1.000000,constant
8.300,1.000000,constant
8.334,1.000000,constant
8.367,1.000000,constant
8.401,1.000000,constant
8.433,1.000000,constant
8.467,1.000000,constant
8.501,1.000000,constant
8.534,1.000000,constant
8.567,1.000000,constant
8.600,1.000000,constant
8.633,1.000000,constant
8.667,1.000000,constant
8.700,1.000000,constant
8.733,1.000000,constant
8.767,1.000000,constant
8.800,1.000000,constant
8.833,1.000000,constant
8.867,1.000000,constant
8.901,1.000000,constant
8.933,1.000000,constant
8.967,1.000000,constant
9.000,1.000000,constant
9.033,1.000000,constant
9.067,1.000000,constant
9.100,1.000000,constant
9.133,1.000000,constant
9.167,1.000000,constant
9.200,1.000000,constant
9.233,1.000000,constant
9.267,1.000000,constant
9.300,1.000000,constant
9.334,1.000000,constant
9.367,1.000000,constant
9.400,1.000000,constant
9.433,1.000000,constant
9.467,1.000000,constant
9.500,1.000000,constant
9.533,1.000000,constant
9.567,1.000000,constant
9.600,1.000000,constant
9.633,1.000000,constant
9.667,1.000000,constant
9.700,1.000000,constant
9.733,1.000000,constant
9.767,1.000000,constant
9.800,1.000000,constant
9.833,1.000000,constant
9.867,1.000000,constant
9.900,1.000000,constant
9.933,1.000000,constant
9.967,1.000000,constant
10.000,1.000000,constant
10.033,1.000000,constant
10.068,1.000000,constant
10.100,1.000000,constant
10.133,1.000000,constant
10.167,1.000000,constant
10.200,1.000000,constant
10.233,1.000000,constant
10.267,1.000000,constant
10.300,1.000000,constant
10.333,1.000000,constant
10.367,1.000000,constant
10.400,1.000000,constant
10.433,1.000000,constant
10.467,1.000000,constant
10.500,1.000000,constant
10.533,1.000000,constant
10.567,1.000000,constant
10.600,1.000000,constant
10.633,1.000000,constant
10.667,1.000000,constant
10.700,1.000000,constant
10.733,1.000000,constant
10.767,1.000000,constant
10.800,1.000000,constant
10.834,1.000000,constant
10.867,1.000000,constant
10.900,1.000000,constant
10.933,1.000000,constant
10.967,1.000000,constant
11.000,1.000000,constant
11.033,1.000000,constant
11.067,1.000000,constant
11.100,1.000000,constant
11.133,1.000000,constant
11.167,1.000000,constant
11.200,1.000000,constant
11.233,1.000000,constant
11.267,1.000000,constant
11.300,1.000000,constant
11.333,1.000000,constant
11.367,1.000000,constant
11.400,1.000000,constant
11.433,1.000000,constant
11.467,1.000000,constant
11.500,1.000000,constant
11.533,1.000000,constant
11.567,1.000000,constant
11.600,1.000000,constant
11.633,1.000000,constant
11.667,1.000000,constant
11.700,1.000000,constant
11.733,1.000000,constant
11.767,1.000000,constant
11.800,1.000000,constant
11.833,1.000000,constant
11.867,1.000000,constant
11.900,1.000000,constant
11.933,1.000000,constant
11.967,1.000000,constant
12.000,1.000000,constant
12.033,1.000000,constant
12.067,1.000000,constant
12.100,1.000000,constant
12.133,1.000000,constant
12.167,1.000000,constant
12.200,1.000000,constant
12.233,1.000000,constant
12.267,1.000000,constant
12.300,1.000000,constant
12.333,1.000000,constant
12.367,1.000000,constant
12.400,1.000000,constant
12.433,1.000000,constant
12.467,1.000000,constant
12.500,1.000000,constant
12.533,1.000000,constant
12.567,1.000000,constant
12.600,1.000000,constant
12.633,1.000000,constant
12.667,1.000000,constant
12.700,1.000000,constant
12.733,1.000000,constant
12.767,1.000000,constant
12.800,1.000000,constant
12.834,1.000000,constant
12.867,1.000000,constant
12.900,1.000000,constant
12.934,1.000000,constant
12.967,1.000000,constant
13.000,1.000000,constant
13.033,1.000000,constant
13.067,1.000000,constant
13.100,1.000000,constant
13.134,1.000000,constant
13.167,1.000000,constant
13.200,1.000000,constant
13.233,1.000000,constant
13.267,1.000000,constant
13.300,1.000000,constant
13.333,1.000000,constant
13.367,1.000000,constant
13.400,1.000000,constant
13.433,1.000000,constant
13.467,1.000000,constant
13.500,1.000000,constant
13.533,1.000000,constant
13.567,1.000000,constant
13.600,1.000000,constant
13.633,1.000000,constant
13.667,1.000000,constant
13.700,1.000000,constant
13.733,1.000000,constant
13.767,1.000000,constant
13.800,1.000000,constant
13.833,1.000000,constant
13.867,1.000000,constant
13.900,1.000000,constant
13.933,1.000000,constant
13.967,1.000000,constant
14.000,1.000000,constant
14.033,1.000000,constant
14.067,1.000000,constant
14.100,1.000000,constant
14.133,1.000000,constant
14.167,1.000000,constant
14.200,1.000000,constant
14.233,1.000000,constant
14.267,1.000000,constant
14.300,1.000000,constant
14.333,1.000000,constant
14.367,1.000000,constant
14.400,1.000000,constant
14.433,1.000000,constant
14.467,1.000000,constant
14.500,1.000000,constant
14.533,1.000000,constant
14.567,1.000000,constant
14.600,1.000000,constant
14.633,1.000000,constant
14.667,1.000000,constant
14.700,1.000000,constant
14.733,1.000000,constant
14.767,1.000000,constant
14.800,1.000000,constant
14.833,1.000000,constant
14.867,1.000000,constant
14.900,1.000000,constant
14.933,1.000000,constant
14.967,1.000000,constant
15.000,1.000000,constant
15.033,1.000000,constant
15.067,1.000000,constant
15.100,1.000000,constant
15.133,1.000000,constant
15.167,1.000000,constant
15.200,1.000000,constant
15.233,1.000000,constant
15.267,1.000000,constant
15.300,1.000000,constant
15.333,1.000000,constant
15.367,1.000000,constant
15.400,1.000000,constant
15.433,1.000000,constant
15.467,1.000000,constant
15.500,1.000000,constant
15.533,1.000000,constant
15.567,1.000000,constant
15.600,1.000000,constant
15.633,1.000000,constant
15.667,1.000000,constant
15.700,1.000000,constant
15.733,1.000000,constant
15.767,1.000000,constant
15.800,1.000000,constant
15.833,1.000000,constant
15.867,1.000000,constant
15.900,1.000000,constant
15.934,1.000000,constant
15.967,1.000000,constant
16.000,1.000000,constant
16.033,1.000000,constant
16.067,1.000000,constant
16.100,1.000000,constant
16.133,1.000000,constant
16.167,1.000000,constant
16.200,1.000000,constant
16.233,1.000000,constant
16.267,1.000000,constant
16.300,1.000000,constant
16.333,1.000000,constant
16.367,1.000000,constant
16.400,1.000000,constant
16.433,1.000000,constant
16.467,1.000000,constant
16.500,1.000000,constant
16.533,1.000000,constant
16.567,1.000000,constant
16.600,1.000000,constant
16.633,1.000000,constant
16.667,1.000000,constant
16.700,1.000000,constant
16.733,1.000000,constant
16.767,1.000000,constant
